Hourly Temperatures,Hourly Water Consumption,Hourly Fertilizer Consumption
26.1,0.0,0.0
26.1,0.0,0.0
25.6,0.0,0.0
25.200000000000003,0.0,0.2
31.700000000000003,0.0,0.0
28.8,0.0,0.0
24.6,0.0,0.0
21.4,0.0,0.0
20.1,0.0,0.0
19.3,0.0,0.0
18.5,0.0,0.0
17.900000000000002,0.0,0.0
17.3,0.0,0.0
16.8,0.0,0.0
16.3,0.0,0.0
16.1,0.0,0.0
16.2,0.0,0.0
17.5,0.0,0.0
19.6,0.0,0.0
21.9,0.0,0.0
24.6,0.0,0.0
26.9,0.2,0.0
28.3,0.0,0.0
29.0,0.0,0.0
29.3,0.0,0.0
29.200000000000003,0.0,0.0
28.8,0.0,0.0
28.5,0.0,0.0
26.700000000000003,0.0,0.0
24.6,0.0,0.0
21.200000000000003,0.0,0.0
18.1,0.0,0.0
16.7,0.0,0.0
15.8,0.0,0.0
15.0,0.0,0.0
14.2,0.0,0.0
13.5,0.0,0.0
12.8,0.0,0.0
12.2,0.0,0.0
11.8,0.0,0.0
12.6,0.0,0.0
15.5,0.0,0.0
19.1,0.0,0.0
22.4,0.0,0.0
25.6,0.0,0.0
28.5,0.2,0.0
30.9,0.0,0.0
32.800000000000004,0.0,0.0
33.9,0.0,0.0
34.4,0.0,0.0
34.2,0.0,0.0
33.9,0.0,0.0
31.9,0.0,0.0
28.9,0.0,0.0
24.700000000000003,0.0,0.0
21.6,0.0,0.0
20.200000000000003,0.0,0.0
19.5,0.0,0.0
18.9,0.0,0.0
18.4,0.0,0.0
17.900000000000002,0.0,0.0
17.3,0.0,0.0
16.8,0.0,0.0
16.3,0.0,0.0
16.8,0.0,0.0
19.4,0.0,0.0
22.9,0.0,0.0
26.1,0.0,0.0
29.6,0.0,0.0
32.800000000000004,0.2,0.0
34.9,0.0,0.0
35.9,0.0,0.0
36.3,0.0,0.0
36.3,0.0,0.0
35.9,0.0,0.0
35.6,0.0,0.0
33.7,0.0,0.0
30.9,0.0,0.0
26.4,0.0,0.0
23.1,0.0,0.0
21.8,0.0,0.0
21.4,0.0,0.0
21.5,0.0,0.0
21.8,0.0,0.0
22.0,0.0,0.0
22.200000000000003,0.0,0.0
22.3,0.0,0.0
22.1,0.0,0.0
21.700000000000003,0.0,0.0
22.200000000000003,0.0,0.0
23.9,0.0,0.0
25.700000000000003,0.0,0.0
27.1,0.0,0.0
28.5,0.2,0.0
29.4,0.0,0.0
29.5,0.0,0.0
29.4,0.0,0.0
29.9,0.0,0.0
30.8,0.0,0.0
31.1,0.0,0.0
29.8,0.0,0.0
27.1,0.0,0.0
22.9,0.0,0.0
19.5,0.0,0.0
17.900000000000002,0.0,0.0
17.0,0.0,0.0
16.400000000000002,0.0,0.0
15.7,0.0,0.0
15.1,0.0,0.0
14.5,0.0,0.0
14.0,0.0,0.0
13.7,0.0,0.0
14.2,0.0,0.0
16.8,0.0,0.0
20.200000000000003,0.0,0.0
23.4,0.0,0.0
26.5,0.0,0.0
29.0,0.2,0.0
30.4,0.0,0.0
31.1,0.0,0.0
31.6,0.0,0.0
32.0,0.0,0.0
32.0,0.0,0.0
31.9,0.0,0.0
30.1,0.0,0.0
27.3,0.0,0.0
23.3,0.0,0.0
20.3,0.0,0.0
19.0,0.0,0.0
18.2,0.0,0.0
17.6,0.0,0.0
17.1,0.0,0.0
16.900000000000002,0.0,0.0
16.900000000000002,0.0,0.0
17.0,0.0,0.0
17.0,0.0,0.0
17.400000000000002,0.0,0.0
18.8,0.0,0.0
21.5,0.0,0.0
24.3,0.0,0.0
26.8,0.0,0.0
28.9,0.2,0.0
30.3,0.0,0.0
31.0,0.0,0.0
30.9,0.0,0.0
30.4,0.0,0.0
29.4,0.0,0.0
28.8,0.0,0.0
26.0,0.0,0.0
23.9,0.0,0.0
21.6,0.0,0.0
19.200000000000003,0.0,0.0
17.5,0.0,0.0
16.2,0.0,0.0
15.4,0.0,0.0
14.8,0.0,0.0
14.4,0.0,0.0
14.0,0.0,0.0
13.7,0.0,0.0
13.4,0.0,0.0
13.5,0.0,0.0
14.8,0.0,0.0
17.0,0.0,0.0
19.5,0.0,0.0
