Year,Month,Day,Hour,Minute,Temperature,Dew Point,DHI,Surface Albedo,DNI,GHI
2021,1,1,0,30,19.400000000000002,19.400000000000002,0,0.13,0,0
2021,1,1,1,30,19.3,19.3,0,0.13,0,0
2021,1,1,2,30,19.200000000000003,19.200000000000003,0,0.13,0,0
2021,1,1,3,30,19.1,19.1,0,0.13,0,0
2021,1,1,4,30,18.900000000000002,18.900000000000002,0,0.13,0,0
2021,1,1,5,30,18.900000000000002,18.900000000000002,0,0.13,0,0
2021,1,1,6,30,18.900000000000002,18.900000000000002,0,0.13,0,0
2021,1,1,7,30,19.700000000000003,19.1,14,0.13,60,15
2021,1,1,8,30,21.3,19.6,61,0.13,497,168
2021,1,1,9,30,23.200000000000003,20.3,79,0.13,712,353
2021,1,1,10,30,24.8,20.3,87,0.13,814,507
2021,1,1,11,30,25.900000000000002,20.200000000000003,90,0.13,863,607
2021,1,1,12,30,26.400000000000002,20.1,91,0.13,879,644
2021,1,1,13,30,26.6,19.900000000000002,89,0.13,870,615
2021,1,1,14,30,26.3,19.8,112,0.13,636,447
2021,1,1,15,30,25.700000000000003,19.6,81,0.13,562,306
2021,1,1,16,30,24.3,19.700000000000003,56,0.13,544,183
2021,1,1,17,30,22.8,19.6,19,0.13,107,23
2021,1,1,18,30,22.200000000000003,19.400000000000002,0,0.13,0,0
2021,1,1,19,30,21.200000000000003,19.5,0,0.12,0,0
2021,1,1,20,30,20.6,19.5,0,0.12,0,0
2021,1,1,21,30,20.200000000000003,19.5,0,0.12,0,0
2021,1,1,22,30,19.900000000000002,19.5,0,0.12,0,0
2021,1,1,23,30,19.700000000000003,19.6,0,0.12,0,0
2021,1,2,0,30,19.5,19.5,0,0.12,0,0
2021,1,2,1,30,19.3,19.3,0,0.12,0,0
2021,1,2,2,30,19.1,19.1,0,0.12,0,0
2021,1,2,3,30,19,19,0,0.12,0,0
2021,1,2,4,30,18.900000000000002,18.900000000000002,0,0.12,0,0
2021,1,2,5,30,18.900000000000002,18.900000000000002,0,0.12,0,0
2021,1,2,6,30,18.900000000000002,18.900000000000002,0,0.12,0,0
2021,1,2,7,30,19.8,19.6,13,0.12,52,14
2021,1,2,8,30,21.700000000000003,20,56,0.12,261,112
2021,1,2,9,30,23.400000000000002,20.5,117,0.12,2,118
2021,1,2,10,30,24.700000000000003,20.6,147,0.12,2,148
2021,1,2,11,30,25.5,20.5,252,0.12,223,386
2021,1,2,12,30,25.900000000000002,20.3,237,0.12,170,344
2021,1,2,13,30,25.8,20.200000000000003,221,0.12,294,399
2021,1,2,14,30,25.5,20.1,226,0.12,281,374
2021,1,2,15,30,24.900000000000002,19.900000000000002,168,0.12,142,225
2021,1,2,16,30,23.8,19.8,76,0.12,357,160
2021,1,2,17,30,22.5,19.900000000000002,17,0.12,32,18
2021,1,2,18,30,21.900000000000002,20.1,0,0.12,0,0
2021,1,2,19,30,21,20.3,0,0.13,0,0
2021,1,2,20,30,20.700000000000003,20.400000000000002,0,0.13,0,0
2021,1,2,21,30,20.400000000000002,20.400000000000002,0,0.13,0,0
2021,1,2,22,30,20.200000000000003,20.200000000000003,0,0.13,0,0
2021,1,2,23,30,20,20,0,0.13,0,0
2021,1,3,0,30,19.8,19.8,0,0.13,0,0
2021,1,3,1,30,19.6,19.6,0,0.13,0,0
2021,1,3,2,30,19.400000000000002,19.3,0,0.13,0,0
2021,1,3,3,30,19.400000000000002,19.200000000000003,0,0.13,0,0
2021,1,3,4,30,19.400000000000002,19.200000000000003,0,0.13,0,0
2021,1,3,5,30,19.3,19.1,0,0.13,0,0
2021,1,3,6,30,19,19,0,0.13,0,0
2021,1,3,7,30,18.900000000000002,18.6,13,0.13,67,14
2021,1,3,8,30,18.900000000000002,18.1,48,0.13,414,137
2021,1,3,9,30,19,17.2,25,0.13,0,25
2021,1,3,10,30,19.400000000000002,16.2,102,0.13,0,102
2021,1,3,11,30,19.8,15.3,142,0.13,3,144
2021,1,3,12,30,20.200000000000003,14.700000000000001,131,0.13,0,131
2021,1,3,13,30,20.1,14.3,174,0.13,7,178
2021,1,3,14,30,19.8,13.8,178,0.13,37,198
2021,1,3,15,30,19.1,13.3,142,0.13,34,156
2021,1,3,16,30,18.1,12.600000000000001,56,0.13,421,156
2021,1,3,17,30,16.8,12.200000000000001,17,0.13,49,19
2021,1,3,18,30,16.3,12,0,0.13,0,0
2021,1,3,19,30,15.3,11.9,0,0.13,0,0
2021,1,3,20,30,14.9,11.9,0,0.13,0,0
2021,1,3,21,30,14.600000000000001,11.9,0,0.13,0,0
2021,1,3,22,30,14.200000000000001,11.700000000000001,0,0.13,0,0
2021,1,3,23,30,13.8,11.5,0,0.13,0,0
2021,1,4,0,30,13.3,11.3,0,0.13,0,0
2021,1,4,1,30,12.700000000000001,10.9,0,0.13,0,0
2021,1,4,2,30,12,10.600000000000001,0,0.13,0,0
2021,1,4,3,30,11.200000000000001,10.200000000000001,0,0.13,0,0
2021,1,4,4,30,10.5,9.8,0,0.13,0,0
2021,1,4,5,30,9.9,9.4,0,0.13,0,0
2021,1,4,6,30,9.5,8.9,0,0.13,0,0
2021,1,4,7,30,10.100000000000001,8.4,15,0.13,151,18
2021,1,4,8,30,11.9,7.9,50,0.13,656,190
2021,1,4,9,30,13.8,6.9,65,0.13,837,387
2021,1,4,10,30,15.4,6.5,73,0.13,921,549
2021,1,4,11,30,16.7,6.4,76,0.13,964,656
2021,1,4,12,30,17.7,6.2,78,0.13,978,698
2021,1,4,13,30,18.3,5.9,76,0.13,970,668
2021,1,4,14,30,18.5,5.6000000000000005,72,0.13,940,572
2021,1,4,15,30,18,5.4,63,0.13,877,419
2021,1,4,16,30,16.1,6.1000000000000005,49,0.13,732,225
2021,1,4,17,30,13.8,6.7,22,0.13,304,37
2021,1,4,18,30,12.9,6.300000000000001,0,0.13,0,0
2021,1,4,19,30,12,6.6000000000000005,0,0.13,0,0
2021,1,4,20,30,11.4,7,0,0.13,0,0
