Year,Month,Day,Hour,Minute,Temperature,Dew Point,DHI,Surface Albedo,DNI,GHI
2004,1,1,0,30,-2.4,-5.9,0,0.16,0,0
2004,1,1,1,30,-2.4,-5.7,0,0.16,0,0
2004,1,1,2,30,-2.4,-5.4,0,0.16,0,0
2004,1,1,3,30,-2.3,-5.2,0,0.16,0,0
2004,1,1,4,30,-2.3,-4.9,0,0.16,0,0
2004,1,1,5,30,-2.1,-4.5,0,0.16,0,0
2004,1,1,6,30,-2,-4,0,0.16,0,0
2004,1,1,7,30,-1.5,-3.3,0,0.16,0,0
2004,1,1,8,30,-0.1,-2.3,42,0.16,33,46
2004,1,1,9,30,2.2,-0.4,42,0.16,0,42
2004,1,1,10,30,4.1000000000000005,2.4000000000000004,17,0.16,0,17
2004,1,1,11,30,5,4.1000000000000005,179,0.16,104,222
2004,1,1,12,30,5.7,4.7,127,0.16,0,127
2004,1,1,13,30,6.2,4.6000000000000005,162,0.16,260,265
2004,1,1,14,30,5.800000000000001,3.8000000000000003,113,0.16,348,224
2004,1,1,15,30,3.5,3,43,0.16,675,179
2004,1,1,16,30,1.2000000000000002,1.2000000000000002,19,0.16,368,39
2004,1,1,17,30,0.5,0.5,0,0.16,0,0
2004,1,1,18,30,0.30000000000000004,0.30000000000000004,0,0.16,0,0
2004,1,1,19,30,0,0,0,0.16,0,0
2004,1,1,20,30,-0.3,-0.4,0,0.16,0,0
2004,1,1,21,30,-0.6,-0.8,0,0.16,0,0
2004,1,1,22,30,-0.5,-1,0,0.16,0,0
2004,1,1,23,30,-0.3,-1.1,0,0.16,0,0
2004,1,2,0,30,-0.1,-1.1,0,0.16,0,0
2004,1,2,1,30,0.2,-1.2,0,0.16,0,0
2004,1,2,2,30,-0.2,-1.2,0,0.16,0,0
2004,1,2,3,30,-1,-1.3,0,0.16,0,0
2004,1,2,4,30,-1.1,-1.2,0,0.16,0,0
2004,1,2,5,30,-0.8,-1,0,0.16,0,0
2004,1,2,6,30,-0.6,-0.7,0,0.16,0,0
2004,1,2,7,30,0,-0.6,0,0.16,0,0
2004,1,2,8,30,1.6,-0.1,26,0.16,0,26
2004,1,2,9,30,3.5,1.5,43,0.16,0,43
2004,1,2,10,30,5.300000000000001,3.6,64,0.16,0,64
2004,1,2,11,30,7.5,5.9,16,0.16,0,16
2004,1,2,12,30,9.4,7.9,171,0.16,34,186
2004,1,2,13,30,9.5,8.1,149,0.16,365,293
2004,1,2,14,30,7.7,6.9,120,0.16,303,217
2004,1,2,15,30,4.9,4.9,74,0.16,18,78
2004,1,2,16,30,3.1,3.1,19,0.16,0,19
2004,1,2,17,30,2.6,2.6,0,0.16,0,0
2004,1,2,18,30,2.6,1.9000000000000001,0,0.17,0,0
2004,1,2,19,30,2.2,0.6000000000000001,0,0.17,0,0
2004,1,2,20,30,1.6,-0.5,0,0.17,0,0
2004,1,2,21,30,1.1,-1.2,0,0.17,0,0
2004,1,2,22,30,0.4,-1.9,0,0.17,0,0
2004,1,2,23,30,-0.3,-2.8,0,0.17,0,0
2004,1,3,0,30,-0.8,-3.8,0,0.17,0,0
2004,1,3,1,30,-1.3,-4.6,0,0.17,0,0
2004,1,3,2,30,-1.7,-5.3,0,0.17,0,0
2004,1,3,3,30,-2.1,-6.1,0,0.17,0,0
2004,1,3,4,30,-2.5,-6.9,0,0.17,0,0
2004,1,3,5,30,-2.8,-7.8,0,0.17,0,0
2004,1,3,6,30,-3.1,-8.7,0,0.17,0,0
2004,1,3,7,30,-3.4,-9.6,0,0.17,0,0
2004,1,3,8,30,-3.6,-10.5,31,0.17,0,31
2004,1,3,9,30,-3.7,-11.3,22,0.17,0,22
2004,1,3,10,30,-3.9,-11.7,53,0.17,0,53
2004,1,3,11,30,-4.1,-11.8,102,0.17,0,102
2004,1,3,12,30,-4.3,-11.8,131,0.17,0,131
2004,1,3,13,30,-4.4,-11.7,27,0.17,0,27
2004,1,3,14,30,-4.5,-11.8,35,0.17,0,35
2004,1,3,15,30,-4.5,-11.7,16,0.17,0,16
2004,1,3,16,30,-4.6,-11.5,14,0.17,0,14
2004,1,3,17,30,-4.7,-11.3,0,0.17,0,0
2004,1,3,18,30,-4.9,-11.3,0,0.8,0,0
2004,1,3,19,30,-5.1,-11.4,0,0.8,0,0
2004,1,3,20,30,-5.3,-11.4,0,0.8,0,0
2004,1,3,21,30,-5.6,-11.5,0,0.8,0,0
2004,1,3,22,30,-5.9,-11.6,0,0.8,0,0
2004,1,3,23,30,-6.1,-11.7,0,0.8,0,0
2004,1,4,0,30,-6.3,-12.1,0,0.8,0,0
2004,1,4,1,30,-6.6,-12.4,0,0.8,0,0
2004,1,4,2,30,-6.9,-12.6,0,0.8,0,0
2004,1,4,3,30,-7.3,-12.9,0,0.8,0,0
2004,1,4,4,30,-7.7,-13,0,0.8,0,0
2004,1,4,5,30,-8.1,-13,0,0.8,0,0
2004,1,4,6,30,-8.4,-12.9,0,0.8,0,0
2004,1,4,7,30,-8.5,-12.8,0,0.8,0,0
2004,1,4,8,30,-8.3,-12.7,14,0.8,0,14
2004,1,4,9,30,-7.8,-12.5,65,0.8,0,65
2004,1,4,10,30,-7.1,-12,133,0.8,17,139
2004,1,4,11,30,-6.5,-11.6,85,0.8,0,85
2004,1,4,12,30,-6.1,-11,73,0.8,0,73
2004,1,4,13,30,-5.9,-10.6,46,0.8,0,46
2004,1,4,14,30,-5.9,-10.4,47,0.8,0,47
2004,1,4,15,30,-6.2,-10.4,54,0.8,0,54
2004,1,4,16,30,-6.6,-10.6,17,0.8,0,17
2004,1,4,17,30,-6.8,-11,0,0.8,0,0
2004,1,4,18,30,-7.5,-11.5,0,0.8,0,0
