Year,Month,Day,Hour,Minute,Temperature,Dew Point,DHI,Surface Albedo,DNI,GHI
2013,1,1,0,30,-4.3,-7.5,0,0.77,0,0
2013,1,1,1,30,-4.4,-7.9,0,0.77,0,0
2013,1,1,2,30,-4.6,-8.1,0,0.77,0,0
2013,1,1,3,30,-4.7,-8.3,0,0.77,0,0
2013,1,1,4,30,-5,-8.6,0,0.77,0,0
2013,1,1,5,30,-5.3,-9,0,0.77,0,0
2013,1,1,6,30,-5.8,-9.5,0,0.77,0,0
2013,1,1,7,30,-6.1,-10.1,0,0.77,0,0
2013,1,1,8,30,-5.9,-10.4,31,0.77,0,31
2013,1,1,9,30,-5.5,-10.5,74,0.77,650,243
2013,1,1,10,30,-5,-10.7,92,0.77,778,385
2013,1,1,11,30,-4.3,-10.7,101,0.77,845,483
2013,1,1,12,30,-3.4,-10.6,102,0.77,872,520
2013,1,1,13,30,-2.4,-10.3,93,0.77,874,495
2013,1,1,14,30,-1.8,-9.8,80,0.77,844,410
2013,1,1,15,30,-2.2,-9.3,63,0.77,764,277
2013,1,1,16,30,-3.7,-9.4,39,0.77,547,112
2013,1,1,17,30,-4.8,-9.4,0,0.77,0,0
2013,1,1,18,30,-5.7,-9.4,0,0.79,0,0
2013,1,1,19,30,-6.4,-9.4,0,0.79,0,0
2013,1,1,20,30,-7.4,-9.3,0,0.79,0,0
2013,1,1,21,30,-7.8,-9.2,0,0.79,0,0
2013,1,1,22,30,-7.8,-8.8,0,0.79,0,0
2013,1,1,23,30,-7.8,-8.3,0,0.79,0,0
2013,1,2,0,30,-7.8,-7.9,0,0.79,0,0
2013,1,2,1,30,-7.9,-7.9,0,0.79,0,0
2013,1,2,2,30,-8,-8,0,0.79,0,0
2013,1,2,3,30,-8,-8.1,0,0.79,0,0
2013,1,2,4,30,-8.1,-8.4,0,0.79,0,0
2013,1,2,5,30,-8.1,-8.8,0,0.79,0,0
2013,1,2,6,30,-8.2,-9,0,0.79,0,0
2013,1,2,7,30,-8,-9.2,0,0.79,0,0
2013,1,2,8,30,-6.4,-9,32,0.79,526,89
2013,1,2,9,30,-4,-8.6,55,0.79,775,257
2013,1,2,10,30,-1.4,-8.3,68,0.79,873,398
2013,1,2,11,30,0.7000000000000001,-7.7,78,0.79,911,491
2013,1,2,12,30,2.1,-6.3,168,0.79,9,173
2013,1,2,13,30,2.5,-4.8,128,0.79,0,128
2013,1,2,14,30,2.2,-3.9,133,0.79,1,134
2013,1,2,15,30,1.2000000000000002,-3.5,88,0.79,0,88
2013,1,2,16,30,-0.9,-3.3,41,0.79,530,113
2013,1,2,17,30,-2.3,-3.8,0,0.79,0,0
2013,1,2,18,30,-3.2,-3.9,0,0.76,0,0
2013,1,2,19,30,-3.4,-4,0,0.76,0,0
2013,1,2,20,30,-3.5,-4.1,0,0.76,0,0
2013,1,2,21,30,-3.8,-4.3,0,0.76,0,0
2013,1,2,22,30,-4.2,-4.6,0,0.76,0,0
2013,1,2,23,30,-4.7,-5,0,0.76,0,0
2013,1,3,0,30,-5.1,-5.5,0,0.76,0,0
2013,1,3,1,30,-5.4,-6.1,0,0.76,0,0
2013,1,3,2,30,-5.8,-6.8,0,0.76,0,0
2013,1,3,3,30,-6.3,-7.7,0,0.76,0,0
2013,1,3,4,30,-6.8,-8.3,0,0.76,0,0
2013,1,3,5,30,-7.3,-8.7,0,0.76,0,0
2013,1,3,6,30,-7.6,-8.8,0,0.76,0,0
2013,1,3,7,30,-7.3,-8.8,0,0.76,0,0
2013,1,3,8,30,-5.6,-8.5,38,0.76,43,43
2013,1,3,9,30,-3.1,-7.8,93,0.76,4,94
2013,1,3,10,30,-1.1,-7,122,0.76,467,299
2013,1,3,11,30,-0.2,-6.9,85,0.76,906,497
2013,1,3,12,30,0.2,-7,201,0.76,47,224
2013,1,3,13,30,0.4,-7,86,0.76,913,509
2013,1,3,14,30,0.2,-7,78,0.76,870,422
2013,1,3,15,30,-0.3,-7,67,0.76,760,283
2013,1,3,16,30,-1.5,-7,41,0.76,551,117
2013,1,3,17,30,-2.3,-7.3,0,0.76,0,0
2013,1,3,18,30,-2.2,-7.4,0,0.74,0,0
2013,1,3,19,30,-2.7,-7.7,0,0.74,0,0
2013,1,3,20,30,-3.9,-7.9,0,0.74,0,0
2013,1,3,21,30,-5.2,-8.1,0,0.74,0,0
2013,1,3,22,30,-6.2,-8.2,0,0.74,0,0
2013,1,3,23,30,-6.8,-8.4,0,0.74,0,0
2013,1,4,0,30,-7,-8.5,0,0.74,0,0
2013,1,4,1,30,-7.2,-8.7,0,0.74,0,0
2013,1,4,2,30,-7.4,-8.9,0,0.74,0,0
2013,1,4,3,30,-7.5,-9,0,0.74,0,0
2013,1,4,4,30,-7.6,-9,0,0.74,0,0
2013,1,4,5,30,-7.6,-9,0,0.74,0,0
2013,1,4,6,30,-7.7,-8.9,0,0.74,0,0
2013,1,4,7,30,-7.3,-8.8,0,0.74,0,0
2013,1,4,8,30,-5.6,-8.4,31,0.74,559,92
2013,1,4,9,30,-3,-7.8,52,0.74,804,262
2013,1,4,10,30,0.1,-7.4,65,0.74,904,408
2013,1,4,11,30,2.7,-7.1,73,0.74,949,505
2013,1,4,12,30,4.4,-6.8,83,0.74,946,542
2013,1,4,13,30,5.4,-6.8,81,0.74,938,517
2013,1,4,14,30,5.4,-6.8,73,0.74,899,430
2013,1,4,15,30,3.4000000000000004,-5.9,60,0.74,811,292
2013,1,4,16,30,0.4,-5.1,51,0.74,130,69
2013,1,4,17,30,-0.9,-6.2,0,0.74,0,0
2013,1,4,18,30,-0.1,-5.7,0,0.18,0,0
2013,1,4,19,30,-0.3,-5.3,0,0.18,0,0
2013,1,4,20,30,-1,-5.1,0,0.18,0,0
2013,1,4,21,30,-1.6,-5.1,0,0.18,0,0
2013,1,4,22,30,-1.8,-4.9,0,0.18,0,0
2013,1,4,23,30,-1.7,-4.6,0,0.18,0,0
2013,1,5,0,30,-1.4,-4.2,0,0.18,0,0
2013,1,5,1,30,-1.3,-3.8,0,0.18,0,0
2013,1,5,2,30,-1.3,-3.6,0,0.18,0,0
2013,1,5,3,30,-1.5,-3.6,0,0.18,0,0
2013,1,5,4,30,-1.6,-3.7,0,0.18,0,0
2013,1,5,5,30,-1.6,-3.8,0,0.18,0,0
2013,1,5,6,30,-1.9,-3.8,0,0.18,0,0
2013,1,5,7,30,-1.7,-3.8,0,0.18,0,0
2013,1,5,8,30,-0.4,-3.6,19,0.18,0,19
2013,1,5,9,30,1.7000000000000002,-3.1,58,0.18,696,239
2013,1,5,10,30,3.7,-2.7,67,0.18,826,381
2013,1,5,11,30,5.1000000000000005,-2.6,70,0.18,901,482
2013,1,5,12,30,6.1000000000000005,-2.7,72,0.18,925,522
2013,1,5,13,30,6.6000000000000005,-3,68,0.18,923,499
2013,1,5,14,30,6.300000000000001,-3.7,61,0.18,888,416
2013,1,5,15,30,4.2,-4.6,52,0.18,794,281
2013,1,5,16,30,0.8,-4.9,34,0.18,601,120
2013,1,5,17,30,-0.9,-6.5,0,0.18,0,0
2013,1,5,18,30,-1.3,-6.5,0,0.18,0,0
2013,1,5,19,30,-1.1,-5.5,0,0.18,0,0
2013,1,5,20,30,-1,-4.5,0,0.18,0,0
2013,1,5,21,30,-1.2,-4.1,0,0.18,0,0
2013,1,5,22,30,-1.7,-4.4,0,0.18,0,0
