Year,Month,Day,Hour,Minute,Temperature,Dew Point,DHI,Surface Albedo,DNI,GHI
2002,1,1,0,30,0,-2.8,0,0.15,0,0
2002,1,1,1,30,-0.3,-2.7,0,0.15,0,0
2002,1,1,2,30,-0.6,-2.8,0,0.15,0,0
2002,1,1,3,30,-1.2,-3,0,0.15,0,0
2002,1,1,4,30,-1.9,-3.6,0,0.15,0,0
2002,1,1,5,30,-2.5,-4.5,0,0.15,0,0
2002,1,1,6,30,-3,-5.6,0,0.15,0,0
2002,1,1,7,30,-2.9,-6.5,14,0.15,156,18
2002,1,1,8,30,-1.6,-7,50,0.15,628,173
2002,1,1,9,30,0.30000000000000004,-7.4,66,0.15,816,344
2002,1,1,10,30,2.1,-7.9,72,0.15,901,476
2002,1,1,11,30,3.5,-8.6,76,0.15,936,553
2002,1,1,12,30,4.3,-9,77,0.15,940,566
2002,1,1,13,30,4.7,-9.3,74,0.15,921,516
2002,1,1,14,30,4.4,-9.7,67,0.15,869,408
2002,1,1,15,30,2.8000000000000003,-9.9,54,0.15,756,253
2002,1,1,16,30,-0.1,-8.1,31,0.15,481,79
2002,1,1,17,30,-2.1,-8.1,0,0.15,0,0
2002,1,1,18,30,-2.4,-8.6,0,0.15,0,0
2002,1,1,19,30,-3.3,-9.1,0,0.15,0,0
2002,1,1,20,30,-4,-9.4,0,0.15,0,0
2002,1,1,21,30,-4.5,-9.6,0,0.15,0,0
2002,1,1,22,30,-4.8,-9.8,0,0.15,0,0
2002,1,1,23,30,-4.8,-10.1,0,0.15,0,0
2002,1,2,0,30,-4.4,-10.1,0,0.15,0,0
2002,1,2,1,30,-3.7,-10.1,0,0.15,0,0
2002,1,2,2,30,-3.4,-10.2,0,0.15,0,0
2002,1,2,3,30,-3.3,-9.7,0,0.15,0,0
2002,1,2,4,30,-3.2,-9.6,0,0.15,0,0
2002,1,2,5,30,-3.3,-9.2,0,0.15,0,0
2002,1,2,6,30,-3.4,-8.6,0,0.15,0,0
2002,1,2,7,30,-2.7,-8.2,9,0.15,0,9
2002,1,2,8,30,-1.7,-7.8,74,0.15,65,87
2002,1,2,9,30,-0.8,-7.4,117,0.15,390,250
2002,1,2,10,30,0,-7,101,0.15,672,403
2002,1,2,11,30,0.8,-6.6,194,0.15,21,205
2002,1,2,12,30,1.4000000000000001,-6.5,178,0.15,7,181
2002,1,2,13,30,1.8,-6.5,171,0.15,10,176
2002,1,2,14,30,1.8,-6.5,159,0.15,265,264
2002,1,2,15,30,1.1,-6.5,88,0.15,0,88
2002,1,2,16,30,0,-5.7,26,0.15,0,26
2002,1,2,17,30,-0.7,-5.1,0,0.15,0,0
2002,1,2,18,30,-0.8,-4.8,0,0.15,0,0
2002,1,2,19,30,-1.3,-4.3,0,0.68,0,0
2002,1,2,20,30,-1.7,-3.7,0,0.68,0,0
2002,1,2,21,30,-1.9,-3.3,0,0.68,0,0
2002,1,2,22,30,-2,-3.2,0,0.68,0,0
2002,1,2,23,30,-2,-3,0,0.68,0,0
2002,1,3,0,30,-1.9,-2.9,0,0.68,0,0
2002,1,3,1,30,-1.8,-2.8,0,0.68,0,0
2002,1,3,2,30,-1.7,-2.7,0,0.68,0,0
2002,1,3,3,30,-1.5,-2.5,0,0.68,0,0
2002,1,3,4,30,-1.5,-2.4,0,0.68,0,0
2002,1,3,5,30,-1.4,-2.3,0,0.68,0,0
2002,1,3,6,30,-1.3,-2.1,0,0.68,0,0
2002,1,3,7,30,-1.1,-2,6,0.68,0,6
2002,1,3,8,30,-0.6,-1.8,15,0.68,0,15
2002,1,3,9,30,-0.1,-1.4,89,0.68,694,327
2002,1,3,10,30,0.5,-1,90,0.68,0,90
2002,1,3,11,30,0.7000000000000001,-0.6,94,0.68,0,94
2002,1,3,12,30,0.8,-0.4,101,0.68,0,101
2002,1,3,13,30,0.8,-0.3,115,0.68,797,500
2002,1,3,14,30,0.6000000000000001,-0.4,79,0.68,0,79
