Year,Month,Day,Hour,Minute,Temperature,Dew Point,DHI,Surface Albedo,DNI,GHI
2013,1,1,0,30,17.900000000000002,17.8,0,0.16,0,0
2013,1,1,1,30,17.7,17.6,0,0.16,0,0
2013,1,1,2,30,17.5,17.3,0,0.16,0,0
2013,1,1,3,30,17.400000000000002,17.2,0,0.16,0,0
2013,1,1,4,30,17.3,17.2,0,0.16,0,0
2013,1,1,5,30,16.900000000000002,16.900000000000002,0,0.16,0,0
2013,1,1,6,30,16.5,16.5,0,0.16,0,0
2013,1,1,7,30,16.400000000000002,16,2,0.16,0,2
2013,1,1,8,30,16.7,15.5,71,0.16,0,71
2013,1,1,9,30,17,15,6,0.16,0,6
2013,1,1,10,30,16.900000000000002,13.9,126,0.16,0,126
2013,1,1,11,30,16.5,12.100000000000001,117,0.16,0,117
2013,1,1,12,30,16.2,10.200000000000001,186,0.16,3,188
2013,1,1,13,30,16.3,8.700000000000001,291,0.16,149,382
2013,1,1,14,30,16.3,7.6000000000000005,240,0.16,86,286
2013,1,1,15,30,16,6.800000000000001,73,0.16,0,73
2013,1,1,16,30,15.200000000000001,6.300000000000001,94,0.16,45,105
2013,1,1,17,30,14.700000000000001,6.300000000000001,12,0.16,0,12
2013,1,1,18,30,13.3,6.4,0,0.16,0,0
2013,1,1,19,30,12.5,6.300000000000001,0,0.16,0,0
2013,1,1,20,30,11.700000000000001,6.1000000000000005,0,0.16,0,0
2013,1,1,21,30,11.100000000000001,5.7,0,0.16,0,0
2013,1,1,22,30,10.5,5.1000000000000005,0,0.16,0,0
2013,1,1,23,30,10.100000000000001,4.6000000000000005,0,0.16,0,0
2013,1,2,0,30,9.700000000000001,4.2,0,0.16,0,0
2013,1,2,1,30,9.3,3.9000000000000004,0,0.16,0,0
2013,1,2,2,30,8.9,3.7,0,0.16,0,0
2013,1,2,3,30,8.5,3.6,0,0.16,0,0
2013,1,2,4,30,8.1,3.4000000000000004,0,0.16,0,0
2013,1,2,5,30,7.7,3.1,0,0.16,0,0
2013,1,2,6,30,7.4,2.9000000000000004,0,0.16,0,0
2013,1,2,7,30,7.300000000000001,2.7,2,0.16,0,2
2013,1,2,8,30,7.5,2.1,4,0.16,0,4
2013,1,2,9,30,7.9,1.5,49,0.16,0,49
2013,1,2,10,30,8.200000000000001,1.4000000000000001,32,0.16,0,32
2013,1,2,11,30,8.6,1.4000000000000001,222,0.16,17,232
2013,1,2,12,30,9,1.4000000000000001,247,0.16,24,262
2013,1,2,13,30,9.1,1.5,151,0.16,0,151
2013,1,2,14,30,8.8,1.8,119,0.16,0,119
2013,1,2,15,30,8.200000000000001,2,112,0.16,0,112
2013,1,2,16,30,7.5,2.1,55,0.16,0,55
2013,1,2,17,30,7.1000000000000005,2.3000000000000003,6,0.16,0,6
2013,1,2,18,30,6.4,2.5,0,0.16,0,0
2013,1,2,19,30,6.300000000000001,2.5,0,0.16,0,0
2013,1,2,20,30,6.2,2.2,0,0.16,0,0
2013,1,2,21,30,6.2,1.9000000000000001,0,0.16,0,0
2013,1,2,22,30,6.300000000000001,1.6,0,0.16,0,0
2013,1,2,23,30,6.300000000000001,1.3,0,0.16,0,0
2013,1,3,0,30,6.300000000000001,1,0,0.16,0,0
2013,1,3,1,30,6.300000000000001,0.9,0,0.16,0,0
2013,1,3,2,30,6.300000000000001,0.7000000000000001,0,0.16,0,0
2013,1,3,3,30,6.2,0.8,0,0.16,0,0
2013,1,3,4,30,6.2,0.9,0,0.16,0,0
2013,1,3,5,30,6.1000000000000005,1.2000000000000002,0,0.16,0,0
2013,1,3,6,30,6.1000000000000005,1.4000000000000001,0,0.16,0,0
2013,1,3,7,30,6.300000000000001,1.4000000000000001,11,0.16,109,13
2013,1,3,8,30,6.9,1.1,53,0.16,0,53
2013,1,3,9,30,7.6000000000000005,0.6000000000000001,89,0.16,0,89
2013,1,3,10,30,8.3,0.2,146,0.16,0,146
2013,1,3,11,30,8.9,-0.2,129,0.16,0,129
2013,1,3,12,30,9.3,-0.6,170,0.16,0,170
2013,1,3,13,30,9.600000000000001,-1,177,0.16,1,178
2013,1,3,14,30,9.8,-1.4,184,0.16,7,188
2013,1,3,15,30,9.9,-1.7,176,0.16,80,209
2013,1,3,16,30,9.700000000000001,-2,56,0.16,667,223
2013,1,3,17,30,9.4,-1.4,22,0.16,287,38
2013,1,3,18,30,9,-0.6,0,0.16,0,0
2013,1,3,19,30,8.9,-0.4,0,0.16,0,0
2013,1,3,20,30,8.700000000000001,-0.1,0,0.16,0,0
2013,1,3,21,30,8.5,0.4,0,0.16,0,0
2013,1,3,22,30,8.3,0.9,0,0.16,0,0
2013,1,3,23,30,8,1.4000000000000001,0,0.16,0,0
2013,1,4,0,30,7.7,1.8,0,0.16,0,0
2013,1,4,1,30,7.4,2.2,0,0.16,0,0
2013,1,4,2,30,7.2,2.3000000000000003,0,0.16,0,0
2013,1,4,3,30,7.2,2.3000000000000003,0,0.16,0,0
2013,1,4,4,30,7.1000000000000005,2.3000000000000003,0,0.16,0,0
2013,1,4,5,30,7.1000000000000005,2.4000000000000004,0,0.16,0,0
2013,1,4,6,30,7,2.6,0,0.16,0,0
2013,1,4,7,30,7.2,3,2,0.16,0,2
2013,1,4,8,30,7.800000000000001,3.4000000000000004,31,0.16,0,31
2013,1,4,9,30,8.8,3.7,41,0.16,0,41
2013,1,4,10,30,9.8,4,124,0.16,0,124
2013,1,4,11,30,10.700000000000001,4.3,116,0.16,0,116
2013,1,4,12,30,11.3,4.4,105,0.16,0,105
2013,1,4,13,30,11.5,4.6000000000000005,89,0.16,0,89
2013,1,4,14,30,11.5,4.800000000000001,75,0.16,0,75
2013,1,4,15,30,11.3,4.800000000000001,125,0.16,0,125
2013,1,4,16,30,10.700000000000001,4.7,35,0.16,0,35
2013,1,4,17,30,10.3,4.800000000000001,11,0.16,0,11
2013,1,4,18,30,9.200000000000001,4.7,0,0.16,0,0
2013,1,4,19,30,8.700000000000001,4.4,0,0.16,0,0
2013,1,4,20,30,8.3,4.2,0,0.16,0,0
2013,1,4,21,30,8,4.2,0,0.16,0,0
2013,1,4,22,30,7.7,4.3,0,0.16,0,0
2013,1,4,23,30,7.5,4.4,0,0.16,0,0
2013,1,5,0,30,7.2,4.5,0,0.16,0,0
2013,1,5,1,30,7,4.6000000000000005,0,0.16,0,0
2013,1,5,2,30,6.800000000000001,4.6000000000000005,0,0.16,0,0
2013,1,5,3,30,6.7,4.6000000000000005,0,0.16,0,0
2013,1,5,4,30,6.6000000000000005,4.6000000000000005,0,0.16,0,0
2013,1,5,5,30,6.5,4.7,0,0.16,0,0
2013,1,5,6,30,6.6000000000000005,4.800000000000001,0,0.16,0,0
2013,1,5,7,30,7,4.9,1,0.16,0,1
2013,1,5,8,30,8.200000000000001,4.9,29,0.16,0,29
