Plant Height (m),Leaf Area (m2),Canopy Biomass (kg),Fruit Biomass (kg)
0.01,1e-05,0.01,0.01
0.012082196723800344,1e-05,0.010087871412009187,0.01
0.014591602620979617,1e-05,0.010143096342868167,0.01
0.01761297862034744,1e-05,0.010233428946920519,0.01
0.021246584351551863,1e-05,0.010322322400644466,0.01
0.02561042147954787,1e-05,0.010389741430273484,0.01
0.03084252056352575,1e-05,0.010470725593583384,0.01
0.037103124264429264,1e-05,0.010536277439696054,0.01
0.044576535666737464,1e-05,0.010573433905681351,0.01
0.05347229599637747,1e-05,0.01065548061114231,0.01
0.06402522857568568,1e-05,0.010726711113154822,0.01
0.07649374266544283,1e-05,0.010781369820152844,0.01
0.09115565000081453,1e-05,0.01083363806508366,0.01
0.10830064262355286,1e-05,0.010881390423130717,0.01
0.12821856819321467,1e-05,0.010928151884639928,0.01
0.15118279511249139,1e-05,0.010978699476509457,0.01
0.17742837453465224,1e-05,0.011080077036118076,0.01
0.20712545865204807,1e-05,0.011166760289975328,0.01
0.24034954807557316,1e-05,0.011243392479668822,0.01
0.2770515228021416,1.0193839049769265e-05,0.01133478455905472,0.01
0.31703179626802247,1.0547448621560056e-05,0.01140090818428782,0.01
0.3599238737101014,1.0948916031418132e-05,0.011451230550940281,0.01
0.4051925529143567,1.1390116881744078e-05,0.011530949012040688,0.01
0.4521505460094634,1.1855897554824176e-05,0.011622768733982821,0.01
0.49999437653691103,1.3049081295535475e-05,0.011766431511182859,0.01
0.5478565488258909,1.4363552400697594e-05,0.011930717178153478,0.01
0.594867262011441,1.5399286585275066e-05,0.012087817886608683,0.01
0.6402165821530952,1.650667046026719e-05,0.012255017424576813,0.01
0.6832078490027472,1.9267043772464054e-05,0.012457425895922528,0.01
0.7232952363895108,2.434853243320211e-05,0.012743281105893322,0.01
0.7601020337015983,3.148296161750239e-05,0.013117077308191453,0.01
0.7934201505822788,3.5044117127040704e-05,0.013431274293620047,0.01
0.8231944137973526,3.8581274548665664e-05,0.013795172170123007,0.01
0.8494969394535411,4.256705912470123e-05,0.014269833338882215,0.01
0.8724969073195858,4.70344472783022e-05,0.0148420643567917,0.01
0.8924303075996128,5.191572770185402e-05,0.015562988097830154,0.01
0.9095727589615855,5.756681992839674e-05,0.016363952101540197,0.01
0.9242170988485149,6.360796846640396e-05,0.017176317503236848,0.01
0.9366562773401762,7.027512617155663e-05,0.0182795397568198,0.01
0.9471712884260484,7.829392980778802e-05,0.019192802721644833,0.01
0.9560234270685747,9.395131553600592e-05,0.02042419803238916,0.01
0.9634499877883892,0.00010820199205794719,0.022416632017242078,0.01
0.9696625272461107,0.00012849939521483077,0.024977214088515044,0.01
0.9748469185186198,0.0001527656135008741,0.028537841770695935,0.01
0.979164569898501,0.00017568383555517832,0.0318093409773488,0.01
0.9827543294813004,0.00021509077098783117,0.033777733819409426,0.01
0.9857347291528454,0.0002743669935956615,0.04023726414482625,0.01
0.98820633007471,0.0003132680664021294,0.05196005917044588,0.01
0.9902540155030111,0.0003403740288088739,0.06551333596635187,0.01
0.991949138372433,0.0003713354195659182,0.08225084584648665,0.01
0.9933514744897691,0.0004247020987432237,0.0954584759289441,0.01
0.9945109615033819,0.0004967740955370558,0.11394206246716872,0.01
0.9954692226929398,0.0005655785575575041,0.16838968371073482,0.01
0.9962608860425974,0.0006420116894034835,0.26544970306526416,0.01254868276999504
0.9969147153320628,0.0007077808655265087,0.3938732265709303,2.9929395248602955
0.9974545728216706,0.0007601357502158818,0.5334112625172238,4.999941720491097
0.9979002337548886,0.0008118720362571473,0.6654425967673365,4.999999999980893
0.9982680722173018,0.0008928143571940022,0.7355997996129839,5.0
0.9985716364609882,0.00098136319385274,0.8792321334193138,5.0
0.998822130013625,0.001068326574394736,0.9488145955725111,5.0
0.9990288129886913,0.001165385023461798,0.973949479114044,5.0
0.9991993399643205,0.0012720216297952382,0.9885187889494216,5.0
0.9993400216580358,0.0013774828237751618,0.9961912469783545,5.0
0.9994560803485466,0.0014830019335979204,0.9989146277169593,5.0
0.9995518233298217,0.001529063142861865,0.9996355140122787,5.0
0.999630805713161,0.0015711118070506453,0.9999179710673921,5.0
0.9996959613280296,0.0016144721095060668,0.9999793119938609,5.0
0.9997497109851607,0.0016557980530045259,0.999995071493901,5.0
0.9997940519712063,0.0016920818451995388,0.9999989721520295,5.0
0.9998306319976231,0.0017268001340873765,0.9999997239732538,5.0
0.9998608102831248,0.0017076016886197417,0.9999999495841194,5.0
0.9998857079940405,0.0017219005596624708,0.9999999875117769,5.0
0.9999062498869926,0.0017647166633229874,0.9999999932403848,5.0
0.9999231986817674,0.0017841524912343921,0.9999999963178143,5.0
0.9999371834290417,0.0018074937697883688,0.999999998988371,5.0
0.9999487229190682,0.0017884590263889128,0.9999999997986139,5.0
0.9999582449961628,0.001739361412136087,0.9999999999234298,5.0
0.9999661024936777,0.0017107469794687205,0.9999999999664678,5.0
0.9999725863798331,0.0016717581644921748,0.9999999999880459,5.0
0.999977936601953,0.0016777125999898927,0.9999999999953206,5.0
0.9999823510316267,0.001639571078371657,0.9999999999986409,5.0
0.9999859928430583,0.0016324359120141968,0.999999999999612,5.0
0.9999889965988245,0.0016290686784264231,0.9999999999998321,5.0
0.9999914732693265,0.0015511284957598836,0.9942066548939157,4.949745377804831
0.9999935143726437,0.001483177058550863,0.991034599756843,4.949556287709153
0.9999951953888352,0.001413346775024891,0.9902992170041679,4.949512380762613
0.9999965785757582,0.001344669310652275,0.9901534784156746,4.949503165756193
0.9999977152912463,0.0012790231524315333,0.9901136369586291,4.949501002645435
0.9999986479081074,0.0012199022256509954,0.9900531079323626,4.949498017986773
0.9999994113932787,0.001156112140983908,0.9900178187957936,4.949495972034269
0.9950000345551122,0.001112068850408202,0.9900070458392767,4.9494953499779735
0.8919538600595489,0.0010582913321100773,0.990003265493253,4.94949513285676
0.8136337378026995,0.0010029734108299773,0.9900019036938928,4.949495047627469
0.7522280396065943,0.0009514818836683171,0.9900011325839785,4.949495012838021
0.7029027762002967,0.0009066152679081823,0.9900005984570257,4.949494982513525
0.6625054157903899,0.0008726230825202503,0.990000327009726,4.949494967451069
0.6288918143486604,0.0008614053061523074,0.9900001907602024,4.945855928957324
0.6005526098156033,0.0008164446354713339,0.9900001126652015,4.9494949557203345
0.576394323777009,0.0007694370013172868,0.9900000585284464,4.949494952670261
0.5556052355761871,0.000726395819279072,0.9900000357590784,4.949494951451634
0.5375700400668137,0.0006898732438189839,0.9900000196326791,4.94949495056485
0.5218137665055445,0.0006609668785033072,0.9900000117413209,4.949494950126319
0.5079638837207024,0.0006379349143930479,0.9900000074596388,4.948582095801422
0.49572406233724103,0.0006088317036948975,0.9900000047459258,4.94949494975072
0.48485561361262086,0.0005828654210122453,0.9900000030137573,4.949494949655947
0.4751641057946009,0.0005598045521149995,0.9900000020163211,4.949051922845059
0.46648954753227345,0.0005416179583462784,0.99000000136887,4.946602589851985
0.4586990760971709,0.0005366883784777738,0.9900000009993667,4.941639548148381
0.4516814349851976,0.0005381228972937803,0.9900000007915957,4.939129284157351
0.44534274987613764,0.0005122320114381932,0.99000000062923,4.949494949528309
0.43960326012411105,0.00048525069331577697,0.9900000004755316,4.949494949519849
0.4343947626540958,0.0004615173353016449,0.9900000003946824,4.949494949515908
0.42965859336230555,0.00044659273503467266,0.9900000003018309,4.944130685631161
0.42534401853204645,0.0004272708609280317,0.9900000002572455,4.948343917229224
0.4214069422034739,0.0004164549714834764,0.990000000189976,4.941381858971385
0.4178088593150187,0.0004079194221508258,0.9900000001407063,4.939682414810353
0.41451600170321135,0.0003959253823627897,0.9900000001050645,4.941221193599597
0.4114986366789621,0.0003806300581952134,0.9900000000818329,4.9440634272142825
0.40873048723588756,0.0003626520876086616,0.990000000073445,4.949494949498738
0.40618824991754704,0.0003427064760347057,0.9900000000653749,4.949494949498356
0.4038511916235194,0.000323877032631554,0.9900000000531316,4.9494949494977405
0.4017008157951761,0.000306778977830797,0.9900000000417963,4.949494949497141
