Plant Height (m),Leaf Area (m2),Canopy Biomass (kg),Fruit Biomass (kg)
0.01,1e-05,0.01,0.01
0.010079200269155287,1e-05,0.01000626175,0.01
0.01015902141823929,1e-05,0.010010793807437674,0.01
0.01023946821301108,1e-05,0.010014440900073515,0.01
0.010320545454196174,1e-05,0.010016354331385107,0.01
0.010402257977717254,1e-05,0.010017802071323792,0.01
0.010484610654925999,1e-05,0.01001832769594658,0.01
0.010567608392836011,1e-05,0.01001832769594658,0.01
0.01065125613435683,1e-05,0.01001832769594658,0.01
0.010735558858529054,1e-05,0.01001832769594658,0.01
0.010820521580760535,1e-05,0.01001832769594658,0.01
0.010906149353063669,1e-05,0.01001832769594658,0.01
0.010992447264293775,1e-05,0.01001832769594658,0.01
0.011079420440388546,1e-05,0.01001832769594658,0.01
0.011167074044608583,1e-05,0.01001832769594658,0.01
0.011255413277778997,1e-05,0.01001832769594658,0.01
0.011344443378532087,1e-05,0.01001832769594658,0.01
0.011434169623551082,1e-05,0.01001832769594658,0.01
0.011524597327814936,1e-05,0.010018595480888346,0.01
0.011615731844844197,1e-05,0.010019160819612198,0.01
0.011707578566947907,1e-05,0.010019478220483753,0.01
0.011800142925471567,1e-05,0.01001996425580931,0.01
0.011893430391046135,1e-05,0.010021015729653955,0.01
0.011987446473838058,1e-05,0.0100229006426989,0.01
0.012082196723800344,1e-05,0.010025262183919987,0.01
0.01217768659634701,1e-05,0.01003186710923901,0.01
0.012273921855288718,1e-05,0.010040328516135323,0.01
0.012370908171446994,1e-05,0.010047653942610738,0.01
0.012468651256444321,1e-05,0.010053582174972082,0.01
0.01256715686296028,1e-05,0.010057757251935629,0.01
0.01266643078498866,1e-05,0.010059733636791673,0.01
0.012766478858095566,1e-05,0.010059733636791673,0.01
0.0128673069596785,1e-05,0.010059733636791673,0.01
0.012968921009226414,1e-05,0.010059733636791673,0.01
0.01307132696858072,1e-05,0.010059733636791673,0.01
0.013174530842197253,1e-05,0.010059733636791673,0.01
0.013278538677409179,1e-05,0.010059733636791673,0.01
0.013383356564690837,1e-05,0.010059733636791673,0.01
0.013488990637922506,1e-05,0.010059733636791673,0.01
0.01359544707465609,1e-05,0.010059733636791673,0.01
0.013702732096381705,1e-05,0.010059733636791673,0.01
0.013810851968795161,1e-05,0.010059733636791673,0.01
0.013919813002066335,1e-05,0.010060868909826812,0.01
0.014029621551108408,1e-05,0.01006596326969012,0.01
0.01414028401584798,1e-05,0.010072818941771483,0.01
0.014251806841496018,1e-05,0.010080985483367699,0.01
0.014364196518819651,1e-05,0.01008237261429859,0.01
0.014477459584414803,1e-05,0.010091699595621678,0.01
0.014591602620979617,1e-05,0.010101090061384878,0.01
0.014706632276240632,1e-05,0.010108784336547395,0.01
0.014822555207416854,1e-05,0.010115433720131484,0.01
0.01493937813716274,1e-05,0.010122873462140027,0.01
0.015057107835336606,1e-05,0.01012788867278798,0.01
0.015175751119277945,1e-05,0.010129482697800446,0.01
0.01529531485408546,1e-05,0.01013170866433418,0.01
0.015415805952895824,1e-05,0.01013170866433418,0.01
0.015537231377163138,1e-05,0.01013170866433418,0.01
0.015659598136939068,1e-05,0.01013170866433418,0.01
0.015782913291153663,1e-05,0.01013170866433418,0.01
0.015907183947896808,1e-05,0.01013170866433418,0.01
0.01603241726470033,1e-05,0.01013170866433418,0.01
0.016158620448820705,1e-05,0.01013170866433418,0.01
0.016285800757522364,1e-05,0.01013170866433418,0.01
0.016413965498361598,1e-05,0.01013170866433418,0.01
0.016543122029471006,1e-05,0.01013170866433418,0.01
0.016673277759844483,1e-05,0.01013170866433418,0.01
0.01680444014962275,1e-05,0.010132711570048566,0.01
0.016936616710379358,1e-05,0.010134506947159571,0.01
0.017069815005407205,1e-05,0.010138063219804427,0.01
0.017204042650005476,1e-05,0.010143427078511246,0.01
0.01733930731176706,1e-05,0.010152353116762677,0.01
0.017475616710866344,1e-05,0.01016184968904927,0.01
0.01761297862034744,1e-05,0.010171455639156718,0.01
0.017751400887365133,1e-05,0.010180043640708044,0.01
0.017890891370778303,1e-05,0.010188563245660812,0.01
0.01803145800397416,1e-05,0.010190696171644626,0.01
0.01817310877436592,1e-05,0.010191180340247019,0.01
0.018315851723682604,1e-05,0.010191563658413992,0.01
0.018459694948259112,1e-05,0.010192360586373392,0.01
0.01860464659932648,1e-05,0.010192360586373392,0.01
0.018750714883302363,1e-05,0.010192360586373392,0.01
