Plant Height (m),Leaf Area (m2),Canopy Biomass (kg),Fruit Biomass (kg)
0.01,1e-05,0.01,0.01
0.010079200269155287,1e-05,0.01000607365,0.01
0.01015902141823929,1e-05,0.01001146744094029,0.01
0.01023946821301108,1e-05,0.010016824465058005,0.01
0.010320545454196174,1e-05,0.010022714858747466,0.01
0.010402257977717254,1e-05,0.010025354179919597,0.01
0.010484610654925999,1e-05,0.010026748620846312,0.01
0.010567608392836011,1e-05,0.010026748620846312,0.01
0.01065125613435683,1e-05,0.010026748620846312,0.01
0.010735558858529054,1e-05,0.010026748620846312,0.01
0.010820521580760535,1e-05,0.010026748620846312,0.01
0.010906149353063669,1e-05,0.010026748620846312,0.01
0.010992447264293775,1e-05,0.010026748620846312,0.01
0.011079420440388546,1e-05,0.010026748620846312,0.01
0.011167074044608583,1e-05,0.010026748620846312,0.01
0.011255413277778997,1e-05,0.010026748620846312,0.01
0.011344443378532087,1e-05,0.010026748620846312,0.01
0.011434169623551082,1e-05,0.010026788325698043,0.01
0.011524597327814936,1e-05,0.01002903662174016,0.01
0.011615731844844197,1e-05,0.010033772494797187,0.01
0.011707578566947907,1e-05,0.010039841616394728,0.01
0.011800142925471567,1e-05,0.010046520653422918,0.01
0.011893430391046135,1e-05,0.010055083804756513,0.01
0.011987446473838058,1e-05,0.010063917961202824,0.01
0.012082196723800344,1e-05,0.0100737610450931,0.01
0.01217768659634701,1e-05,0.010078567684237946,0.01
0.012273921855288718,1e-05,0.010081126782213389,0.01
0.012370908171446994,1e-05,0.0100816656750873,0.01
0.012468651256444321,1e-05,0.010082084836166377,0.01
0.01256715686296028,1e-05,0.010082374268822022,0.01
0.01266643078498866,1e-05,0.010082823401221928,0.01
0.012766478858095566,1e-05,0.010082823401221928,0.01
0.0128673069596785,1e-05,0.010082823401221928,0.01
0.012968921009226414,1e-05,0.010082823401221928,0.01
0.01307132696858072,1e-05,0.010082823401221928,0.01
0.013174530842197253,1e-05,0.010082823401221928,0.01
0.013278538677409179,1e-05,0.010082823401221928,0.01
0.013383356564690837,1e-05,0.010082823401221928,0.01
0.013488990637922506,1e-05,0.010082823401221928,0.01
0.01359544707465609,1e-05,0.010082823401221928,0.01
0.013702732096381705,1e-05,0.010082823401221928,0.01
0.013810851968795161,1e-05,0.010082903250502517,0.01
0.013919813002066335,1e-05,0.0100836468527568,0.01
0.014029621551108408,1e-05,0.010087245351831066,0.01
0.01414028401584798,1e-05,0.010089701783067994,0.01
0.014251806841496018,1e-05,0.010092907898872013,0.01
0.014364196518819651,1e-05,0.010095655435176994,0.01
0.014477459584414803,1e-05,0.010100027693441717,0.01
0.014591602620979617,1e-05,0.010105246658385683,0.01
0.014706632276240632,1e-05,0.010109402959170077,0.01
0.014822555207416854,1e-05,0.01011143942496653,0.01
0.01493937813716274,1e-05,0.010113936719921852,0.01
0.015057107835336606,1e-05,0.01011428712749699,0.01
0.015175751119277945,1e-05,0.010114377235391901,0.01
0.01529531485408546,1e-05,0.010114567464847464,0.01
0.015415805952895824,1e-05,0.010114567464847464,0.01
0.015537231377163138,1e-05,0.010114567464847464,0.01
0.015659598136939068,1e-05,0.010114567464847464,0.01
0.015782913291153663,1e-05,0.010114567464847464,0.01
0.015907183947896808,1e-05,0.010114567464847464,0.01
0.01603241726470033,1e-05,0.010114567464847464,0.01
0.016158620448820705,1e-05,0.010114567464847464,0.01
0.016285800757522364,1e-05,0.010114567464847464,0.01
0.016413965498361598,1e-05,0.010114567464847464,0.01
0.016543122029471006,1e-05,0.010114567464847464,0.01
0.016673277759844483,1e-05,0.010114577477110453,0.01
0.01680444014962275,1e-05,0.010114707636656848,0.01
0.016936616710379358,1e-05,0.010115343424077553,0.01
0.017069815005407205,1e-05,0.010116625091053743,0.01
0.017204042650005476,1e-05,0.010118768146757136,0.01
0.01733930731176706,1e-05,0.01012118710220786,0.01
0.017475616710866344,1e-05,0.010122118845834529,0.01
0.01761297862034744,1e-05,0.010125214921255303,0.01
0.017751400887365133,1e-05,0.01012918891980062,0.01
0.017890891370778303,1e-05,0.010132282122337946,0.01
0.01803145800397416,1e-05,0.01013584263707632,0.01
0.01817310877436592,1e-05,0.010139855880008765,0.01
0.018315851723682604,1e-05,0.01014177797301609,0.01
0.018459694948259112,1e-05,0.010142179529908594,0.01
0.01860464659932648,1e-05,0.010142189569224318,0.01
0.018750714883302363,1e-05,0.010142189569224318,0.01
0.01889790806208166,1e-05,0.010142189569224318,0.01
0.01904623445332729,1e-05,0.010142189569224318,0.01
0.01919570243076106,1e-05,0.010142189569224318,0.01
0.019346320424454624,1e-05,0.010142189569224318,0.01
