Year,Month,Day,Hour,Minute,Temperature,Dew Point,DHI,Surface Albedo,DNI,GHI
2004,1,1,0,30,12.100000000000001,12.100000000000001,0,0.19,0,0
2004,1,1,1,30,12,12,0,0.19,0,0
2004,1,1,2,30,12,12,0,0.19,0,0
2004,1,1,3,30,11.9,11.9,0,0.19,0,0
2004,1,1,4,30,11.8,11.8,0,0.19,0,0
2004,1,1,5,30,11.8,11.8,0,0.19,0,0
2004,1,1,6,30,12.4,12.4,0,0.19,0,0
2004,1,1,7,30,14.3,13.600000000000001,32,0.19,302,60
2004,1,1,8,30,16.400000000000002,14.5,101,0.19,264,174
2004,1,1,9,30,18.3,15.600000000000001,178,0.19,239,280
2004,1,1,10,30,19.900000000000002,16.7,202,0.19,426,430
2004,1,1,11,30,20.8,17.5,193,0.19,552,521
2004,1,1,12,30,21.3,18,194,0.19,556,528
2004,1,1,13,30,21.5,18.3,197,0.19,490,467
2004,1,1,14,30,21.400000000000002,18.5,197,0.19,205,290
2004,1,1,15,30,20.5,18.7,89,0.19,494,243
2004,1,1,16,30,18.8,18.7,49,0.19,78,59
2004,1,1,17,30,17.8,17.8,0,0.19,0,0
2004,1,1,18,30,17,17,0,0.19,0,0
2004,1,1,19,30,16.8,16.8,0,0.19,0,0
2004,1,1,20,30,16.7,16.7,0,0.19,0,0
2004,1,1,21,30,16.7,16.7,0,0.19,0,0
2004,1,1,22,30,16.5,16.5,0,0.19,0,0
2004,1,1,23,30,16.3,16.3,0,0.19,0,0
2004,1,2,0,30,16,16,0,0.19,0,0
2004,1,2,1,30,15.9,15.9,0,0.19,0,0
2004,1,2,2,30,16,16,0,0.19,0,0
2004,1,2,3,30,16.2,16.2,0,0.19,0,0
2004,1,2,4,30,16.2,16.2,0,0.19,0,0
2004,1,2,5,30,16.3,16.3,0,0.19,0,0
2004,1,2,6,30,16.8,16.8,0,0.19,0,0
2004,1,2,7,30,17.900000000000002,17.6,18,0.19,0,18
2004,1,2,8,30,19.200000000000003,18.400000000000002,106,0.19,47,119
2004,1,2,9,30,20.200000000000003,19,171,0.19,298,297
2004,1,2,10,30,21.1,19.3,209,0.19,398,422
2004,1,2,11,30,21.6,19.200000000000003,276,0.19,106,338
2004,1,2,12,30,21.900000000000002,19.1,279,0.19,104,341
2004,1,2,13,30,22,19.1,254,0.19,193,361
2004,1,2,14,30,21.700000000000003,19.1,109,0.19,0,109
2004,1,2,15,30,20.900000000000002,19.1,108,0.19,0,108
2004,1,2,16,30,19.6,19.400000000000002,47,0.19,1,47
2004,1,2,17,30,18.8,18.8,0,0.19,0,0
2004,1,2,18,30,18.3,18.3,0,0.18,0,0
2004,1,2,19,30,18,18,0,0.18,0,0
2004,1,2,20,30,17.8,17.8,0,0.18,0,0
2004,1,2,21,30,17.7,17.7,0,0.18,0,0
2004,1,2,22,30,17.5,17.5,0,0.18,0,0
2004,1,2,23,30,17.5,17.5,0,0.18,0,0
2004,1,3,0,30,17.7,17.7,0,0.18,0,0
2004,1,3,1,30,17.8,17.8,0,0.18,0,0
2004,1,3,2,30,17.8,17.8,0,0.18,0,0
2004,1,3,3,30,17.7,17.7,0,0.18,0,0
2004,1,3,4,30,17.400000000000002,17.400000000000002,0,0.18,0,0
2004,1,3,5,30,16.900000000000002,16.900000000000002,0,0.18,0,0
2004,1,3,6,30,17.1,17.1,0,0.18,0,0
2004,1,3,7,30,18.5,18,28,0.18,0,28
2004,1,3,8,30,20.1,18.900000000000002,109,0.18,125,143
2004,1,3,9,30,21.400000000000002,19.1,185,0.18,124,237
2004,1,3,10,30,22.400000000000002,18.7,210,0.18,399,423
2004,1,3,11,30,22.8,18.5,278,0.18,202,399
2004,1,3,12,30,22.6,18.400000000000002,278,0.18,95,336
2004,1,3,13,30,22.200000000000003,18.6,218,0.18,27,233
2004,1,3,14,30,21.700000000000003,18.900000000000002,181,0.18,340,337
2004,1,3,15,30,21.1,19.200000000000003,95,0.18,470,243
2004,1,3,16,30,19.900000000000002,19.400000000000002,48,0.18,0,48
2004,1,3,17,30,19.200000000000003,19.200000000000003,0,0.18,0,0
2004,1,3,18,30,18.8,18.8,0,0.18,0,0
2004,1,3,19,30,18.6,18.6,0,0.18,0,0
2004,1,3,20,30,18.400000000000002,18.400000000000002,0,0.18,0,0
2004,1,3,21,30,18.2,18.2,0,0.18,0,0
2004,1,3,22,30,18.1,18.1,0,0.18,0,0
2004,1,3,23,30,17.900000000000002,17.900000000000002,0,0.18,0,0
2004,1,4,0,30,17.8,17.8,0,0.18,0,0
2004,1,4,1,30,17.7,17.7,0,0.18,0,0
2004,1,4,2,30,17.6,17.6,0,0.18,0,0
2004,1,4,3,30,17.6,17.6,0,0.18,0,0
2004,1,4,4,30,17.6,17.6,0,0.18,0,0
2004,1,4,5,30,17.6,17.6,0,0.18,0,0
2004,1,4,6,30,18,18,0,0.18,0,0
2004,1,4,7,30,19,18.7,32,0.18,69,38
2004,1,4,8,30,20.1,19.400000000000002,109,0.18,121,142
2004,1,4,9,30,20.8,19.900000000000002,162,0.18,358,314
2004,1,4,10,30,21.400000000000002,19.900000000000002,215,0.18,380,418
2004,1,4,11,30,21.700000000000003,19.5,240,0.18,412,486
2004,1,4,12,30,21.900000000000002,19,285,0.18,137,368
2004,1,4,13,30,21.8,18.7,253,0.18,233,383
2004,1,4,14,30,21.400000000000002,18.7,161,0.18,450,368
2004,1,4,15,30,20.8,19.1,109,0.18,0,109
2004,1,4,16,30,19.900000000000002,19.400000000000002,51,0.18,159,74
2004,1,4,17,30,19.5,19.1,0,0.18,0,0
