Year,Month,Day,Hour,Minute,Temperature,Dew Point,DHI,Surface Albedo,DNI,GHI
2011,1,1,0,30,-16.5,-22.6,0,0.8,0,0
2011,1,1,1,30,-16.3,-22.5,0,0.8,0,0
2011,1,1,2,30,-16.2,-22.3,0,0.8,0,0
2011,1,1,3,30,-16.2,-22.2,0,0.8,0,0
2011,1,1,4,30,-16.3,-22.4,0,0.8,0,0
2011,1,1,5,30,-16.7,-22.7,0,0.8,0,0
2011,1,1,6,30,-17.7,-23.6,0,0.8,0,0
2011,1,1,7,30,-18.3,-24.9,0,0.8,0,0
2011,1,1,8,30,-17.2,-25.3,44,0.8,2,44
2011,1,1,9,30,-15,-23.8,86,0.8,0,86
2011,1,1,10,30,-12.9,-22.2,57,0.8,939,383
2011,1,1,11,30,-11.4,-21,61,0.8,973,450
2011,1,1,12,30,-10.4,-20.3,61,0.8,979,459
2011,1,1,13,30,-9.9,-19.7,57,0.8,957,409
2011,1,1,14,30,-10.1,-19.3,49,0.8,897,305
2011,1,1,15,30,-11.9,-19.2,35,0.8,760,162
2011,1,1,16,30,-13.3,-20.7,12,0.8,361,20
2011,1,1,17,30,-15.1,-21.7,0,0.8,0,0
2011,1,1,18,30,-15.1,-21.2,0,0.8,0,0
2011,1,1,19,30,-15.2,-20.6,0,0.8,0,0
2011,1,1,20,30,-15.5,-20.7,0,0.8,0,0
2011,1,1,21,30,-15.8,-21.2,0,0.8,0,0
2011,1,1,22,30,-16,-21.5,0,0.8,0,0
2011,1,1,23,30,-16,-21.7,0,0.8,0,0
2011,1,2,0,30,-15.8,-21.7,0,0.8,0,0
2011,1,2,1,30,-15.7,-21.6,0,0.8,0,0
2011,1,2,2,30,-15.6,-21.5,0,0.8,0,0
2011,1,2,3,30,-15.5,-21.5,0,0.8,0,0
2011,1,2,4,30,-15.5,-21.6,0,0.8,0,0
2011,1,2,5,30,-15.5,-21.6,0,0.8,0,0
2011,1,2,6,30,-15.4,-21.8,0,0.8,0,0
2011,1,2,7,30,-14.7,-21.7,0,0.8,0,0
2011,1,2,8,30,-12.8,-20.6,38,0.8,0,38
2011,1,2,9,30,-10.6,-18.5,57,0.8,0,57
2011,1,2,10,30,-8.6,-16.8,71,0.8,0,71
2011,1,2,11,30,-6.8,-15.5,85,0.8,0,85
2011,1,2,12,30,-5.5,-14,168,0.8,42,185
2011,1,2,13,30,-4.8,-12.7,78,0.8,0,78
2011,1,2,14,30,-5,-12.1,62,0.8,0,62
2011,1,2,15,30,-6.1,-11.8,54,0.8,0,54
2011,1,2,16,30,-6.9,-12.2,8,0.8,0,8
2011,1,2,17,30,-7.9,-12.6,0,0.8,0,0
2011,1,2,18,30,-8.3,-12.8,0,0.8,0,0
2011,1,2,19,30,-8.4,-12.9,0,0.8,0,0
2011,1,2,20,30,-8.4,-12.8,0,0.8,0,0
2011,1,2,21,30,-8.5,-12.7,0,0.8,0,0
2011,1,2,22,30,-8.9,-12.8,0,0.8,0,0
2011,1,2,23,30,-10,-13.3,0,0.8,0,0
2011,1,3,0,30,-11.3,-14.5,0,0.8,0,0
2011,1,3,1,30,-12.2,-15.4,0,0.8,0,0
2011,1,3,2,30,-12.5,-16,0,0.8,0,0
2011,1,3,3,30,-12.5,-16.2,0,0.8,0,0
2011,1,3,4,30,-12.5,-16.5,0,0.8,0,0
2011,1,3,5,30,-12.6,-16.8,0,0.8,0,0
2011,1,3,6,30,-12.7,-17.1,0,0.8,0,0
2011,1,3,7,30,-12.4,-17.2,0,0.8,0,0
2011,1,3,8,30,-11,-16.9,32,0.8,631,111
2011,1,3,9,30,-8.6,-15.5,48,0.8,843,263
2011,1,3,10,30,-6.2,-13.7,55,0.8,929,380
2011,1,3,11,30,-4.5,-12.2,59,0.8,964,448
2011,1,3,12,30,-3.6,-11.9,60,0.8,969,457
2011,1,3,13,30,-3.3,-11.8,56,0.8,948,409
2011,1,3,14,30,-4.1,-11.7,48,0.8,889,306
2011,1,3,15,30,-6.5,-12.1,35,0.8,750,164
2011,1,3,16,30,-8.3,-14.5,13,0.8,377,23
2011,1,3,17,30,-11.5,-16.2,0,0.8,0,0
2011,1,3,18,30,-12.9,-17.1,0,0.8,0,0
2011,1,3,19,30,-13.5,-17.5,0,0.8,0,0
2011,1,3,20,30,-13.5,-17.2,0,0.8,0,0
2011,1,3,21,30,-13.5,-16.8,0,0.8,0,0
2011,1,3,22,30,-13.8,-16.9,0,0.8,0,0
2011,1,3,23,30,-14.1,-17.4,0,0.8,0,0
2011,1,4,0,30,-14.3,-18,0,0.8,0,0
2011,1,4,1,30,-14.4,-18.3,0,0.8,0,0
2011,1,4,2,30,-14.4,-18.6,0,0.8,0,0
2011,1,4,3,30,-14.4,-18.6,0,0.8,0,0
2011,1,4,4,30,-14.5,-18.6,0,0.8,0,0
2011,1,4,5,30,-14.8,-18.8,0,0.8,0,0
2011,1,4,6,30,-15.1,-19.3,0,0.8,0,0
2011,1,4,7,30,-14.8,-19.9,0,0.8,0,0
2011,1,4,8,30,-13.1,-19.5,30,0.8,652,112
2011,1,4,9,30,-10.4,-17.7,45,0.8,839,260
2011,1,4,10,30,-7.3,-15.4,54,0.8,920,377
2011,1,4,11,30,-4.7,-13.2,60,0.8,953,445
2011,1,4,12,30,-3,-11.7,61,0.8,947,451
2011,1,4,13,30,-2.1,-10.7,58,0.8,922,403
2011,1,4,14,30,-2.4,-10,51,0.8,859,303
2011,1,4,15,30,-4.6,-9.8,38,0.8,711,163
2011,1,4,16,30,-6.1,-11.7,13,0.8,0,13
2011,1,4,17,30,-7.8,-12.9,0,0.8,0,0
2011,1,4,18,30,-8.2,-13.1,0,0.8,0,0
2011,1,4,19,30,-8.4,-13.1,0,0.8,0,0
2011,1,4,20,30,-8.5,-13.1,0,0.8,0,0
2011,1,4,21,30,-8.5,-13.2,0,0.8,0,0
2011,1,4,22,30,-8.5,-13.6,0,0.8,0,0
2011,1,4,23,30,-8.4,-13.7,0,0.8,0,0
2011,1,5,0,30,-8.3,-13.5,0,0.8,0,0
2011,1,5,1,30,-8.1,-13.3,0,0.8,0,0
2011,1,5,2,30,-7.9,-13.1,0,0.8,0,0
2011,1,5,3,30,-7.7,-12.9,0,0.8,0,0
2011,1,5,4,30,-7.4,-12.4,0,0.8,0,0
2011,1,5,5,30,-7,-11.8,0,0.8,0,0
2011,1,5,6,30,-6.7,-11.3,0,0.8,0,0
2011,1,5,7,30,-6.4,-11.1,0,0.8,0,0
2011,1,5,8,30,-5.5,-10.9,34,0.8,0,34
2011,1,5,9,30,-4.1,-9.7,9,0.8,0,9
2011,1,5,10,30,-2.8,-8.2,58,0.8,0,58
2011,1,5,11,30,-1.7,-7.1,109,0.8,0,109
2011,1,5,12,30,-0.5,-6.4,179,0.8,70,208
2011,1,5,13,30,0.9,-5.8,136,0.8,12,141
