Plant Height (m),Leaf Area (m2),Canopy Biomass (kg),Fruit Biomass (kg)
0.01,1e-05,0.01,0.01
0.010079200269155287,1e-05,0.01001012275,0.01
0.01015902141823929,1e-05,0.010019561948983385,0.01
0.01023946821301108,1e-05,0.01002799324376162,0.01
0.010320545454196174,1e-05,0.010035101285499828,0.01
0.010402257977717254,1e-05,0.010040515532424918,0.01
0.010484610654925999,1e-05,0.010043636599349122,0.01
0.010567608392836011,1e-05,0.010043636599349122,0.01
0.01065125613435683,1e-05,0.010043636599349122,0.01
0.010735558858529054,1e-05,0.010043636599349122,0.01
0.010820521580760535,1e-05,0.010043636599349122,0.01
0.010906149353063669,1e-05,0.010043636599349122,0.01
0.010992447264293775,1e-05,0.010043636599349122,0.01
0.011079420440388546,1e-05,0.010043636599349122,0.01
0.011167074044608583,1e-05,0.010043636599349122,0.01
0.011255413277778997,1e-05,0.010043636599349122,0.01
0.011344443378532087,1e-05,0.010043636599349122,0.01
0.011434169623551082,1e-05,0.010046127261220906,0.01
0.011524597327814936,1e-05,0.010049279890441389,0.01
0.011615731844844197,1e-05,0.01005205546387148,0.01
0.011707578566947907,1e-05,0.010060250121960991,0.01
0.011800142925471567,1e-05,0.010069512030546174,0.01
0.011893430391046135,1e-05,0.010079520019972019,0.01
0.011987446473838058,1e-05,0.010089917016046595,0.01
0.012082196723800344,1e-05,0.010100379561890306,0.01
0.01217768659634701,1e-05,0.01011036292624206,0.01
0.012273921855288718,1e-05,0.010119685511900891,0.01
0.012370908171446994,1e-05,0.010128029904039267,0.01
0.012468651256444321,1e-05,0.010133413572254248,0.01
0.01256715686296028,1e-05,0.010138138044907515,0.01
0.01266643078498866,1e-05,0.010141314235145414,0.01
0.012766478858095566,1e-05,0.010141314235145414,0.01
0.0128673069596785,1e-05,0.010141314235145414,0.01
0.012968921009226414,1e-05,0.010141314235145414,0.01
0.01307132696858072,1e-05,0.010141314235145414,0.01
0.013174530842197253,1e-05,0.010141314235145414,0.01
0.013278538677409179,1e-05,0.010141314235145414,0.01
0.013383356564690837,1e-05,0.010141314235145414,0.01
0.013488990637922506,1e-05,0.010141314235145414,0.01
0.01359544707465609,1e-05,0.010141314235145414,0.01
0.013702732096381705,1e-05,0.010141314235145414,0.01
0.013810851968795161,1e-05,0.010142202639561709,0.01
0.013919813002066335,1e-05,0.010145159224710255,0.01
0.014029621551108408,1e-05,0.010149156034227922,0.01
0.01414028401584798,1e-05,0.010154204224937598,0.01
0.014251806841496018,1e-05,0.010160260010495399,0.01
0.014364196518819651,1e-05,0.010165539950787082,0.01
0.014477459584414803,1e-05,0.010170324527718396,0.01
0.014591602620979617,1e-05,0.010175312671231136,0.01
0.014706632276240632,1e-05,0.010185369339250884,0.01
0.014822555207416854,1e-05,0.01019480070186196,0.01
0.01493937813716274,1e-05,0.010203236666457028,0.01
0.015057107835336606,1e-05,0.010210356553549757,0.01
0.015175751119277945,1e-05,0.01021581385034296,0.01
0.01529531485408546,1e-05,0.010219039403211233,0.01
0.015415805952895824,1e-05,0.010219039403211233,0.01
0.015537231377163138,1e-05,0.010219039403211233,0.01
0.015659598136939068,1e-05,0.010219039403211233,0.01
0.015782913291153663,1e-05,0.010219039403211233,0.01
0.015907183947896808,1e-05,0.010219039403211233,0.01
0.01603241726470033,1e-05,0.010219039403211233,0.01
0.016158620448820705,1e-05,0.010219039403211233,0.01
0.016285800757522364,1e-05,0.010219039403211233,0.01
0.016413965498361598,1e-05,0.010219039403211233,0.01
0.016543122029471006,1e-05,0.010219039403211233,0.01
0.016673277759844483,1e-05,0.010221239331024756,0.01
0.01680444014962275,1e-05,0.010222650619825616,0.01
0.016936616710379358,1e-05,0.010226191971637561,0.01
0.017069815005407205,1e-05,0.010233950191044604,0.01
0.017204042650005476,1e-05,0.01024281325544232,0.01
0.01733930731176706,1e-05,0.010252469603317854,0.01
0.017475616710866344,1e-05,0.010262571296684089,0.01
0.01761297862034744,1e-05,0.01027275394073847,0.01
0.017751400887365133,1e-05,0.010282860161858878,0.01
0.017890891370778303,1e-05,0.010292345240447113,0.01
0.01803145800397416,1e-05,0.01030084070878061,0.01
0.01817310877436592,1e-05,0.010307992314253325,0.01
0.018315851723682604,1e-05,0.010313455344742786,0.01
0.018459694948259112,1e-05,0.01031528751703584,0.01
0.01860464659932648,1e-05,0.01031528751703584,0.01
0.018750714883302363,1e-05,0.01031528751703584,0.01
0.01889790806208166,1e-05,0.01031528751703584,0.01
0.01904623445332729,1e-05,0.01031528751703584,0.01
0.01919570243076106,1e-05,0.01031528751703584,0.01
0.019346320424454624,1e-05,0.01031528751703584,0.01
0.019498096921120495,1e-05,0.01031528751703584,0.01
0.019651040464403056,1e-05,0.01031528751703584,0.01
0.01980515965516957,1e-05,0.01031528751703584,0.01
0.019960463151801153,1e-05,0.01031528751703584,0.01
0.020116959670483645,1e-05,0.010315874527771569,0.01
0.0202746579854984,1e-05,0.01031877401363355,0.01
0.020433566929512915,1e-05,0.010324727782735863,0.01
0.020593695393871275,1e-05,0.010331119221661595,0.01
0.0207550523288844,1e-05,0.010338209834182915,0.01
0.020917646744120034,1e-05,0.01034689623441553,0.01
0.02108148770869246,1e-05,0.010356306645512469,0.01
0.021246584351551863,1e-05,0.010365781895527003,0.01
0.021412945885267768,1e-05,0.010376040227988223,0.01
