Plant Height (m),Leaf Area (m2),Canopy Biomass (kg),Fruit Biomass (kg)
0.01,1e-05,0.01,0.01
0.012082196723800344,1e-05,0.010068958228662307,0.01
0.014591602620979617,1e-05,0.010157858240567344,0.01
0.01761297862034744,1e-05,0.010247824811230216,0.01
0.021246584351551863,1e-05,0.010335872070209185,0.01
0.02561042147954787,1e-05,0.01040252440621893,0.01
0.03084252056352575,1e-05,0.01049245035006111,0.01
0.037103124264429264,1e-05,0.010599121593342599,0.01
0.044576535666737464,1e-05,0.010694794316046018,0.01
0.05347229599637747,1e-05,0.010745993512927873,0.01
0.06402522857568568,1e-05,0.01082412585375116,0.01
0.07649374266544283,1e-05,0.010893488790900324,0.01
0.09115565000081453,1e-05,0.010939049117874784,0.01
0.10830064262355286,1e-05,0.011038475688493261,0.01
0.12821856819321467,1e-05,0.011076637076371808,0.01
0.15118279511249139,1e-05,0.01114407276451129,0.01
0.17742837453465224,1e-05,0.011238815937589589,0.01
0.20712545865204807,1e-05,0.011338509981296107,0.01
0.24034954807557316,1e-05,0.011427743389373808,0.01
0.2770515228021416,1.0241200118140582e-05,0.01152032997073636,0.01
0.31703179626802247,1.0606236191261216e-05,0.011561559012973519,0.01
0.3599238737101014,1.1033060968235308e-05,0.011617121667417882,0.01
0.4051925529143567,1.1480382429958845e-05,0.011752574403074593,0.01
0.4521505460094634,1.2138708990533386e-05,0.01186561984631856,0.01
0.49999437653691103,1.331098218422929e-05,0.011986481568130874,0.01
0.5478565488258909,1.4400683996521765e-05,0.012118721070451678,0.01
0.594867262011441,1.5294280932459787e-05,0.012268230200173062,0.01
0.6402165821530952,1.6570161098481386e-05,0.012421514151039278,0.01
0.6832078490027472,1.933419862796868e-05,0.012585291712010454,0.01
0.7232952363895108,2.4546978639507968e-05,0.012785207653078608,0.01
0.7601020337015983,3.2792365248273304e-05,0.01314547234451788,0.01
0.7934201505822788,3.585595910044087e-05,0.013547566162875998,0.01
0.8231944137973526,3.886608144228522e-05,0.013832670154795296,0.01
0.8494969394535411,4.2383851255171696e-05,0.014174329113465856,0.01
0.8724969073195858,4.6077495799714685e-05,0.014427926165552009,0.01
0.8924303075996128,4.9767450997684314e-05,0.015077411883856327,0.01
0.9095727589615855,5.399374196069865e-05,0.015629560025883407,0.01
0.9242170988485149,6.038260498000427e-05,0.016238318031141757,0.01
0.9366562773401762,6.69917476313133e-05,0.016992690847807773,0.01
0.9471712884260484,7.338859185497974e-05,0.018022386474555493,0.01
0.9560234270685747,8.170634787924374e-05,0.01919471080377638,0.01
0.9634499877883892,9.896132637775043e-05,0.020622831807170554,0.01
0.9696625272461107,0.00012986235393957961,0.02275494964954196,0.01
0.9748469185186198,0.00016818465179743944,0.025514678620590134,0.01
0.979164569898501,0.00021139299107656386,0.027462893306973796,0.01
0.9827543294813004,0.00024412769518166293,0.031901758972627293,0.01
0.9857347291528454,0.00027560885849196685,0.035739374461068174,0.01
0.98820633007471,0.0003046999924943019,0.044480948239694354,0.01
0.9902540155030111,0.000334522456259396,0.05754053598917723,0.01
0.991949138372433,0.00036655584255376825,0.07230635163654726,0.01
0.9933514744897691,0.00039435654331967723,0.09078826914500833,0.01
0.9945109615033819,0.00041893534116697797,0.12059227046958233,0.01
0.9954692226929398,0.00045113919108332205,0.14504106237313405,0.01
0.9962608860425974,0.0005224931952773535,0.20520946953828773,0.01
0.9969147153320628,0.0005993214589008673,0.21589560091000487,0.01
0.9974545728216706,0.0006724876598170411,0.2766738314099962,0.015523360530334165
0.9979002337548886,0.0007314535610740305,0.35695229002678736,2.252088189959497
0.9982680722173018,0.0007856687728997236,0.5090723921786648,4.9990251366906655
0.9985716364609882,0.0008420942896972508,0.6593683001482143,4.999999998043666
0.998822130013625,0.0009169980826312543,0.7801821739584385,5.0
0.9990288129886913,0.0010047283873298794,0.8398440887507712,5.0
0.9991993399643205,0.001092675855317075,0.9184834379309079,5.0
0.9993400216580358,0.0012009918815048134,0.9595236574494725,5.0
0.9994560803485466,0.0013025640280939599,0.9745061884997754,5.0
0.9995518233298217,0.001405749788893226,0.9835249288766795,5.0
0.999630805713161,0.0015098471495230237,0.9947280780737482,5.0
0.9996959613280296,0.001550770947655016,0.9983625761057857,5.0
0.9997497109851607,0.0015738567597475357,0.9993925323267001,5.0
0.9997940519712063,0.0015808997903893856,0.9997728831671058,5.0
0.9998306319976231,0.001590677602781957,0.9998664525061937,5.0
0.9998608102831248,0.0016317285707444218,0.9999417618271831,5.0
0.9998857079940405,0.0016737323401812584,0.9999757222118862,5.0
0.9999062498869926,0.0016938794243232904,0.9999856803073681,5.0
0.9999231986817674,0.0016964455399490746,0.9999932158609234,5.0
0.9999371834290417,0.0016929098989640551,0.9999979441760731,5.0
0.9999487229190682,0.0016717156620196197,0.9999992662834469,5.0
0.9999582449961628,0.0016817703677766273,0.9999993804428821,5.0
0.9999661024936777,0.0017130920945961543,0.9999996154638876,5.0
0.9999725863798331,0.0017315747385855073,0.999999876536288,5.0
0.999977936601953,0.0017771395901501172,0.9999999566207267,5.0
0.9999823510316267,0.0018265398579128637,0.9999999863746311,5.0
0.9999859928430583,0.0018618903063477347,0.9999999956289779,5.0
0.9999889965988245,0.0018863236999327219,0.9999999967505895,5.0
0.9999914732693265,0.00190760404103311,0.9999999973514117,5.0
0.9999935143726437,0.001923422007792919,0.9999999984580697,5.0
0.9999951953888352,0.00195907794263783,0.9999999990821351,5.0
0.9999965785757582,0.0019814595347680624,0.9999999995863825,5.0
0.9999977152912463,0.0019202082453611418,0.9968152954399608,4.949167332092441
0.9999986479081074,0.001875868064177899,0.9926373695864187,4.946472958084217
0.9999994113932787,0.0018551141597528804,0.9919136965318094,4.942753673223839
0.9950000345551122,0.0017954880819709025,0.9907021887132752,4.947952480879626
0.8919538600595489,0.0017428670864478985,0.9904529597735383,4.946699099649977
0.8136337378026995,0.001685014981205914,0.9902991956421707,4.9474958014369355
0.7522280396065943,0.00166431103339036,0.9902523198717709,4.94107519761967
0.7029027762002967,0.001600927461679952,0.9902153753548755,4.948403398470965
0.6625054157903899,0.0015223338868916487,0.9901071391920855,4.949501112108157
0.6288918143486604,0.001453131336833732,0.9900836757779861,4.9494992783444784
0.6005526098156033,0.0014022477290015598,0.9900430239626481,4.94632762483878
0.576394323777009,0.001353177039758374,0.9900259605897168,4.945920528463646
0.5556052355761871,0.0013178426929168925,0.9900231495393231,4.942471888180349
0.5375700400668137,0.0013281487967422231,0.9900195929541789,4.932432813116829
0.5218137665055445,0.00134179059069709,0.9900125712164589,4.930425739163071
0.5079638837207024,0.0013475388389339528,0.9900068410037515,4.9308052043812145
0.49572406233724103,0.0013464031877904114,0.9900038611856146,4.931095737229791
0.48485561361262086,0.0012999180548185275,0.9900019466850453,4.941991830632632
0.4751641057946009,0.0012350675882276969,0.9900013877295432,4.94949502102929
0.46648954753227345,0.0011670803147980084,0.9900008065195277,4.949494994508767
0.4586990760971709,0.0011093722665072565,0.9900004462184944,4.949494974288099
0.4516814349851976,0.0010507370015911664,0.9900003814917762,4.949494969265798
0.44534274987613764,0.0009928797656479716,0.9900002245725819,4.949494961845321
0.43960326012411105,0.0009447012204458454,0.9900001717336827,4.949494958367164
0.4343947626540958,0.0009082589781663212,0.9900001074773339,4.942291896924793
0.42965859336230555,0.0008659004324347973,0.9900000683106348,4.949494953226346
0.42534401853204645,0.0008154936323352797,0.990000066795523,4.949494952914606
0.4214069422034739,0.0007700136323329203,0.99000005844552,4.949494952549755
0.4178088593150187,0.0007279799104205745,0.9900000523478438,4.949494952209829
0.41451600170321135,0.0006894978432531475,0.9900000467114634,4.949494951907331
0.4114986366789621,0.0006539168350006289,0.9900000368747295,4.949494951430849
0.40873048723588756,0.0006222299531961026,0.990000033831769,4.94949495124692
0.40618824991754704,0.0005934228426075195,0.9900000250781257,4.9494949508316815
0.4038511916235194,0.0005657138070871485,0.990000021091699,4.949494950606089
0.4017008157951761,0.0005319011258425088,0.9900000184471317,4.949494950469772
