Plant Height (m),Leaf Area (m2),Canopy Biomass (kg),Fruit Biomass (kg)
0.01,1e-05,0.01,0.01
0.010079200269155287,1e-05,0.010009405,0.01
0.01015902141823929,1e-05,0.010013705600096212,0.01
0.01023946821301108,1e-05,0.010020293075195228,0.01
0.010320545454196174,1e-05,0.010026904679748682,0.01
0.010402257977717254,1e-05,0.010031937347240864,0.01
0.010484610654925999,1e-05,0.010034847217431893,0.01
0.010567608392836011,1e-05,0.010034847217431893,0.01
0.01065125613435683,1e-05,0.010034847217431893,0.01
0.010735558858529054,1e-05,0.010034847217431893,0.01
0.010820521580760535,1e-05,0.010034847217431893,0.01
0.010906149353063669,1e-05,0.010034847217431893,0.01
0.010992447264293775,1e-05,0.010034847217431893,0.01
0.011079420440388546,1e-05,0.010034847217431893,0.01
0.011167074044608583,1e-05,0.010034847217431893,0.01
0.011255413277778997,1e-05,0.010034847217431893,0.01
0.011344443378532087,1e-05,0.010034847217431893,0.01
0.011434169623551082,1e-05,0.01003527935291595,0.01
0.011524597327814936,1e-05,0.010036113857007731,0.01
0.011615731844844197,1e-05,0.01003684907588813,0.01
0.011707578566947907,1e-05,0.010042418265955947,0.01
0.011800142925471567,1e-05,0.010047403962358764,0.01
0.011893430391046135,1e-05,0.010054117818563047,0.01
0.011987446473838058,1e-05,0.0100614084148938,0.01
0.012082196723800344,1e-05,0.010068958228662307,0.01
0.01217768659634701,1e-05,0.010078631759529048,0.01
0.012273921855288718,1e-05,0.010081874301735,0.01
0.012370908171446994,1e-05,0.010084873360883744,0.01
0.012468651256444321,1e-05,0.010089310879366528,0.01
0.01256715686296028,1e-05,0.010094364562809313,0.01
0.01266643078498866,1e-05,0.01009732233344591,0.01
0.012766478858095566,1e-05,0.01009732233344591,0.01
0.0128673069596785,1e-05,0.01009732233344591,0.01
0.012968921009226414,1e-05,0.01009732233344591,0.01
0.01307132696858072,1e-05,0.01009732233344591,0.01
0.013174530842197253,1e-05,0.01009732233344591,0.01
0.013278538677409179,1e-05,0.01009732233344591,0.01
0.013383356564690837,1e-05,0.01009732233344591,0.01
0.013488990637922506,1e-05,0.01009732233344591,0.01
0.01359544707465609,1e-05,0.01009732233344591,0.01
0.013702732096381705,1e-05,0.01009732233344591,0.01
0.013810851968795161,1e-05,0.010099776195900828,0.01
0.013919813002066335,1e-05,0.010104545132532691,0.01
0.014029621551108408,1e-05,0.010111006710904619,0.01
0.01414028401584798,1e-05,0.010118858594307036,0.01
0.014251806841496018,1e-05,0.01012782333253611,0.01
0.014364196518819651,1e-05,0.01013756286342317,0.01
0.014477459584414803,1e-05,0.010147713056221634,0.01
0.014591602620979617,1e-05,0.010157858240567344,0.01
0.014706632276240632,1e-05,0.01016804362751391,0.01
0.014822555207416854,1e-05,0.010176472775671314,0.01
0.01493937813716274,1e-05,0.010184999495829582,0.01
0.015057107835336606,1e-05,0.010192247925566692,0.01
0.015175751119277945,1e-05,0.010197841924518012,0.01
0.01529531485408546,1e-05,0.01020126373829323,0.01
0.015415805952895824,1e-05,0.01020126373829323,0.01
0.015537231377163138,1e-05,0.01020126373829323,0.01
0.015659598136939068,1e-05,0.01020126373829323,0.01
0.015782913291153663,1e-05,0.01020126373829323,0.01
0.015907183947896808,1e-05,0.01020126373829323,0.01
0.01603241726470033,1e-05,0.01020126373829323,0.01
0.016158620448820705,1e-05,0.01020126373829323,0.01
0.016285800757522364,1e-05,0.01020126373829323,0.01
0.016413965498361598,1e-05,0.01020126373829323,0.01
0.016543122029471006,1e-05,0.01020126373829323,0.01
0.016673277759844483,1e-05,0.01020160704302375,0.01
