Year,Month,Day,Hour,Minute,Temperature,Dew Point,DHI,Surface Albedo,DNI,GHI
2004,1,1,0,30,5.5,3.7,0,0.14,0,0
2004,1,1,1,30,5,3.6,0,0.14,0,0
2004,1,1,2,30,4.5,3.5,0,0.14,0,0
2004,1,1,3,30,4.1000000000000005,3.3000000000000003,0,0.14,0,0
2004,1,1,4,30,3.7,2.9000000000000004,0,0.14,0,0
2004,1,1,5,30,3.3000000000000003,2.3000000000000003,0,0.14,0,0
2004,1,1,6,30,2.9000000000000004,1.7000000000000002,0,0.14,0,0
2004,1,1,7,30,4.5,1.1,0,0.14,0,0
2004,1,1,8,30,7.800000000000001,1.1,39,0.14,698,168
2004,1,1,9,30,11.4,1.6,54,0.14,873,357
2004,1,1,10,30,15.100000000000001,2.9000000000000004,65,0.14,943,513
2004,1,1,11,30,17.6,3,136,0.14,677,512
2004,1,1,12,30,18.8,2.9000000000000004,69,0.14,995,651
2004,1,1,13,30,19.5,2.9000000000000004,69,0.14,984,620
2004,1,1,14,30,19.6,2.8000000000000003,64,0.14,950,525
2004,1,1,15,30,18.5,3.4000000000000004,57,0.14,876,374
2004,1,1,16,30,15.5,6.1000000000000005,42,0.14,704,184
2004,1,1,17,30,12.100000000000001,3.1,11,0.14,223,15
2004,1,1,18,30,10.700000000000001,2.3000000000000003,0,0.14,0,0
2004,1,1,19,30,8.5,2.1,0,0.14,0,0
2004,1,1,20,30,7.6000000000000005,2.2,0,0.14,0,0
2004,1,1,21,30,6.800000000000001,2.6,0,0.14,0,0
2004,1,1,22,30,6.1000000000000005,3.1,0,0.14,0,0
2004,1,1,23,30,5.9,3.8000000000000003,0,0.14,0,0
2004,1,2,0,30,6.1000000000000005,4.5,0,0.14,0,0
2004,1,2,1,30,6.6000000000000005,5.2,0,0.14,0,0
2004,1,2,2,30,7.1000000000000005,5.800000000000001,0,0.14,0,0
2004,1,2,3,30,7.300000000000001,6.300000000000001,0,0.14,0,0
2004,1,2,4,30,7.300000000000001,6.5,0,0.14,0,0
2004,1,2,5,30,7.4,6.7,0,0.14,0,0
2004,1,2,6,30,7.6000000000000005,6.9,0,0.14,0,0
2004,1,2,7,30,8.6,7.1000000000000005,0,0.14,0,0
2004,1,2,8,30,10.9,7.9,49,0.14,540,148
2004,1,2,9,30,14.100000000000001,8.5,71,0.14,729,325
2004,1,2,10,30,17.900000000000002,9.700000000000001,86,0.14,807,470
2004,1,2,11,30,20.900000000000002,11.3,200,0.14,480,467
2004,1,2,12,30,22.200000000000003,12.3,226,0.14,439,484
2004,1,2,13,30,22.3,13,246,0.14,292,410
2004,1,2,14,30,21.8,13.5,196,0.14,337,360
2004,1,2,15,30,20.700000000000003,14.8,132,0.14,10,136
2004,1,2,16,30,19.1,15.200000000000001,66,0.14,0,66
2004,1,2,17,30,18.1,13.9,4,0.14,0,4
2004,1,2,18,30,17.8,13.8,0,0.14,0,0
2004,1,2,19,30,16.2,13.8,0,0.14,0,0
2004,1,2,20,30,15.3,13.8,0,0.14,0,0
2004,1,2,21,30,14.5,13.8,0,0.14,0,0
2004,1,2,22,30,13.5,13.5,0,0.14,0,0
2004,1,2,23,30,12.5,12.5,0,0.14,0,0
2004,1,3,0,30,11.8,11.8,0,0.14,0,0
2004,1,3,1,30,11.5,11.5,0,0.14,0,0
2004,1,3,2,30,11.3,11.3,0,0.14,0,0
2004,1,3,3,30,11.200000000000001,11.200000000000001,0,0.14,0,0
2004,1,3,4,30,11.100000000000001,11.100000000000001,0,0.14,0,0
2004,1,3,5,30,11,11,0,0.14,0,0
2004,1,3,6,30,10.9,10.9,0,0.14,0,0
2004,1,3,7,30,12.4,12.4,0,0.14,0,0
2004,1,3,8,30,15,13.9,49,0.14,522,145
2004,1,3,9,30,17,14.4,71,0.14,721,322
2004,1,3,10,30,18.5,14.8,82,0.14,815,469
2004,1,3,11,30,19.900000000000002,14.8,89,0.14,853,565
2004,1,3,12,30,21.3,14.5,92,0.14,861,598
2004,1,3,13,30,22.5,14.200000000000001,220,0.14,420,456
2004,1,3,14,30,22.6,14,205,0.14,291,347
2004,1,3,15,30,21.6,14.9,141,0.14,299,250
2004,1,3,16,30,20.1,15.200000000000001,59,0.14,495,161
2004,1,3,17,30,18.8,13.5,12,0.14,64,13
2004,1,3,18,30,18.2,13.200000000000001,0,0.14,0,0
2004,1,3,19,30,16.3,13.200000000000001,0,0.14,0,0
2004,1,3,20,30,15.3,13.4,0,0.14,0,0
2004,1,3,21,30,14.4,13.600000000000001,0,0.14,0,0
2004,1,3,22,30,13.5,13.5,0,0.14,0,0
2004,1,3,23,30,13.200000000000001,13.200000000000001,0,0.14,0,0
2004,1,4,0,30,13.200000000000001,13.200000000000001,0,0.14,0,0
2004,1,4,1,30,13.3,13.3,0,0.14,0,0
2004,1,4,2,30,13.100000000000001,13.100000000000001,0,0.14,0,0
2004,1,4,3,30,12.9,12.9,0,0.14,0,0
2004,1,4,4,30,12.8,12.8,0,0.14,0,0
2004,1,4,5,30,12.8,12.8,0,0.14,0,0
2004,1,4,6,30,13,13,0,0.14,0,0
2004,1,4,7,30,14.8,14.8,0,0.14,0,0
2004,1,4,8,30,17.6,15.9,69,0.14,69,81
2004,1,4,9,30,20.6,16.7,74,0.14,701,318
2004,1,4,10,30,23.1,17.2,81,0.14,813,468
2004,1,4,11,30,24.700000000000003,17.1,87,0.14,859,566
2004,1,4,12,30,25.3,17,258,0.14,313,442
2004,1,4,13,30,25.3,16.8,234,0.14,39,256
2004,1,4,14,30,24.900000000000002,16.8,216,0.14,224,326
2004,1,4,15,30,23.900000000000002,17,148,0.14,49,167
2004,1,4,16,30,21.5,18,77,0.14,188,116
2004,1,4,17,30,19,17.2,7,0.14,0,7
2004,1,4,18,30,18.3,16.6,0,0.14,0,0
2004,1,4,19,30,17,16.400000000000002,0,0.14,0,0
2004,1,4,20,30,16.3,16.3,0,0.14,0,0
2004,1,4,21,30,15.8,15.8,0,0.14,0,0
2004,1,4,22,30,15.5,15.5,0,0.14,0,0
