Plant Height (m),Leaf Area (m2),Canopy Biomass (kg),Fruit Biomass (kg)
0.01,1e-05,0.01,0.01
0.012082196723800344,1e-05,0.010050880054069039,0.01
0.014591602620979617,1e-05,0.010137066093720285,0.01
0.01761297862034744,1e-05,0.010218096522934653,0.01
0.021246584351551863,1e-05,0.010254944030000419,0.01
0.02561042147954787,1e-05,0.010314032663603898,0.01
0.03084252056352575,1e-05,0.010361901746829631,0.01
0.037103124264429264,1e-05,0.010405013344977253,0.01
0.044576535666737464,1e-05,0.010507932596982995,0.01
0.05347229599637747,1e-05,0.010580081447066233,0.01
0.06402522857568568,1e-05,0.010636908209576686,0.01
0.07649374266544283,1e-05,0.010705317481742239,0.01
0.09115565000081453,1e-05,0.010812189481770533,0.01
0.10830064262355286,1e-05,0.010908197941449937,0.01
0.12821856819321467,1e-05,0.011012398112593174,0.01
0.15118279511249139,1e-05,0.011128475129135274,0.01
0.17742837453465224,1e-05,0.011210296122854556,0.01
0.20712545865204807,1e-05,0.011309813821588318,0.01
0.24034954807557316,1e-05,0.011414072753848354,0.01
0.2770515228021416,1.0193839049769265e-05,0.011523159773064189,0.01
0.31703179626802247,1.0547448621560056e-05,0.01161722874798089,0.01
0.3599238737101014,1.0948916031418132e-05,0.011734662133656907,0.01
0.4051925529143567,1.1390116881744078e-05,0.011824392958415047,0.01
0.4521505460094634,1.1855897554824176e-05,0.011931513499046385,0.01
0.49999437653691103,1.3049081295535475e-05,0.012044561580588791,0.01
0.5478565488258909,1.4363552400697594e-05,0.012104062832242059,0.01
0.594867262011441,1.5399286585275066e-05,0.012272151873670378,0.01
0.6402165821530952,1.650667046026719e-05,0.012447956736029688,0.01
0.6832078490027472,1.9267043772464054e-05,0.01258409011600957,0.01
0.7232952363895108,2.434853243320211e-05,0.012860088889394907,0.01
0.7601020337015983,3.148296161750239e-05,0.013082592247608271,0.01
0.7934201505822788,3.5044117127040704e-05,0.013436906837876452,0.01
0.8231944137973526,3.8581274548665664e-05,0.013774538746805879,0.01
0.8494969394535411,4.256705912470123e-05,0.014219540781495739,0.01
0.8724969073195858,4.70344472783022e-05,0.014777960957037048,0.01
0.8924303075996128,5.191572770185402e-05,0.01546478547465609,0.01
0.9095727589615855,5.756681992839674e-05,0.01570799163768,0.01
0.9242170988485149,6.360796846640396e-05,0.016438644480694216,0.01
0.9366562773401762,7.027512617155663e-05,0.017028464868382488,0.01
0.9471712884260484,7.829392980778802e-05,0.01776761150179427,0.01
0.9560234270685747,9.395131553600592e-05,0.018881719045843494,0.01
0.9634499877883892,0.00010820199205794719,0.019654394288876626,0.01
0.9696625272461107,0.00012849939521483077,0.021753483337970142,0.01
0.9748469185186198,0.0001527656135008741,0.023046048483861124,0.01
0.979164569898501,0.00017568383555517832,0.025707865228565465,0.01
0.9827543294813004,0.00021509077098783117,0.029797703493015602,0.01
0.9857347291528454,0.0002743669935956615,0.03268870136454874,0.01
0.98820633007471,0.0003132680664021294,0.0393837804731809,0.01
0.9902540155030111,0.0003403740288088739,0.04730434569205703,0.01
0.991949138372433,0.0003713354195659182,0.060834511486756136,0.01
0.9933514744897691,0.0004247020987432237,0.08248325426094337,0.01
0.9945109615033819,0.0004967740955370558,0.10968793647854685,0.01
0.9954692226929398,0.0005655785575575041,0.15475076304728905,0.01
0.9962608860425974,0.0006420116894034835,0.21743821235477748,0.01
0.9969147153320628,0.0007077808655265087,0.2673797731393845,0.0229145134535185
0.9974545728216706,0.0007601357502158818,0.34901163724305967,2.5921627536584597
0.9979002337548886,0.0008118720362571473,0.4526384821453102,4.998798226735059
0.9982680722173018,0.0008928143571940022,0.6046520821550737,4.999999999620243
0.9985716364609882,0.00098136319385274,0.7523129192491845,5.0
0.998822130013625,0.001068326574394736,0.7964562578117524,5.0
0.9990288129886913,0.001165385023461798,0.892754073068603,5.0
0.9991993399643205,0.0012720216297952382,0.9471306423133057,5.0
0.9993400216580358,0.0013774828237751618,0.9781026728488673,5.0
0.9994560803485466,0.0014830019335979204,0.9925414197338385,5.0
0.9995518233298217,0.001529063142861865,0.9963980005524238,5.0
0.999630805713161,0.0015711118070506453,0.9984044506388451,5.0
0.9996959613280296,0.0016144721095060668,0.9995180595023285,5.0
0.9997497109851607,0.0016557980530045259,0.9997738010229696,5.0
0.9997940519712063,0.0016920818451995388,0.9998436285870398,5.0
0.9998306319976231,0.0017268001340873765,0.9999546667849301,5.0
0.9998608102831248,0.0017076016886197417,0.9999729351364415,5.0
0.9998857079940405,0.0017219005596624708,0.9999886758116835,5.0
0.9999062498869926,0.0017647166633229874,0.9999908905344594,5.0
0.9999231986817674,0.0017841524912343921,0.9999928786728998,5.0
0.9999371834290417,0.0018074937697883688,0.9999978363439858,5.0
0.9999487229190682,0.0017884590263889128,0.9999991297263834,5.0
0.9999582449961628,0.001739361412136087,0.9999997248008174,5.0
0.9999661024936777,0.0017107469794687205,0.9999999058093245,5.0
0.9999725863798331,0.0016717581644921748,0.9999999648792964,5.0
0.999977936601953,0.0016777125999898927,0.9999999882341118,5.0
0.9999823510316267,0.001639571078371657,0.9999999952777404,5.0
0.9999859928430583,0.0016324359120141968,0.9999999982003476,5.0
0.9999889965988245,0.0016290686784264231,0.9999999991475639,5.0
0.9999914732693265,0.0015511284957598836,0.9986619091164616,4.949941076937474
0.9999935143726437,0.001483177058550863,0.9946965983828548,4.949762968855154
0.9999951953888352,0.001413346775024891,0.9934556846181639,4.949681069868935
0.9999965785757582,0.001344669310652275,0.9921887999460824,4.949612677574359
0.9999977152912463,0.0012790231524315333,0.9919094198412391,4.9495936225019745
0.9999986479081074,0.0012199022256509954,0.9911435437813861,4.9495591336286875
0.9999994113932787,0.001156112140983908,0.9908192061964106,4.949540765201125
0.9950000345551122,0.001112068850408202,0.9905474244251422,4.949525321845882
0.8919538600595489,0.0010582913321100773,0.9904585929992197,4.949518408079684
0.8136337378026995,0.0010029734108299773,0.9904176636433193,4.949516581519496
0.7522280396065943,0.0009514818836683171,0.9903602825725494,4.949514131398956
0.7029027762002967,0.0009066152679081823,0.9902783150420923,4.949509796394452
0.6625054157903899,0.0008726230825202503,0.9902001188450977,4.949505584241672
0.6288918143486604,0.0008614053061523074,0.9901457629508136,4.945864207543646
0.6005526098156033,0.0008164446354713339,0.9901390477769273,4.9495020676868675
0.576394323777009,0.0007694370013172868,0.9900970981793532,4.9495001943451555
0.5556052355761871,0.000726395819279072,0.9900735131783459,4.949498780669823
0.5375700400668137,0.0006898732438189839,0.9900693386777469,4.949498490502066
0.5218137665055445,0.0006609668785033072,0.990049934672081,4.949497627429728
0.5079638837207024,0.0006379349143930479,0.9900417833707282,4.94858430570383
0.49572406233724103,0.0006088317036948975,0.9900386418230827,4.949496926488509
0.48485561361262086,0.0005828654210122453,0.9900377246299337,4.94949687576911
0.4751641057946009,0.0005598045521149995,0.9900285326439624,4.9490534529047
0.46648954753227345,0.0005416179583462784,0.9900236452978882,4.946603880909934
0.4586990760971709,0.0005366883784777738,0.9900214935158935,4.941640835617273
0.4516814349851976,0.0005381228972937803,0.9900196296241665,4.9391305040888325
0.44534274987613764,0.0005122320114381932,0.9900191565719171,4.9494959304792285
0.43960326012411105,0.00048525069331577697,0.990015027364651,4.949495745890751
0.4343947626540958,0.0004615173353016449,0.9900135514228302,4.9494956456470085
0.42965859336230555,0.00044659273503467266,0.9900120139858273,4.9441313868110734
0.42534401853204645,0.0004272708609280317,0.9900096244913966,4.948344435920431
0.4214069422034739,0.0004164549714834764,0.9900086077622896,4.941382371779598
0.4178088593150187,0.0004079194221508258,0.9900076076932511,4.93968288110701
0.41451600170321135,0.0003959253823627897,0.9900066684420986,4.941221603900735
0.4114986366789621,0.0003806300581952134,0.990006330469457,4.944063785993394
0.40873048723588756,0.0003626520876086616,0.9900054136522536,4.949495233814579
0.40618824991754704,0.0003427064760347057,0.9900046387991375,4.949495192490544
0.4038511916235194,0.000323877032631554,0.9900044107544401,4.9494951750886615
0.4017008157951761,0.000306778977830797,0.990003935344176,4.9494951515232435
