Plant Height (m),Leaf Area (m2),Canopy Biomass (kg),Fruit Biomass (kg)
0.01,1e-05,0.01,0.01
0.010079200269155287,1e-05,0.01000063558,0.01
0.01015902141823929,1e-05,0.010000913292471448,0.01
0.01023946821301108,1e-05,0.010001398931372463,0.01
0.010320545454196174,1e-05,0.01000163111852126,0.01
0.010402257977717254,1e-05,0.010001717262428152,0.01
0.010484610654925999,1e-05,0.01000174993798177,0.01
0.010567608392836011,1e-05,0.010001756869182225,0.01
0.01065125613435683,1e-05,0.010001756869182225,0.01
0.010735558858529054,1e-05,0.010001756869182225,0.01
0.010820521580760535,1e-05,0.010001756869182225,0.01
0.010906149353063669,1e-05,0.010001756869182225,0.01
0.010992447264293775,1e-05,0.010001756869182225,0.01
0.011079420440388546,1e-05,0.010001756869182225,0.01
0.011167074044608583,1e-05,0.010001756869182225,0.01
0.011255413277778997,1e-05,0.010001756869182225,0.01
0.011344443378532087,1e-05,0.010001756869182225,0.01
0.011434169623551082,1e-05,0.010001767761076127,0.01
0.011524597327814936,1e-05,0.010001787564540933,0.01
0.011615731844844197,1e-05,0.01000188361153349,0.01
0.011707578566947907,1e-05,0.010002383654753247,0.01
0.011800142925471567,1e-05,0.01000319812188727,0.01
0.011893430391046135,1e-05,0.010004108715072292,0.01
0.011987446473838058,1e-05,0.010004613325223684,0.01
0.012082196723800344,1e-05,0.01000507784726034,0.01
,1e-05,0.010006024267742416,0.01
,1e-05,0.010006906883766193,0.01
,1e-05,0.010007488411088788,0.01
,1e-05,0.010008133874197718,0.01
,1e-05,0.010008574283514472,0.01
,1e-05,0.01000887549895729,0.01
,1e-05,0.01000888441678541,0.01
,1e-05,0.01000888441678541,0.01
,1e-05,0.01000888441678541,0.01
,1e-05,0.01000888441678541,0.01
,1e-05,0.01000888441678541,0.01
,1e-05,0.01000888441678541,0.01
,1e-05,0.01000888441678541,0.01
,1e-05,0.01000888441678541,0.01
,1e-05,0.01000888441678541,0.01
,1e-05,0.01000888441678541,0.01
,1e-05,0.010008906215940038,0.01
,1e-05,0.010009325355134959,0.01
,1e-05,0.010009919903460623,0.01
,1e-05,0.010010481289178329,0.01
,1e-05,0.010011179467809276,0.01
,1e-05,0.010011945584689019,0.01
,1e-05,0.010012762309307116,0.01
,1e-05,0.010013627671159507,0.01
,1e-05,0.010014339450043626,0.01
,1e-05,0.010014523851419297,0.01
,1e-05,0.010014877789543231,0.01
,1e-05,0.0100150116363734,0.01
,1e-05,0.010015306103295395,0.01
,1e-05,0.010015560918788892,0.01
,1e-05,0.010015589673012321,0.01
,1e-05,0.010015589673012321,0.01
,1e-05,0.010015589673012321,0.01
,1e-05,0.010015589673012321,0.01
,1e-05,0.010015589673012321,0.01
,1e-05,0.010015589673012321,0.01
,1e-05,0.010015589673012321,0.01
,1e-05,0.010015589673012321,0.01
,1e-05,0.010015589673012321,0.01
,1e-05,0.010015589673012321,0.01
,1e-05,0.010015837554953234,0.01
,1e-05,0.010016314491491835,0.01
,1e-05,0.010016961509704627,0.01
,1e-05,0.010017743435348682,0.01
,1e-05,0.010018628066380743,0.01
,1e-05,0.010019588153480042,0.01
,1e-05,0.010020594951874724,0.01
,1e-05,0.01002160730651198,0.01
,1e-05,0.010021857816172992,0.01
,1e-05,0.010022167364482673,0.01
,1e-05,0.01002228940168204,0.01
,1e-05,0.010022558779722662,0.01
,1e-05,0.010022933339265508,0.01
,1e-05,0.010022936316007751,0.01
,1e-05,0.010022945246237109,0.01
,1e-05,0.010022945246237109,0.01
,1e-05,0.010022945246237109,0.01
,1e-05,0.010022945246237109,0.01
,1e-05,0.010022945246237109,0.01
,1e-05,0.010022945246237109,0.01
,1e-05,0.010022945246237109,0.01
,1e-05,0.010022945246237109,0.01
,1e-05,0.010022945246237109,0.01
,1e-05,0.010022945246237109,0.01
,1e-05,0.010022950207480017,0.01
,1e-05,0.010022975013706708,0.01
,1e-05,0.010023091107132039,0.01
,1e-05,0.01002344931402998,0.01
,1e-05,0.01002382589111255,0.01
,1e-05,0.010024315112208667,0.01
,1e-05,0.010024784013092002,0.01
,1e-05,0.010025216712036532,0.01
,1e-05,0.01002620471709044,0.01
,1e-05,0.01002713127931247,0.01
,1e-05,0.010027964616368155,0.01
,1e-05,0.010028675914903591,0.01
,1e-05,0.010029232881401909,0.01
,1e-05,0.010029588326977727,0.01
,1e-05,0.010029665276694286,0.01
,1e-05,0.010029665276694286,0.01
,1e-05,0.010029665276694286,0.01
,1e-05,0.010029665276694286,0.01
,1e-05,0.010029665276694286,0.01
,1e-05,0.010029665276694286,0.01
,1e-05,0.010029665276694286,0.01
,1e-05,0.010029665276694286,0.01
,1e-05,0.010029665276694286,0.01
,1e-05,0.010029665276694286,0.01
,1e-05,0.01002970598588576,0.01
,1e-05,0.010029836553695196,0.01
,1e-05,0.01003011953700477,0.01
,1e-05,0.010030418911919378,0.01
,1e-05,0.010030669639611989,0.01
,1e-05,0.010030777877214826,0.01
,1e-05,0.010030889095022198,0.01
,1e-05,0.010030981446536536,0.01
,1e-05,0.010031683026531136,0.01
,1e-05,0.010032391606831777,0.01
,1e-05,0.010032961688864219,0.01
,1e-05,0.010033230854231308,0.01
,1e-05,0.010033378352823532,0.01
,1e-05,0.010033413117307382,0.01
,1e-05,0.010033422056776747,0.01
,1e-05,0.010033422056776747,0.01
,1e-05,0.010033422056776747,0.01
,1e-05,0.010033422056776747,0.01
,1e-05,0.010033422056776747,0.01
,1e-05,0.010033422056776747,0.01
,1e-05,0.010033422056776747,0.01
,1e-05,0.010033422056776747,0.01
,1e-05,0.010033422056776747,0.01
,1e-05,0.010033422056776747,0.01
,1e-05,0.010033453841584742,0.01
,1e-05,0.01003353827024573,0.01
,1e-05,0.010033567075558232,0.01
,1e-05,0.010033686270293518,0.01
,1e-05,0.01003404038215029,0.01
,1e-05,0.01003444417316989,0.01
,1e-05,0.010034994503147213,0.01
,1e-05,0.010035629801209405,0.01
,1e-05,0.010036288486135941,0.01
,1e-05,0.01003673707673313,0.01
,1e-05,0.010036996406358854,0.01
,1e-05,0.010037399818316299,0.01
,1e-05,0.010037442545913119,0.01
,1e-05,0.010037768966254947,0.01
,1e-05,0.010037840015891893,0.01
,1e-05,0.010037840015891893,0.01
,1e-05,0.010037840015891893,0.01
,1e-05,0.010037840015891893,0.01
,1e-05,0.010037840015891893,0.01
,1e-05,0.010037840015891893,0.01
,1e-05,0.010037840015891893,0.01
,1e-05,0.010037840015891893,0.01
,1e-05,0.010037840015891893,0.01
,1e-05,0.010037840015891893,0.01
,1e-05,0.01003784796555732,0.01
,1e-05,0.010037895663587275,0.01
,1e-05,0.010037936405846163,0.01
,1e-05,0.010038046708502411,0.01
,1e-05,0.010038104344751506,0.01
,1e-05,0.010038689654124975,0.01
,1e-05,0.010039345059577291,0.01
,1e-05,0.010039799748542215,0.01
,1e-05,0.01004052628960081,0.01
,1e-05,0.010041283695816862,0.01
,1e-05,0.010042105274531508,0.01
,1e-05,0.010042816074721335,0.01
,1e-05,0.0100433797837354,0.01
,1e-05,0.010043620889610326,0.01
,1e-05,0.010043721311350673,0.01
,1e-05,0.010043721311350673,0.01
,1e-05,0.010043721311350673,0.01
,1e-05,0.010043721311350673,0.01
,1e-05,0.010043721311350673,0.01
,1e-05,0.010043721311350673,0.01
,1e-05,0.010043721311350673,0.01
,1e-05,0.010043721311350673,0.01
,1e-05,0.010043721311350673,0.01
,1e-05,0.010043721311350673,0.01
,1e-05,0.010043975848181997,0.01
,1e-05,0.010044454111022508,0.01
,1e-05,0.010045097459552014,0.01
,1e-05,0.010045872609433513,0.01
,1e-05,0.010046752240531047,0.01
,1e-05,0.01004770455231825,0.01
,1e-05,0.010048696243112349,0.01
,1e-05,0.010049693999423025,0.01
,1e-05,0.010050632161611416,0.01
,1e-05,0.01005151071278852,0.01
,1e-05,0.010052296303014397,0.01
,1e-05,0.010052960051232122,0.01
,1e-05,0.010053472573981462,0.01
,1e-05,0.01005379204602991,0.01
,1e-05,0.010053863705565753,0.01
,1e-05,0.010053863705565753,0.01
,1e-05,0.010053863705565753,0.01
,1e-05,0.010053863705565753,0.01
,1e-05,0.010053863705565753,0.01
,1e-05,0.010053863705565753,0.01
,1e-05,0.010053863705565753,0.01
,1e-05,0.010053863705565753,0.01
,1e-05,0.010053863705565753,0.01
,1e-05,0.010053863705565753,0.01
,1e-05,0.010053896549751402,0.01
,1e-05,0.010053990106219112,0.01
,1e-05,0.010054584294790244,0.01
,1e-05,0.010054764452952537,0.01
,1e-05,0.010054819198116443,0.01
,1e-05,0.010054928689034343,0.01
,1e-05,0.010055616000795466,0.01
