Plant Height (m),Leaf Area (m2),Canopy Biomass (kg),Fruit Biomass (kg)
0.01,1e-05,0.01,0.01
0.012082196723800344,1e-05,0.010100379561890306,0.01
0.014591602620979617,1e-05,0.010175312671231136,0.01
0.01761297862034744,1e-05,0.01027275394073847,0.01
0.021246584351551863,1e-05,0.010365781895527003,0.01
0.02561042147954787,1e-05,0.010460669893438733,0.01
0.03084252056352575,1e-05,0.010571995457415708,0.01
0.037103124264429264,1e-05,0.010673651038890605,0.01
0.044576535666737464,1e-05,0.010739343960302721,0.01
0.05347229599637747,1e-05,0.01082243747679132,0.01
0.06402522857568568,1e-05,0.010930615333463733,0.01
0.07649374266544283,1e-05,0.011048687986803706,0.01
0.09115565000081453,1e-05,0.011168038175811766,0.01
0.10830064262355286,1e-05,0.011287475150506448,0.01
0.12821856819321467,1e-05,0.011408056428400743,0.01
0.15118279511249139,1e-05,0.011527074158633698,0.01
0.17742837453465224,1e-05,0.011643742540026319,0.01
0.20712545865204807,1e-05,0.011765371139687512,0.01
0.24034954807557316,1e-05,0.011884722583319652,0.01
0.2770515228021416,1.0173545735448394e-05,0.012012101201302227,0.01
0.31703179626802247,1.0483344676928777e-05,0.012146331713633642,0.01
0.3599238737101014,1.0792814311813619e-05,0.012246336252932742,0.01
0.4051925529143567,1.11880999936999e-05,0.01237192983263939,0.01
0.4521505460094634,1.1795361466451787e-05,0.012487757359705205,0.01
0.49999437653691103,1.2674230919468423e-05,0.01261624856453057,0.01
0.5478565488258909,1.3342362711416588e-05,0.012784396195382845,0.01
0.594867262011441,1.4027280123724164e-05,0.012941136519736529,0.01
0.6402165821530952,1.4682190187446513e-05,0.013135956010781593,0.01
0.6832078490027472,1.5532953565335024e-05,0.013313716251604128,0.01
0.7232952363895108,1.69062391444828e-05,0.013516658303175819,0.01
0.7601020337015983,1.870517407039264e-05,0.013721685880787269,0.01
0.7934201505822788,2.0348518236112636e-05,0.013989044955580282,0.01
0.8231944137973526,2.3118332924086958e-05,0.014289928277209657,0.01
0.8494969394535411,3.1326887109626485e-05,0.0146024397613725,0.01
0.8724969073195858,3.730033615014712e-05,0.015053527902442198,0.01
0.8924303075996128,4.4847489607929245e-05,0.015652930735651552,0.01
0.9095727589615855,5.262958988146033e-05,0.016396721917342608,0.01
0.9242170988485149,6.149896099756764e-05,0.01725119346672223,0.01
0.9366562773401762,7.52473460145336e-05,0.0183021907925526,0.01
0.9471712884260484,8.008632615074663e-05,0.019474860909426295,0.01
0.9560234270685747,8.42449131176001e-05,0.02080885254644714,0.01
0.9634499877883892,9.091229843503694e-05,0.02249510238187182,0.01
0.9696625272461107,0.0001039677988259013,0.02425252441681981,0.01
0.9748469185186198,0.00011969713245329538,0.02677589251632532,0.01
0.979164569898501,0.00014292575309435054,0.03015702853351203,0.01
0.9827543294813004,0.00017821302387534664,0.034720985335128206,0.01
0.9857347291528454,0.00023536650962343932,0.04170119590469878,0.01
0.98820633007471,0.0002870042407002601,0.051864375507299526,0.01
0.9902540155030111,0.00033614047955841513,0.06420778299051427,0.01
0.991949138372433,0.00037962093470103863,0.08260806857290436,0.01
0.9933514744897691,0.0004157371338948729,0.10462516523644802,0.01
0.9945109615033819,0.0004764316010565668,0.13881093473090786,0.01
0.9954692226929398,0.0005600886230289874,0.20103513335337445,0.01
0.9962608860425974,0.0006453663030719988,0.295325920871318,0.025628738847476094
0.9969147153320628,0.0007337966663682829,0.4117083503487799,4.641399329718108
0.9974545728216706,0.0008193390704117674,0.5778237469771492,4.9999999318056005
0.9979002337548886,0.000899792088727686,0.7394027194952403,5.0
0.9982680722173018,0.0009581051664360968,0.8616734091107395,5.0
0.9985716364609882,0.001037478659429327,0.9257673988519137,5.0
0.998822130013625,0.0011319967193955899,0.9626102612336979,5.0
0.9990288129886913,0.0012289739786155148,0.9810603531440928,5.0
0.9991993399643205,0.001329598582301141,0.9932945315765189,5.0
0.9993400216580358,0.001432253256574182,0.9979489929708693,5.0
0.9994560803485466,0.0015076336528194833,0.9993530693850385,5.0
0.9995518233298217,0.0015417345634801414,0.9998023591746159,5.0
0.999630805713161,0.0015708005362241413,0.9999454404495637,5.0
0.9996959613280296,0.0015993901649922347,0.9999703064863316,5.0
0.9997497109851607,0.0016237666404513155,0.9999898156467938,5.0
0.9997940519712063,0.0016611769108501168,0.9999970279992657,5.0
0.9998306319976231,0.0016553620968165225,0.9999989274594485,5.0
0.9998608102831248,0.0016279786578264905,0.9999995066889504,5.0
0.9998857079940405,0.0016553810382225578,0.9999998323199045,5.0
0.9999062498869926,0.0016990851351631302,0.9999999194434138,5.0
0.9999231986817674,0.0017450357716614535,0.9999999433928386,5.0
0.9999371834290417,0.0017894503721322304,0.9999999763412522,5.0
0.9999487229190682,0.0018360939727310153,0.9999999916630065,5.0
0.9999582449961628,0.0018844501907161087,0.9999999977078414,5.0
0.9999661024936777,0.0019264019328391615,0.9999999993598137,5.0
0.9999725863798331,0.0018732598805237019,0.9999999996883957,5.0
0.999977936601953,0.0017950462097343074,0.9933292079626972,4.949692748739541
0.9999823510316267,0.0017155021997192774,0.9917123859489405,4.949595210095404
0.9999859928430583,0.0016721020894297348,0.9914203447295443,4.949568609075638
0.9999889965988245,0.0016845871761970437,0.9912300587960339,4.946641098565853
0.9999914732693265,0.0016907814075138297,0.9905183060476795,4.946747208472809
0.9999935143726437,0.001678949908885111,0.9902917018578437,4.9482645987035125
0.9999951953888352,0.001676773468085137,0.9901304125126841,4.946620933310582
0.9999965785757582,0.0016970285718541959,0.990065057782072,4.942980915674421
0.9999977152912463,0.001666000693584913,0.9900231164088226,4.948781856355636
0.9999986479081074,0.0017156377688468407,0.9900087157546558,4.936087815569256
0.9999994113932787,0.0017904456488334738,0.9900057204168656,4.924570849227066
0.9950000345551122,0.001858938954561591,0.9900028493394875,4.925992336522012
0.8919538600595489,0.0018550778444969464,0.9900009342038151,4.941406565147021
0.8136337378026995,0.0017855553434955717,0.9900003657992877,4.949494971038392
0.7522280396065943,0.0017710293213092799,0.9900001272242487,4.9420037786164706
0.7029027762002967,0.001759135202541593,0.9900000600427039,4.9409347756499455
0.6625054157903899,0.0017213385166477404,0.9900000415098025,4.944231273013934
0.6288918143486604,0.0016592774632250135,0.990000033873173,4.948209573000565
0.6005526098156033,0.0015790892966175436,0.9900000178992852,4.949494950490469
0.576394323777009,0.0014969260544948247,0.9900000152949673,4.949494950308352
0.5556052355761871,0.0014202260117385703,0.9900000086203996,4.9494949499641425
0.5375700400668137,0.0013488322313614015,0.9900000041762831,4.949494949725548
0.5218137665055445,0.0012835352651292108,0.9900000025885625,4.949494949640355
0.5079638837207024,0.0012199817988101358,0.9900000014495473,4.949494949576381
0.49572406233724103,0.0011753415112070436,0.9900000008028838,4.946694478290896
0.48485561361262086,0.0011896023499762807,0.9900000004540256,4.933288375533901
0.4751641057946009,0.0011876926486168661,0.9900000004432855,4.935435878030874
0.46648954753227345,0.0011719546382731626,0.9900000004074846,4.937505519239772
0.4586990760971709,0.001120066712081399,0.9900000003121723,4.949228213677544
0.4516814349851976,0.0010640857279077987,0.9900000002597776,4.949494949508392
0.44534274987613764,0.0010122407556163576,0.9900000002204664,4.949494949506525
0.43960326012411105,0.0009646819714234573,0.9900000001613963,4.94949494950321
0.4343947626540958,0.0009283198911910893,0.9900000001144138,4.943826742141223
0.42965859336230555,0.0008940922023698832,0.9900000000859838,4.942964836586927
0.42534401853204645,0.0008703426576517144,0.9900000000653456,4.938211906301206
0.4214069422034739,0.0008648770556826068,0.9900000000427353,4.931349943665433
0.4178088593150187,0.0008398805385376772,0.9900000000284195,4.9375615053126065
0.41451600170321135,0.0008006554143469719,0.9900000000176021,4.94949494949591
0.4114986366789621,0.0007611235478976582,0.9900000000113219,4.949494949495563
0.40873048723588756,0.0007245770050985642,0.9900000000089049,4.949494949495407
0.40618824991754704,0.0006902531774638414,0.9900000000070074,4.949494949495315
0.4038511916235194,0.000657410659064978,0.9900000000052066,4.94949494949522
0.4017008157951761,0.0006242534376658248,0.9900000000048943,4.949494949495201
