Plant Height (m),Leaf Area (m2),Canopy Biomass (kg),Fruit Biomass (kg)
0.01,1e-05,0.01,0.01
0.012082196723800344,1e-05,0.0100737610450931,0.01
0.014591602620979617,1e-05,0.010105246658385683,0.01
0.01761297862034744,1e-05,0.010125214921255303,0.01
0.021246584351551863,1e-05,0.010181733821257978,0.01
0.02561042147954787,1e-05,0.010265286092287019,0.01
0.03084252056352575,1e-05,0.01034850134915236,0.01
0.037103124264429264,1e-05,0.010419414214080632,0.01
0.044576535666737464,1e-05,0.010518622510728578,0.01
0.05347229599637747,1e-05,0.01061415748151761,0.01
0.06402522857568568,1e-05,0.010703155283631754,0.01
0.07649374266544283,1e-05,0.010799126518062786,0.01
0.09115565000081453,1e-05,0.010893594280800367,0.01
0.10830064262355286,1e-05,0.01096866465317595,0.01
0.12821856819321467,1e-05,0.011043283499189685,0.01
0.15118279511249139,1e-05,0.011112461299408759,0.01
0.17742837453465224,1e-05,0.011183434236162495,0.01
0.20712545865204807,1e-05,0.01127622250272279,0.01
0.24034954807557316,1e-05,0.011365496763013114,0.01
0.2770515228021416,1.026726722903146e-05,0.011435325539162584,0.01
0.31703179626802247,1.0740691681434109e-05,0.01153979955482855,0.01
0.3599238737101014,1.1306179801225418e-05,0.011647162367202086,0.01
0.4051925529143567,1.198199773898251e-05,0.011747593991860936,0.01
0.4521505460094634,1.2807476696372759e-05,0.01182891605417886,0.01
0.49999437653691103,1.3841437063663607e-05,0.011923969736086488,0.01
0.5478565488258909,1.5020729412435002e-05,0.01204628057738451,0.01
0.594867262011441,1.6439876217290452e-05,0.01212018330710338,0.01
0.6402165821530952,1.8153032664320644e-05,0.012203459603978886,0.01
0.6832078490027472,2.0138813234579873e-05,0.012335837304901467,0.01
0.7232952363895108,2.2704766815216743e-05,0.01255689228206658,0.01
0.7601020337015983,2.5907049154061702e-05,0.012786808608882405,0.01
0.7934201505822788,3.066063218817591e-05,0.013079365603429498,0.01
0.8231944137973526,3.8197934089980956e-05,0.01344165411459482,0.01
0.8494969394535411,4.630694517025032e-05,0.013890168108066963,0.01
0.8724969073195858,5.5619224720862236e-05,0.014059480936740467,0.01
0.8924303075996128,6.565725119999945e-05,0.01435516559160164,0.01
0.9095727589615855,7.545115678367924e-05,0.015114559209497325,0.01
0.9242170988485149,8.649147080938683e-05,0.016085077547210957,0.01
0.9366562773401762,0.00010065908536986295,0.016966293086947335,0.01
0.9471712884260484,0.00011902535655761231,0.018165150083422805,0.01
0.9560234270685747,0.0001392667003296462,0.019970665011360734,0.01
0.9634499877883892,0.0001594942151907568,0.02243681404292413,0.01
0.9696625272461107,0.00017981584624392075,0.025818499617904736,0.01
0.9748469185186198,0.00020601187150737227,0.029048434129920083,0.01
0.979164569898501,0.00023661436961055924,0.033795345059565905,0.01
0.9827543294813004,0.00027494833848612873,0.039841105498180554,0.01
0.9857347291528454,0.00031892290016817293,0.04202918434916314,0.01
0.98820633007471,0.00036573873131184284,0.04659407843146559,0.01
0.9902540155030111,0.0004144711685806392,0.05763587757670508,0.01
0.991949138372433,0.00046627733957870535,0.07463997007838745,0.01
0.9933514744897691,0.0005224634811255154,0.10739390195154375,0.01
0.9945109615033819,0.0005897768879852118,0.15289480313336093,0.01
0.9954692226929398,0.0006719235162429085,0.17700705662878474,0.01
0.9962608860425974,0.0007622620315780794,0.24067997861644036,0.01
0.9969147153320628,0.0008582121459759378,0.33169782352006594,0.7921138338861317
0.9974545728216706,0.0009626909821052675,0.47429382968427397,4.996597395120991
0.9979002337548886,0.001067076023061196,0.6504587188953593,4.99999999873388
0.9982680722173018,0.0011726793725071797,0.8200114836796232,5.0
0.9985716364609882,0.0012808503223975364,0.9193734697401458,5.0
0.998822130013625,0.00139430545662311,0.9626764589370668,5.0
0.9990288129886913,0.0015058257284639338,0.9861625113060641,5.0
0.9991993399643205,0.0015606882731081513,0.994650680819299,5.0
0.9993400216580358,0.0016147373546464118,0.9981849386378985,5.0
0.9994560803485466,0.0016685362931299886,0.99922747609207,5.0
0.9995518233298217,0.0017243756972688956,0.9996174395092593,5.0
0.999630805713161,0.0017809414577891522,0.9998514525612919,5.0
0.9996959613280296,0.0018326792622355586,0.9999627936740483,5.0
