Plant Height (m),Leaf Area (m2),Canopy Biomass (kg),Fruit Biomass (kg)
0.01,1e-05,0.01,0.01
0.012082196723800344,1e-05,0.010085762158085236,0.01
0.014591602620979617,1e-05,0.01014465970119164,0.01
0.01761297862034744,1e-05,0.010225163043044716,0.01
0.021246584351551863,1e-05,0.010309461509252106,0.01
0.02561042147954787,1e-05,0.010398197714548729,0.01
0.03084252056352575,1e-05,0.010468699558109085,0.01
0.037103124264429264,1e-05,0.010551521045665832,0.01
0.044576535666737464,1e-05,0.010615823589497454,0.01
0.05347229599637747,1e-05,0.010671355538756394,0.01
0.06402522857568568,1e-05,0.010740135438898646,0.01
0.07649374266544283,1e-05,0.010838485574601101,0.01
0.09115565000081453,1e-05,0.010880622628016711,0.01
0.10830064262355286,1e-05,0.010927525426347928,0.01
0.12821856819321467,1e-05,0.011023109957693717,0.01
0.15118279511249139,1e-05,0.011085149323675943,0.01
0.17742837453465224,1e-05,0.011149190336649599,0.01
0.20712545865204807,1e-05,0.011227291436200562,0.01
0.24034954807557316,1e-05,0.011301369295861483,0.01
0.2770515228021416,1.0287238090481063e-05,0.011374195792772768,0.01
0.31703179626802247,1.0860935230216362e-05,0.011455207262302194,0.01
0.3599238737101014,1.152276954586994e-05,0.011561037821679242,0.01
0.4051925529143567,1.2275420286685566e-05,0.011641150874665595,0.01
0.4521505460094634,1.3183730108776887e-05,0.011759080502337286,0.01
0.49999437653691103,1.4445589031771627e-05,0.0119045291783277,0.01
0.5478565488258909,1.613051019299889e-05,0.012065674491595532,0.01
0.594867262011441,1.8185401107446688e-05,0.012224356047310685,0.01
0.6402165821530952,2.0580988249896426e-05,0.012399772933609755,0.01
0.6832078490027472,2.3517915059443354e-05,0.012549299660365333,0.01
0.7232952363895108,2.6884977455691865e-05,0.012838032987958829,0.01
0.7601020337015983,3.0998837737346985e-05,0.012958596936586417,0.01
0.7934201505822788,3.613922917415383e-05,0.013267383886661254,0.01
0.8231944137973526,4.243959525800114e-05,0.013519194450207866,0.01
0.8494969394535411,4.987540704949153e-05,0.013873861607448721,0.01
0.8724969073195858,5.8090313613635476e-05,0.014514958418353863,0.01
0.8924303075996128,6.723053839962476e-05,0.015178025939959384,0.01
0.9095727589615855,7.705489103127853e-05,0.01604777120171585,0.01
