Plant Height (m),Leaf Area (m2),Canopy Biomass (kg),Fruit Biomass (kg)
0.01,1e-05,0.01,0.01
0.012082196723800344,1e-05,0.010063193106679047,0.01
0.014591602620979617,1e-05,0.010163880779123358,0.01
0.01761297862034744,1e-05,0.010254158305772908,0.01
0.021246584351551863,1e-05,0.010325153456008384,0.01
0.02561042147954787,1e-05,0.010421871923758815,0.01
0.03084252056352575,1e-05,0.010515872168544858,0.01
0.037103124264429264,1e-05,0.010620998748980766,0.01
0.044576535666737464,1e-05,0.01072735568430217,0.01
0.05347229599637747,1e-05,0.010834214303482316,0.01
0.06402522857568568,1e-05,0.01092953203842879,0.01
0.07649374266544283,1e-05,0.0110410392295094,0.01
0.09115565000081453,1e-05,0.011119928072863338,0.01
0.10830064262355286,1e-05,0.01117730782169799,0.01
0.12821856819321467,1e-05,0.011245249097159613,0.01
0.15118279511249139,1e-05,0.011301234355951583,0.01
0.17742837453465224,1e-05,0.011350133666572311,0.01
0.20712545865204807,1e-05,0.011456461960748919,0.01
0.24034954807557316,1e-05,0.011566053242903397,0.01
0.2770515228021416,1.0167963952838998e-05,0.011658573978610403,0.01
0.31703179626802247,1.0494874102259735e-05,0.011777789354133292,0.01
0.3599238737101014,1.1119958398134325e-05,0.011887601456006543,0.01
0.4051925529143567,1.2315343078772842e-05,0.012024682939740596,0.01
0.4521505460094634,1.3310652468688656e-05,0.012117014799333664,0.01
0.49999437653691103,1.4029714954046152e-05,0.012279860032772016,0.01
0.5478565488258909,1.4899229914907738e-05,0.012446679344521901,0.01
0.594867262011441,1.6574090290869376e-05,0.01260211345260776,0.01
0.6402165821530952,2.0094624931396044e-05,0.012780951021170049,0.01
0.6832078490027472,2.4465868394423238e-05,0.01293543264520593,0.01
0.7232952363895108,2.9539445929740196e-05,0.013094691369337271,0.01
0.7601020337015983,3.5703122251279074e-05,0.013271969003938587,0.01
0.7934201505822788,4.040938460597937e-05,0.013740741475159721,0.01
0.8231944137973526,4.668245065053287e-05,0.014261270268893771,0.01
0.8494969394535411,5.339829526943126e-05,0.014537025943535713,0.01
0.8724969073195858,6.005614452016407e-05,0.015151501705696797,0.01
0.8924303075996128,6.576187482194791e-05,0.015809061501359977,0.01
0.9095727589615855,7.172833689262178e-05,0.01684318587513498,0.01
0.9242170988485149,7.93702337026256e-05,0.017971293461298225,0.01
0.9366562773401762,8.968152969873413e-05,0.01936515814321322,0.01
0.9471712884260484,0.00010586675609553534,0.02044915587952526,0.01
0.9560234270685747,0.0001257410925756736,0.02153464181780741,0.01
0.9634499877883892,0.00013995453182018015,0.024156854008141236,0.01
0.9696625272461107,0.00016328419974554219,0.026730660976291495,0.01
0.9748469185186198,0.00019203766370224734,0.03119841587382393,0.01
0.979164569898501,0.00021427987373735016,0.03595282298763482,0.01
0.9827543294813004,0.00023293855718371103,0.04103061258046612,0.01
0.9857347291528454,0.00025305778723984514,0.04911925495936512,0.01
0.98820633007471,0.0002816020115803732,0.05701524222471711,0.01
0.9902540155030111,0.0003233454613462257,0.07371064233182513,0.01
0.991949138372433,0.0003627941040419228,0.09267662679145268,0.01
0.9933514744897691,0.00039416627138059307,0.108269016747193,0.01
0.9945109615033819,0.000443130093873645,0.12720563264173748,0.01
0.9954692226929398,0.0004901178640116956,0.17770346394322953,0.01
0.9962608860425974,0.0005367326739680679,0.23997199310887346,0.01
0.9969147153320628,0.0005836597947264543,0.29161954475551344,0.15299736634932717
0.9974545728216706,0.0006780420206610045,0.4004996045427143,4.770275030370638
0.9979002337548886,0.000786630849365179,0.5377113794757707,4.999998901531601
0.9982680722173018,0.0008931011308608053,0.6683608311824312,4.999999999999862
0.9985716364609882,0.0010032188294315431,0.7724701453544992,5.0
0.998822130013625,0.0011094036547502494,0.8631398765426347,5.0
0.9990288129886913,0.0011849914176230666,0.9405040579027236,5.0
0.9991993399643205,0.0013009018939566107,0.9774710001709013,5.0
0.9993400216580358,0.0014207794630103497,0.989823524793084,5.0
0.9994560803485466,0.001524772781705262,0.9915020442840491,5.0
0.9995518233298217,0.001586330676361429,0.995818301313762,5.0
0.999630805713161,0.0016453316309113875,0.9988662884695119,5.0
0.9996959613280296,0.0016716175412081248,0.9990894091768641,5.0
0.9997497109851607,0.0016963517223733593,0.999754368950853,5.0
0.9997940519712063,0.0017460319062076897,0.9998799023359435,5.0
0.9998306319976231,0.001808364125122083,0.9999701400977493,5.0
0.9998608102831248,0.001870683358373132,0.9999920782293306,5.0
0.9998857079940405,0.0019209845905752592,0.999997692042889,5.0
0.9999062498869926,0.0019183942260674145,0.9999991643855611,5.0
0.9999231986817674,0.001908312438297294,0.9999997805414069,5.0
0.9999371834290417,0.0019034625042264497,0.9999999411503222,5.0
0.9999487229190682,0.001915867442662124,0.9999999852647995,5.0
0.9999582449961628,0.0019229723046944338,0.9999999938712867,5.0
0.9999661024936777,0.0019190352506927256,0.9999999976059579,5.0
0.9999725863798331,0.0019208751829425847,0.9999999993114401,5.0
0.999977936601953,0.0019162190870025437,0.9999999996534001,5.0
0.9999823510316267,0.001828813183519395,0.9954637852752911,4.949799865971008
0.9999859928430583,0.0017410492891046583,0.9918088309202735,4.949602006263877
0.9999889965988245,0.0016667271424484881,0.9915399308880098,4.949574503772869
0.9999914732693265,0.0016306515144140672,0.9908851754981786,4.944217740594411
0.9999935143726437,0.0015654646519544678,0.9904335269499109,4.949520305253371
0.9999951953888352,0.001488642832675415,0.9901993191560088,4.949505892288827
0.9999965785757582,0.0014201376128047674,0.9900865381530662,4.949499921047636
0.9999977152912463,0.0013652367818681801,0.9900433282607276,4.948231355078029
0.9999986479081074,0.0013504300323838063,0.9900248330351599,4.939500725294603
0.9999994113932787,0.0013123741998509267,0.990011709831778,4.943600213418065
0.9950000345551122,0.0012647117623077995,0.9900062528218312,4.9459926358911535
0.8919538600595489,0.0012054779105238932,0.9900056418837896,4.949495246930867
0.8136337378026995,0.001159347974612998,0.9900050208748656,4.946159442918112
0.7522280396065943,0.001156331022649183,0.9900031260071236,4.934679727034028
0.7029027762002967,0.0011259703558804792,0.9900019337272239,4.940455511582349
0.6625054157903899,0.0010690847800503744,0.9900016958829688,4.949495037526009
0.6288918143486604,0.001015899265882012,0.990001386654115,4.949495023432344
0.6005526098156033,0.0009687458650628048,0.9900008182263472,4.949494994576088
0.576394323777009,0.0009486478914071512,0.9900005075316866,4.937110822961272
0.5556052355761871,0.0009061801508282852,0.9900003666405711,4.94862948810687
0.5375700400668137,0.0008641486718725579,0.9900002401148384,4.949494962350311
0.5218137665055445,0.000825447056549302,0.9900001997195953,4.948315198090647
0.5079638837207024,0.0007922120014029891,0.9900001275518494,4.943610873736934
0.49572406233724103,0.0007577860281638958,0.990000102038516,4.9462111036985
0.48485561361262086,0.0007225671326638751,0.9900000836540159,4.94949495385298
0.4751641057946009,0.0006914952633326654,0.990000063673648,4.945185241763141
0.46648954753227345,0.0006620013777258257,0.9900000445217937,4.944486685487195
0.4586990760971709,0.0006321166840076982,0.990000040607477,4.948055176576612
0.4516814349851976,0.0006026094092076633,0.9900000301998996,4.949494951053363
0.44534274987613764,0.0005729567426037968,0.9900000218224074,4.949494950661334
0.43960326012411105,0.0005485854644978358,0.9900000160477667,4.943312754363087
0.4343947626540958,0.0005241813795378645,0.9900000128985591,4.9463972553357936
0.42965859336230555,0.0005028058746767833,0.9900000118351417,4.940480812253281
0.42534401853204645,0.00048167463667664497,0.990000011103816,4.941663972463244
0.4214069422034739,0.00046147827748885316,0.9900000086215425,4.941183992352015
0.4178088593150187,0.0004418205332544737,0.9900000068488212,4.941967552710069
0.41451600170321135,0.0004194024407894685,0.9900000053762802,4.949494949778639
0.4114986366789621,0.0003985247455061066,0.9900000043054572,4.9494949497202345
0.40873048723588756,0.00037666966181854424,0.9900000034635058,4.949494949677221
0.40618824991754704,0.0003535288796621394,0.9900000030365967,4.949494949651314
0.4038511916235194,0.00033508902997592913,0.9900000025678338,4.949494949629595
0.4017008157951761,0.000317670854314407,0.9900000022588538,4.949494949612217
