Time (hr),Plant Height (m),Leaf Area (m²),Number of Leaves (unitless),Spikelet Count (unitless),Fruit Biomass (kg)
0,0.0010344827586206,0.0002241379310344,0.0068965517241379,0.3448275862068966,8.620689655172413e-05
1,0.0010355174015395,0.00022437331818,0.0069041394847261,0.3451724671798611,8.624999590325104e-05
2,0.0010360379648065,0.0002244917536724,0.0069117329662563,0.3458631025067879,8.627155468766411e-05
3,0.0010363026244192,0.0002245519684297,0.0069193295413067,0.3472473283540747,8.628234123839942e-05
4,0.001036440442925,0.0002245833244369,0.0069269239680687,0.3500257215469518,8.628774429381775e-05
5,0.0010365154731771,0.0002246003942778,0.0069345058936666,0.3535430548014373,8.629045941475315e-05
6,0.0010365589708234,0.0002246102891019,0.0069420553061053,0.3570958403217244,8.629183466033732e-05
7,0.0010365859220621,0.0002246164192465,0.0069495353170849,0.3606844198058598,8.629254398154463e-05
8,0.0010366036731,0.0002246204576406,0.0069568846194831,0.3643091384784403,8.629292409990388e-05
9,0.0010366161506586,0.00022462329917,0.0069640216707919,0.3679703420925353,8.629314305905663e-05
10,0.0010366256833935,0.0002246254741196,0.006970882030187,0.3716683680635474,8.629328457612618e-05
11,0.0010366337330954,0.0002246273145189,0.0069774777590474,0.3754035570368993,8.629339036491327e-05
12,0.001036641201684,0.0002246290246214,0.006983906780727,0.379176282450887,8.629348155548963e-05
13,0.00103664862489,0.0002246307254992,0.0069902860605181,0.3829869214957908,8.629356895360977e-05
14,0.0010366562996715,0.0002246324841986,0.0069966956389099,0.3868358551515606,8.629365814324793e-05
15,0.001036664379903,0.0002246343354526,0.007003173614253,0.3907234682258791,8.629375203992615e-05
16,0.0010366729404152,0.0002246362961532,0.0070097321841324,0.394650149392608,8.629385219060818e-05
17,0.0010366820147163,0.0002246383738642,0.0070163713385306,0.3986162912306183,8.62939594389935e-05
18,0.0010366916154448,0.0002246405714364,0.0070230863145537,0.4026222902630126,8.629407426555509e-05
19,0.0010367017449692,0.0002246428894007,0.0070298709838006,0.4066685469967397,8.629419696124457e-05
20,0.0010367124007507,0.000224645327179,0.0070367192316616,0.4107554659626067,8.629432771647223e-05
21,0.0010367235780205,0.0002246478836888,0.0070436254505604,0.4148834557556933,8.629446666698409e-05
22,0.0010367352702924,0.0002246505574589,0.0070505845866007,0.4190529290761721,8.629461390284773e-05
