Time (hr),Plant Height (m),Leaf Area (m²),Number of Leaves (unitless),Spikelet Count (unitless),Fruit Biomass (kg)
0,0.0010344827586206897,0.00022413793103448276,0.006896551724137931,0.3448275862068966,8.620689655172413e-05
1,0.0010351185990783447,0.00022428257961862539,0.006904132507520779,0.3455423064910137,8.622767561513709e-05
2,0.001035754830133261,0.0002244273214967742,0.006911721617835596,0.34625850775781414,8.624845968439918e-05
3,0.0010363914520251129,0.00022457215672902906,0.006919319064215774,0.3469761930743629,8.626924876071507e-05
4,0.0010370284649937216,0.00022471708537552857,0.006926924855804697,0.3476953655140696,8.629004284528968e-05
5,0.001037665869279055,0.00022486210749644985,0.006934539001755747,0.3484160281567017,8.631084193932828e-05
6,0.0010383036651212282,0.0002250072231520088,0.006942161511232316,0.3491381840883977,8.633164604403638e-05
7,0.0010389418527605029,0.00022515243240245992,0.00694979239340782,0.34986183640168006,8.635245516061981e-05
8,0.001039580432437288,0.0002252977353080965,0.006957431657465707,0.35058698819546863,8.637326929028466e-05
9,0.0010402194043921398,0.0002254431319292506,0.006965079312599467,0.3513136425750937,8.639408843423734e-05
10,0.0010408587688657616,0.00022558862232629297,0.006972735368012646,0.35204180265230917,8.641491259368453e-05
11,0.0010414353597697917,0.00022571983360568726,0.006980398897977158,0.35289454686984145,8.643273546737422e-05
12,0.0010419603400932227,0.00022583930477338888,0.006988069857387915,0.35387920735886724,8.644821104916654e-05
13,0.0010424426487988623,0.00022594906908228227,0.0069957482162933985,0.3550012764914238,8.646183168501393e-05
14,0.0010428893815792807,0.0002260507405717443,0.007003433957107068,0.3562647876886895,8.647396770153557e-05
15,0.0010433061794411387,0.00022614560242088956,0.007011127072321995,0.35767262290649154,8.648489975938135e-05
16,0.0010436975546121235,0.00022623468106238326,0.007018827562604958,0.35922676467050724,8.649484293575924e-05
17,0.0010440671461481386,0.00022631880431474313,0.007026535435203888,0.3609285027877869,8.650396409841836e-05
18,0.0010444179153538,0.00022639864582913466,0.007034250702621759,0.3627786031234938,8.651239434294467e-05
19,0.0010447522939999,0.00022647475880168045,0.007041973381517765,0.36477744458741024,8.65202379207963e-05
20,0.0010450722967845383,0.0002265476015537787,0.007049703491801307,0.36692512964555507,8.652757869824093e-05
21,0.0010453836858925409,0.00022661848523815165,0.007057441390571526,0.36917664812226875,8.653462270344001e-05
22,0.0010456873675882823,0.00022668761601356882,0.007065187113106401,0.371529718756505,8.654140456172265e-05
23,0.001045984115931673,0.00022675516996476826,0.007072940693535649,0.37398223170350936,8.654795336988141e-05
24,0.0010462745968138768,0.00022682129857006422,0.007080702164816368,0.3765322474799675,8.655429378459906e-05
25,0.001046559386858887,0.00022688613300106804,0.007088471558736469,0.3791779930429968,8.656044686094787e-05
26,0.0010468389884330167,0.00022694978753705312,0.007096248905937154,0.3819178560353719,8.656643070563538e-05
27,0.001047113841672472,0.000227012362301001,0.0071040342359481035,0.38475037792665534,8.657226099124498e-05
28,0.0010473843342034574,0.00022707394547074838,0.007111827577230797,0.3876742465626811,8.657795136497665e-05
29,0.0010476508090599323,0.0002271346150801368,0.007119628957226659,0.3906882884798744,8.658351377646021e-05
30,0.0010479135711811375,0.00022719444049708784,0.007127438402407677,0.3937914612289245,8.658895874287035e-05
31,0.0010481768578938936,0.0002272543860659438,0.0071352564472743595,0.39691111761434844,8.659441829987583e-05
32,0.0010484406413417743,0.0002273144454511236,0.007143083097635821,0.40004779750052655,8.659989158525811e-05
33,0.001048704896165784,0.00022737461288513367,0.007150918359644793,0.4032020051956652,8.660537781298072e-05
34,0.0010489695992149466,0.0002274348831027339,0.007158762239756587,0.4063742140208471,8.661087626447781e-05
35,0.0010492347292976152,0.00022749525128436653,0.0071666147446941735,0.4095648701964425,8.661638628115253e-05
36,0.0010495002669668177,0.0002275557130073277,0.007174475881418321,0.4127743961646375,8.662190725788921e-05
37,0.001049766194334199,0.00022761626420344426,0.007182345657101932,0.4160031934434549,8.662743863741932e-05
38,0.0010500324949081102,0.00022767690112224302,0.007190224079107897,0.41925164508937,8.663297990540989e-05
39,0.0010502991534521774,0.00022773762029877943,0.007198111154969898,0.42252011783124405,8.66385305861661e-05
40,0.0010505661558613238,0.00022779841852543575,0.0072060068923757055,0.4258089639268967,8.664409023885817e-05
41,0.0010508412333355812,0.00022786105558441047,0.0072139122288203406,0.4289799206938736,8.66499018937548e-05
42,0.0010511241488587624,0.00022792547760627064,0.007221827085033933,0.43204401276172716,8.665596147878983e-05
43,0.0010514146721590256,0.00022799163225460697,0.007229751393389978,0.4350109025637164,8.666226477322615e-05
44,0.0010517125799349894,0.00022805946877758055,0.0072376850960384825,0.4378890969100303,8.666880744669564e-05
45,0.0010520176559794306,0.0002281289380361515,0.007245628143388431,0.4406861170421522,8.667558509274065e-05
46,0.0010523296912210876,0.00022819999251366224,0.007253580492865682,0.44340863945678405,8.668259325752346e-05
47,0.001052648483701467,0.00022827258631062257,0.007261542107889719,0.44606261318137014,8.668982746430292e-05
48,0.0010529738385005407,0.00022834667512785747,0.007269512957025534,0.44865335796161776,8.669728323421263e-05
49,0.00105330556762272,0.0002284222162406108,0.0072774930132766275,0.4511856468855997,8.670495610381572e-05
50,0.0010536434898524268,0.00022849916846572627,0.007285482253492437,0.45366377624716436,8.671284163985588e-05
51,0.0010539887682474746,0.00022857779665972342,0.0072934807484909,0.45607754305146525,8.672098267748047e-05
52,0.0010543412110491455,0.00022865805725211577,0.0073014884721284866,0.4584317575612744,8.672937487644495e-05
53,0.0010547006322302363,0.00022873990797546873,0.007309505402000947,0.4607307524101779,8.673801386803493e-05
54,0.0010550668514688808,0.00022882330785947027,0.0073175315189627065,0.4629784414045463,8.674689527272303e-05
55,0.0010554396940915247,0.00022890821721798,0.007325566806719091,0.4651783698121995,8.675601471540479e-05
56,0.0010558189909912294,0.0002289945976304632,0.0073336112514788224,0.46733375754018847,8.676536783849115e-05
57,0.0010562045785264883,0.0002290824119189893,0.007341664841656625,0.469447536347148,8.677495031310679e-05
