Time (hr),Plant Height (m),Leaf Area (m²),Number of Leaves (unitless),Spikelet Count (unitless),Fruit Biomass (kg)
0,0.0010344827586206897,0.00022413793103448276,0.006896551724137931,0.3448275862068966,8.620689655172413e-05
1,0.0010351185992431905,0.00022428258016158914,0.006904132507520779,0.3455423084151252,8.622767568636348e-05
2,0.001035754830463155,0.00022442732258372872,0.006911721617835596,0.3462585116180086,8.624845982690346e-05
3,0.0010363914525202578,0.0002245721583610029,0.006919319064215774,0.3469761988826696,8.626924897454875e-05
4,0.0010370284656543206,0.00022471708755355174,0.006926924855804697,0.34769537328257616,8.629004313050434e-05
5,0.0010376658701053113,0.00022486211022155396,0.006934539001755747,0.3484160378975541,8.631084229597549e-05
6,0.0010383036661133448,0.00022500722642522693,0.006942161511232316,0.34913819581380057,8.633164647216776e-05
7,0.0010389418539186834,0.00022515243622482674,0.00694979239340782,0.3498618501238971,8.6352455660287e-05
8,0.0010395804337617362,0.00022529773968064817,0.006957431657465707,0.3505870039268227,8.637326986153935e-05
9,0.0010402194058830596,0.0002254431368530248,0.006965079312599467,0.3513136603279671,8.639408907713122e-05
10,0.0010408587705233571,0.00022558862780232893,0.006972735368012646,0.3520418224391441,8.641491330826935e-05
11,0.0010414353615642211,0.0002257198395722618,0.006980398897977158,0.35289456862748414,8.643273624108032e-05
12,0.0010419603420020094,0.00022583931118038236,0.006988069857387915,0.3538792310359227,8.644821187247503e-05
13,0.0010424426508047577,0.00022594907588835823,0.0069957482162933985,0.3550013020456429,8.646183255058431e-05
14,0.0010428893836688065,0.00022605074774232844,0.007003433957107068,0.35626481508537056,8.647396860360665e-05
15,0.0010433061816035832,0.00022614560992669937,0.007011127072321995,0.35767265211742266,8.648490069335655e-05
16,0.0010436975568388416,0.0002262346888783407,0.007018827562604958,0.35922679567321364,8.649484389791561e-05
17,0.0010440671484320554,0.0002263188124191573,0.007026535435203888,0.3609285355649606,8.650396508569911e-05
18,0.0010444179176890512,0.00022639865420307794,0.007034250702621759,0.36277863766254026,8.65123953528088e-05
19,0.0010447522963815696,0.00022647476742850548,0.007041973381517765,0.36477748088007445,8.652023895110789e-05
20,0.0010450722992084622,0.00022654761041873928,0.007049703491801307,0.3669251676876057,8.652757974718634e-05
21,0.0010453836883556721,0.00022661849432881604,0.007057441390571526,0.36917668789865304,8.653462376968235e-05
22,0.0010456873700879572,0.00022668762531874597,0.007065187113106401,0.37152976025567547,8.654140564409126e-05
23,0.0010459841184655469,0.0002267551794743328,0.007072940693535649,0.37398227491710073,8.654795446734401e-05
24,0.0010462745993798722,0.00022682130827481262,0.007080702164816368,0.3765322924025171,8.655429489623963e-05
25,0.001046559389455152,0.00022688614289259924,0.007088471558736469,0.3791780396717017,8.65604479859488e-05
26,0.0010468389910578925,0.00022694979760766896,0.007096248905937154,0.38191790436987727,8.65664318432631e-05
27,0.0010471138443244644,0.00022701237254362221,0.0071040342359481035,0.3847504279688697,8.657226214083811e-05
28,0.001047384336881215,0.0002270739558788434,0.007111827577230797,0.38767429831661504,8.65779525259362e-05
29,0.0010476508117622275,0.00022713462564766105,0.007119628957226659,0.39068834195149854,8.658351494824151e-05
30,0.0010479135739068508,0.00022719445121843163,0.007127438402407677,0.3937915164260456,8.65889599249762e-05
31,0.0010481768606423426,0.00022725439693643294,0.0071352564472743595,0.39691117452672636,8.659441949199555e-05
32,0.0010484406441123174,0.00022731445646637308,0.007143083097635821,0.4000478561195585,8.659989278709942e-05
33,0.0010487048989578165,0.00022737462404102173,0.007150918359644793,0.40320206551424553,8.660537902426814e-05
34,0.0010489696020278977,0.00022743489439537904,0.007158762239756587,0.4063742760332442,8.661087748495126e-05
35,0.0010492347321309453,0.00022749526271010722,0.0071666147446941735,0.4095649338981902,8.661638751056609e-05
36,0.001049500269820016,0.0002275557245627043,0.007174475881418321,0.4127744615524391,8.662190849600997e-05
37,0.0010497661972067814,0.00022761627588518274,0.007182345657101932,0.41600326051509773,8.662743988402639e-05
38,0.0010500324977996166,0.00022767691292724057,0.007190224079107897,0.41925171384364984,8.663298116029348e-05
39,0.001050299156362171,0.00022773763222409138,0.007198111154969898,0.42252018826789706,8.663853184912674e-05
40,0.0010505661587893887,0.00022779843056826383,0.0072060068923757055,0.42580903604653886,8.664409150970595e-05
41,0.0010508412362818323,0.00022786106774291346,0.0072139122288203406,0.42897999445855917,8.664990317252325e-05
42,0.0010511241518232955,0.00022792548987866565,0.007221827085033933,0.4320440881359952,8.665596276550443e-05
43,0.001051414675141919,0.00022799164463916763,0.007229751393389978,0.43501097951437384,8.666226606790514e-05
44,0.0010517125829363056,0.00022805948127263513,0.0072376850960384825,0.43788917540595823,8.666880874935068e-05
45,0.0010520176589992175,0.00022812895064008105,0.007245628143388431,0.4406861970541325,8.667558640337747e-05
46,0.0010523296942593799,0.00022820000522489874,0.007253580492865682,0.44340872095734396,8.668259457614242e-05
47,0.0010526484867582878,0.00022827259912764703,0.007261542107889719,0.44606269614464306,8.668982879089954e-05
48,0.001052973841575902,0.0002283466880491982,0.007269512957025534,0.44865344236321736,8.669728456877806e-05
49,0.0010533055707166242,0.00022842222926484164,0.0072774930132766275,0.4511857327025067,8.670495744633721e-05
50,0.0010536434929648674,0.0002284991815914648,0.007285482253492437,0.45366386345762455,8.671284299031712e-05
51,0.001053988771378509,0.00022857780988573353,0.0072934807484909,0.45607763163043424,8.672098403589175e-05
52,0.0010543412141988202,0.00022865807057719526,0.0073014884721284866,0.458431847485085,8.672937624281203e-05
53,0.0010547006353985875,0.00022873992139844834,0.007309505402000947,0.460730843656437,8.673801524235947e-05
54,0.0010550668546559356,0.0002288233213792127,0.0073175315189627065,0.4629785339520418,8.674689665500294e-05
55,0.0010554396972973013,0.00022890823083337894,0.007325566806719091,0.46517846364081544,8.675601610563457e-05
56,0.0010558189942157384,0.00022899461134044232,0.0073336112514788224,0.46733385263082833,8.676536923666215e-05
57,0.001056204581769733,0.00022908242572250133,0.007341664841656625,0.46944763268166445,8.677495171920752e-05
58,0.0010565963016668713,0.00022917163801780793,0.007349727567617708,0.4715224795913502,8.678475926263371e-05
59,0.0010569940008359785,0.00022926221345169416,0.0073577994214573846,0.4735608411327505,8.679478762260007e-05
60,0.0010573975312907482,0.00022935411840556164,0.0073658803968103,0.47556496138101695,8.680503260782271e-05
61,0.00105781146814667,0.00022944839475452273,0.007373970699498208,0.4775033079952688,8.681567134306254e-05
62,0.0010582356065879897,0.00022954499600407136,0.007382070304740665,0.4793809089179405,8.682670040882602e-05
63,0.001058669743330469,0.00022964387600727578,0.007390179191394791,0.48120228746862753,8.683811609355693e-05
64,0.0010591136770907261,0.00022974498907154368,0.007398297341490694,0.4829715241053718,8.684991443069112e-05
65,0.001059567208984219,0.00022984829004915036,0.0074064247398362175,0.48469230939779173,8.686209123272291e-05
66,0.0010600301428599676,0.00022995373441337384,0.0074145613736793054,0.4863679896222379,8.687464212243829e-05
67,0.0010605022855793209,0.00023006127832189913,0.00742270723241849,0.48800160613932975,8.688756256147669e-05
68,0.0010609834472453375,0.00023017087866898688,0.007430862307353714,0.48959592951250536,8.690084787638523e-05
69,0.0010614734413886694,0.000230282493127747,0.007439026591471131,0.4911534891626508,8.691449328232926e-05
70,0.0010619720851152278,0.00023039608018371813,0.007447200079256604,0.49267659922071216,8.69284939046196e-05
71,0.0010624865146174633,0.0002305132653506937,0.00745538296263045,0.49413571177443355,8.694315628298166e-05
72,0.0010630164610380818,0.00023063398765995518,0.007463575215584003,0.4955363904349979,8.695847816035585e-05
73,0.0010635616479712795,0.00023075818442372227,0.007471776816206826,0.49688358581903536,8.697445626586504e-05
74,0.0010641217930278878,0.00023088579159109783,0.007479987746127643,0.4981817164285958,8.699108639959835e-05
75,0.0010646966092563187,0.00023101674407120456,0.0074882079900432915,0.4994347372890129,8.700836351467027e-05
76,0.0010652858064278106,0.0002311509760254514,0.007496437535320193,0.5006461984120841,8.702628179613744e-05
77,0.0010658890921946154,0.00023128842113089617,0.00750467637165579,0.5018192947699565,8.704483473646357e-05
78,0.001066506173129737,0.00023142901281666598,0.007512924490789842,0.5029569091591927,8.706401520731549e-05
79,0.0010671367556566896,0.00023157268447536317,0.007521181886257296,0.5040616490885467,8.708381552755199e-05
80,0.0010677805468775074,0.0002317193696513305,0.007529448553176026,0.5051358786254382,8.710422752733391e-05
81,0.00106843856897156,0.0002318693015034446,0.007537724507383587,0.5061786165727894,8.712530567280886e-05
82,0.001069110500220257,0.00023202240703168602,0.007546009744429072,0.507192175234561,8.714704058395034e-05
83,0.0010697960198641646,0.00023217861345077096,0.007554304261234423,0.5081786535862647,8.716942237043888e-05
84,0.0010704948088843078,0.0002323378483677895,0.007562608055938172,0.5091399611633567,8.719244069803971e-05
85,0.0010712065506927714,0.0002325000399392216,0.007570921127760016,0.5100778388467508,8.721608485071857e-05
86,0.0010719309317399036,0.0002326651170089921,0.007579243476883093,0.5109938769993851,8.72403437885606e-05
87,0.0010726676420450495,0.00023283300922914138,0.007587575104351346,0.5118895313344849,8.726520620159048e-05
88,0.0010734163756573576,0.00023300364716459887,0.007595916011979779,0.5127661368357449,8.729066055961803e-05
89,0.0010741768310527993,0.00023317696238345795,0.007604266202275785,0.5136249199996682,8.731669515825364e-05
