number,value,datetime_start,datetime_complete,duration,params_daily_horizon,params_weight_fertilizer,params_weight_fertilizer_anomaly,params_weight_fruit_biomass,params_weight_height,params_weight_irrigation,params_weight_leaf_area,params_weight_water_anomaly,user_attrs_revenue_extreme_drought_heat,user_attrs_revenue_moderate_dry,user_attrs_revenue_normal_1,user_attrs_revenue_summer_drought,user_attrs_revenue_wet_year,state
0,-411.09941169840795,2026-01-08 15:10:22.464963,2026-01-08 15:13:11.814797,0 days 00:02:49.349834,11,0.0013949458198611203,8.376388146302443,7222.742800877075,234.58293902856107,0.6107686573608484,555.8016213920623,0.04925222337791059,-492.6650181412167,-355.5327479625233,-366.4912518202365,-373.545640416876,-467.26240015118714,COMPLETE
1,336.88418611981143,2026-01-08 15:13:11.815986,2026-01-08 15:16:45.188702,0 days 00:03:33.372716,11,0.00370228692069884,0.03910002376153661,4441.865222328282,349.7462359893607,0.08389336334792571,731.7592103102012,0.0017326529663635624,463.6996215481719,422.2844005820491,307.63772430249674,451.25493207794216,39.544252088397116,COMPLETE
2,-730.6720061143999,2026-01-08 15:16:45.189961,2026-01-08 15:19:04.944187,0 days 00:02:19.754226,10,0.0005032769318663512,0.7903533518289985,6380.569489658078,536.23586010342,0.005369908947196365,536.5093112258974,2.4987751386014665,-698.9020966000495,-719.6154778062593,-738.6405364896142,-717.1850160323932,-779.0169036436832,COMPLETE
3,694.5053991730018,2026-01-08 15:19:04.945661,2026-01-08 15:21:03.042894,0 days 00:01:58.097233,8,0.001958103552839226,0.002335714515891042,3007.769059249411,368.17076906609094,0.775842435828376,235.98059857016605,0.3341215561348895,359.8723350790779,810.5153041990138,957.1679031982743,732.269336615944,612.7021167726994,COMPLETE
4,354.51603064276526,2026-01-08 15:21:03.044091,2026-01-08 15:24:05.453226,0 days 00:03:02.409135,9,0.009434967110751792,5.979158591419449,4320.8779389318015,431.5719873928697,0.052899437412125536,319.13861074274064,3.7459040809262816,479.880795337332,369.2180437050491,314.8060083782449,384.9126057911214,223.76270000207867,COMPLETE
5,-492.7995226803033,2026-01-08 15:24:05.454586,2026-01-08 15:28:01.459536,0 days 00:03:56.004950,14,0.0002900504745273943,0.0855336602144033,8676.460663045324,324.1126270021177,0.3131928271719603,420.67794983409544,0.010042028777169459,-509.83433677387654,-451.67978915178105,-483.84691997363234,-458.0367594675541,-560.5998080346726,COMPLETE
6,483.6310942785361,2026-01-08 15:28:01.460731,2026-01-08 15:30:22.506021,0 days 00:02:21.045290,6,0.028286427653765295,0.023499322154972465,6070.295271268181,129.42237933042048,0.1196576521260231,828.0773925017648,0.15145095837218223,539.0257263965943,515.3214778535989,470.2886795293172,526.9490883841087,366.57049922906174,COMPLETE
7,334.22503808220324,2026-01-08 15:30:22.507275,2026-01-08 15:33:51.460827,0 days 00:03:28.953552,11,0.053113272803369846,0.3159468344246403,6726.206451326496,876.7022733772232,0.04656813487239959,515.318114103231,0.22067148127117084,425.37851081923486,351.24511774898235,313.46848978382303,357.7111987242668,223.32187333470907,COMPLETE
8,-491.41881468490755,2026-01-08 15:33:51.462118,2026-01-08 15:36:46.398931,0 days 00:02:54.936813,13,0.00021516912477781146,0.002414627077337045,2022.8073097298316,766.0460130289048,2.340829330353509,251.22971079150525,0.19490717640641536,-562.9520367264552,-456.066835317159,-444.12886651947395,-472.7256422516534,-521.2206926097964,COMPLETE
9,597.482768368721,2026-01-08 15:36:46.400198,2026-01-08 15:39:44.272192,0 days 00:02:57.871994,11,0.07828263448438211,0.004095265478887798,5612.173404703458,25.96791462806666,0.3228463555257256,598.4875606505921,0.00432353099339218,591.8241514166675,651.6522171748579,620.6181258259553,655.6663644681669,467.652982957958,COMPLETE
10,483.6756983674135,2026-01-08 15:39:44.273429,2026-01-08 15:40:52.699867,0 days 00:01:08.426438,3,0.058597782592638696,0.026889966844309884,9258.811647178461,558.8394172205943,0.0188393409315699,395.0610683819132,2.326376422304544,536.4801106227649,500.92445498096026,468.6920823045962,532.5311756136891,379.750668315057,COMPLETE
11,-209.8392766870677,2026-01-08 15:40:52.701204,2026-01-08 15:43:33.698200,0 days 00:02:40.996996,11,0.003915098813009526,0.23588898748346793,3623.5571706028495,707.9092421468486,0.01656045609634458,995.4048972136773,1.1225126789939393,-117.56804613773784,-203.27373099026602,-212.86731797218675,-204.22147953257496,-311.2658088025729,COMPLETE
12,218.98507692073653,2026-01-08 15:43:33.699531,2026-01-08 15:45:27.566119,0 days 00:01:53.866588,4,0.003940081188539607,0.0026523689807374604,5179.968726570121,248.44733874638823,0.004022627417887436,350.0214539078417,0.46397886764780455,288.13426766400266,231.73491341197115,202.29559309662295,240.8011030949136,131.95950733617227,COMPLETE
13,258.6991671728974,2026-01-08 15:45:27.567411,2026-01-08 15:47:59.278502,0 days 00:02:31.711091,7,0.044285071139532325,0.018499142102715756,8559.079626492598,848.0411630180148,0.019405392255228884,557.7247713487462,0.03462192769900678,328.22649445562826,273.07882813855656,246.28820417461245,276.82145542381056,169.08085367187914,COMPLETE
14,162.41248658352015,2026-01-08 15:47:59.279799,2026-01-08 15:50:50.341916,0 days 00:02:51.062117,14,0.2072290032105245,0.0010250670136985542,5827.659534277446,345.2841374551833,0.004834230085303157,556.8463745411324,0.12193608235118099,222.85545114019754,174.6861473887804,150.27694905467732,176.09503216693392,88.14885316701154,COMPLETE
15,637.7201589556983,2026-01-08 15:50:50.343296,2026-01-08 15:52:13.320577,0 days 00:01:22.977281,7,0.5268323236359359,0.006220683931854012,926.071621692789,45.17119403017928,8.03590916400043,65.76650020323052,0.001061239721279945,485.9711034599276,688.9953084239359,752.7324431197968,654.8837401919549,606.0181995828757,COMPLETE
16,637.4989631547614,2026-01-08 15:52:13.321774,2026-01-08 15:54:07.002259,0 days 00:01:53.680485,7,0.8224383663734764,0.007398274237885168,229.907002334744,113.86606446550996,8.813658633452363,23.059965326272838,0.0010211649165953122,485.75431723132664,688.4412485493989,752.4992938162062,654.3872022261058,606.4127539507693,COMPLETE
17,637.410780587246,2026-01-08 15:54:07.003482,2026-01-08 15:56:25.046788,0 days 00:02:18.043306,5,0.37697572033283766,0.009267182421898898,2244.088354428346,616.9262544991436,9.160231218824498,101.94091896482045,0.016032769025058194,485.4411434255217,688.8560250363323,752.3924287181949,654.6751162691354,605.6891894870455,COMPLETE
18,306.2317238832171,2026-01-08 15:56:25.048160,2026-01-08 15:58:00.292852,0 days 00:01:35.244692,8,0.0010402548569987144,0.0010208507042668436,662.0995015940623,975.3073049355635,1.6795291998916329,181.28294966876635,0.8352602889496977,-77.98257764894868,469.4347340141129,521.019926543536,410.32066598697253,208.3658705204125,COMPLETE
19,201.3234763536978,2026-01-08 15:58:00.294075,2026-01-08 15:59:41.264424,0 days 00:01:40.970349,8,0.00011191706260634706,0.00614538066281264,2407.459937773905,22.161079642891366,2.359838744520423,17.06812365847952,9.315399523616952,-14.127465683089667,245.87387378521998,371.60302069005263,195.28769619143782,207.9802567848683,COMPLETE
20,634.3730889244478,2026-01-08 15:59:41.265686,2026-01-08 16:01:13.853618,0 days 00:01:32.587932,6,0.013288741665117853,1.874764670576622,1116.4004389868824,179.17721736438068,0.9018526735382605,173.3100487748709,0.003391338312913065,479.4827081374111,693.7524906863848,745.9321779515861,658.232280429536,594.465787417321,COMPLETE
21,637.5302107967699,2026-01-08 16:01:13.854969,2026-01-08 16:02:32.945927,0 days 00:01:19.090958,7,0.9238517376945755,0.008260369939807053,1063.585698552811,120.57382544924668,7.138814508814254,12.96489314741265,0.0010003735772327773,485.7714145885561,688.8131137743636,752.4491223110093,654.7054600904726,605.9119432194478,COMPLETE
