scenario,extremity,farmer_revenue,ga_drought_revenue,ga_normal_revenue,mpc_revenue,ga_drought_vs_farmer,ga_normal_vs_farmer,mpc_vs_farmer,mpc_vs_ga_drought,mpc_vs_ga_normal,farmer_fruit,ga_drought_fruit,ga_normal_fruit,mpc_fruit,farmer_irrigation,ga_drought_irrigation,ga_normal_irrigation,mpc_irrigation,farmer_fertilizer,ga_drought_fertilizer,ga_normal_fertilizer,mpc_fertilizer,precip_total,temp_mean
normal 1,0.0,586.796928858932,783.5966757553592,914.4578924508642,849.8832009673936,196.79974689642722,327.66096359193216,263.08627210846157,66.28652521203435,-64.57469148347059,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.1834678373187659,18,14.969088579300001,4.20966247,1.3376909079419708,450,307.085205614,421.3614318199999,215.63558992524435,31.466249952,22.81727635674459
moderate variable,0.0,585.9291715380814,783.6189634066786,913.4445297367201,847.4332028348218,197.68979186859724,327.51535819863875,261.50403129674044,63.814239428143196,-66.01132690189831,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.18312379935051193,18,14.969088579300001,4.20966247,1.354161221731657,450,307.085205614,421.3614318199999,216.4003203272915,31.466249952,22.806219904119658
baseline,0.0,587.0782166144727,783.9774399744372,914.8070736519383,848.3962203962496,196.89922335996448,327.72885703746556,261.31800378177695,64.41878042181247,-66.41085325568861,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.18333651057026415,18,14.969088579300001,4.20966247,1.3613973127836916,450,307.085205614,421.3614318199999,216.83231780737208,31.466249952,22.821482240437156
normal 2,0.2000000000000001,622.116950946521,819.0900899758024,944.849888806212,877.3993608439011,196.97313902928136,322.732937859691,255.28240989738015,58.30927086809879,-67.45052796231084,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.18879474077860292,18,14.969088579300001,4.20966247,1.357445636685172,450,307.085205614,421.3614318199999,216.9441441978156,29.8929374544,23.322283494883433
normal 3,0.2000000000000001,550.400935267576,739.1944924703068,883.0711309234046,815.4597775696907,188.79355720273088,332.6701956558286,265.0588423021147,76.26528509938385,-67.61135335371387,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.17722428295000242,18,14.969088579300001,4.20966247,1.4026542954734722,450,307.085205614,421.3614318199999,221.63241953471243,33.0395624496,22.32105232152131
normal 4,0.39999999999999997,652.1873195964349,842.2804411633756,972.8958743056573,885.5134926482982,190.09312156694068,320.7085547092224,233.3261730518633,43.23305148492261,-87.38238165735913,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.19042023330247418,18,14.969088579300001,4.20966247,1.4297048320401191,450,307.085205614,421.3614318199999,219.03407808181834,28.319624956800002,23.836748977982886
normal 5,0.4000000000000002,514.8714756190827,695.5560890285335,844.9401068284826,774.3387543492839,180.68461340945078,330.0686312093999,259.4672787302012,78.78266532075043,-70.60135247919868,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.17153408025307282,18,14.969088579300001,4.20966247,1.5902397716442116,450,307.085205614,421.3614318199999,241.7026900977105,34.612874947200005,21.831446026703592
moderate cool,0.6000000000000002,484.92715037484817,651.683772662567,804.3079922718912,735.6284429650548,166.7566222877188,319.380841897043,250.7012925902066,83.9446703024878,-68.6795493068364,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.16409874964602936,18,14.969088579300001,4.20966247,1.511700733496422,450,307.085205614,421.3614318199999,239.09488338667973,34.612874947200005,20.81223761976086
moderate wet,0.7,452.76638128707333,629.1164535917351,762.0206170162517,715.7727392189469,176.35007230466175,309.25423572917833,263.00635793187354,86.65628562721179,-46.247877797304795,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.1600437570798882,18,14.969088579300001,4.20966247,1.6615391363465937,450,307.085205614,421.3614318199999,249.63162061673154,39.33281244,21.82227466571157
moderate warm,0.7,614.1821073228484,791.3594207040858,924.7383672358744,845.881482761414,177.17731338123735,310.556259913026,231.69937543856554,54.522062057328185,-78.85688447446046,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.18505754030119317,18,14.969088579300001,4.20966247,1.4849857465332488,450,307.085205614,421.3614318199999,233.31232226766232,28.319624956800002,25.31392908265681
moderate dry,0.8,720.9814913624721,912.5444043340879,944.5330403978262,796.3072215720752,191.5629129716158,223.55154903535413,75.32573020960308,-116.23718276201271,-148.22581882575105,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.17576238382146342,18,14.969088579300001,4.20966247,1.6312626033169138,450,307.085205614,421.3614318199999,241.59525452314574,23.599687464,24.323437538805464
wet year,1.0999999999999999,384.781674506499,550.8626547343833,669.4139496176454,632.9802004082421,166.08098022788437,284.6322751111464,248.19852590174315,82.11754567385879,-36.43374920940323,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.14502578652587858,18,14.969088579300001,4.20966247,1.6836691165109297,450,307.085205614,421.3614318199999,261.88103008365516,44.0527499328,21.321227481482335
cool wet,1.1,393.1814910912421,549.8321068614614,680.4501245263834,640.7716869786263,156.6506157702193,287.26863343514134,247.59019588738425,90.93958011716495,-39.678437547757085,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.14658107839476808,18,14.969088579300001,4.20966247,1.596105594782239,450,307.085205614,421.3614318199999,255.02273001122603,40.9061249376,20.316554016523956
mild drought,1.3,852.9265319768774,997.1507005765159,842.7686006299807,717.3645760381605,144.22416859963846,-10.157931346896703,-135.5619559387169,-279.78612453835535,-125.40402459182019,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.1611021952046704,18,14.969088579300001,4.20966247,1.8991552568723022,450,307.085205614,421.3614318199999,261.72661351428155,17.795249976,23.817864852756077
late drought,1.52,832.7283973533335,990.5067225044666,869.4346040600367,700.0231892854626,157.778325151133,36.70620670670314,-132.7052080678709,-290.4835332190039,-169.41141477457404,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.15610841770415285,18,14.969088579300001,4.20966247,1.5145926762790196,450,307.085205614,421.3614318199999,234.97273179620873,18.0951749664,23.81499690818271
early drought,1.6400000000000001,816.6877299378173,993.3058615276695,854.9509289584496,726.6404449295533,176.61813158985228,38.26319902063233,-90.047285008264,-266.6654165981163,-128.31048402889633,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.16313286420530987,18,14.969088579300001,4.20966247,1.8766271515919544,450,307.085205614,421.3614318199999,261.4397659360102,19.12922914344,24.311660392069466
heat stress,1.6999999999999997,669.2119899058582,854.6676916056008,947.5024275161118,795.0220826057483,185.45570169974258,278.29043761025355,125.8100926998901,-59.64560899985247,-152.48034491036344,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.17582542986916808,18,14.969088579300001,4.20966247,1.595665559152535,450,307.085205614,421.3614318199999,240.07206740779097,25.172999961600002,25.09434351939092
summer drought,1.7,752.4963880738646,943.5042591553852,887.5306708876235,746.2865568369295,191.00787108152053,135.03428281375886,-6.209831236935088,-197.21770231845562,-141.24411405069395,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.16677343170316397,18,14.969088579300001,4.20966247,1.6652768446378532,450,307.085205614,421.3614318199999,248.029593350578,21.30117497424,24.82292772478582
multiple heatwaves,2.26,650.6901614676394,836.5668248450675,959.4680172248338,829.4862301317751,185.87666337742803,308.7778557571944,178.79606866413565,-7.080594713292385,-129.98178709305876,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.18168713339350268,18,14.969088579300001,4.20966247,1.5369180983004473,450,307.085205614,421.3614318199999,233.71434606680876,26.7463124592,24.82608222467448
extreme drought heat,4.97,768.0187935698211,835.6084487685282,609.2434933355789,518.465160234979,67.58965519870708,-158.7753002342422,-249.55363333484217,-317.14328853354925,-90.77833310059998,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.12755283314549826,18,14.969088579300001,4.20966247,1.9842673366377526,450,307.085205614,421.3614318199999,307.1259016527236,8.98884999064,26.312490200290725
worst case,8.38,658.8069284206522,733.8062704699087,526.5663566798794,444.9332653957373,74.99934204925648,-132.2405717407728,-213.8736630249149,-288.8730050741714,-81.6330912841421,0.1547627667455756,0.1547627667455756,0.1547627667455756,0.11342734125809546,18,14.969088579300001,4.20966247,1.831156157000096,450,307.085205614,421.3614318199999,302.07137634659426,6.191864573264999,27.960886653403676
