scenario,extremity,farmer_revenue,fixed_ga_revenue,mpc_revenue,ga_vs_farmer,mpc_vs_farmer,mpc_vs_ga,farmer_fruit,ga_fruit,mpc_fruit,farmer_irrigation,ga_irrigation,mpc_irrigation,farmer_fertilizer,ga_fertilizer,mpc_fertilizer,precip_total,temp_mean
normal_1,0.0,586.796928858932,783.5966757553592,849.8832009673936,196.79974689642722,263.08627210846157,66.28652521203435,0.1547627667455756,0.1547627667455756,0.1834678373187659,18,14.969088579300001,1.3376909079419708,450,307.085205614,215.63558992524435,31.466249952,22.81727635674459
moderate_variable,0.0,585.9291715380814,783.6189634066786,847.4332028348218,197.68979186859724,261.50403129674044,63.814239428143196,0.1547627667455756,0.1547627667455756,0.18312379935051193,18,14.969088579300001,1.354161221731657,450,307.085205614,216.4003203272915,31.466249952,22.806219904119658
baseline,0.0,587.0782166144727,783.9774399744372,848.3962203962496,196.89922335996448,261.31800378177695,64.41878042181247,0.1547627667455756,0.1547627667455756,0.18333651057026415,18,14.969088579300001,1.3613973127836916,450,307.085205614,216.83231780737208,31.466249952,22.821482240437156
normal_2,0.2000000000000001,622.116950946521,819.0900899758024,877.3993608439011,196.97313902928136,255.28240989738015,58.30927086809879,0.1547627667455756,0.1547627667455756,0.18879474077860292,18,14.969088579300001,1.357445636685172,450,307.085205614,216.9441441978156,29.8929374544,23.322283494883433
normal_3,0.2000000000000001,550.400935267576,739.1944924703068,815.4597775696907,188.79355720273088,265.0588423021147,76.26528509938385,0.1547627667455756,0.1547627667455756,0.17722428295000242,18,14.969088579300001,1.4026542954734722,450,307.085205614,221.63241953471243,33.0395624496,22.32105232152131
normal_4,0.39999999999999997,652.1873195964349,842.2804411633756,885.5134926482982,190.09312156694068,233.3261730518633,43.23305148492261,0.1547627667455756,0.1547627667455756,0.19042023330247418,18,14.969088579300001,1.4297048320401191,450,307.085205614,219.03407808181834,28.319624956800002,23.836748977982886
normal_5,0.4000000000000002,514.8714756190827,695.5560890285335,774.3387543492839,180.68461340945078,259.4672787302012,78.78266532075043,0.1547627667455756,0.1547627667455756,0.17153408025307282,18,14.969088579300001,1.5902397716442116,450,307.085205614,241.7026900977105,34.612874947200005,21.831446026703592
moderate_cool,0.6000000000000002,484.92715037484817,651.683772662567,735.6284429650548,166.7566222877188,250.7012925902066,83.9446703024878,0.1547627667455756,0.1547627667455756,0.16409874964602936,18,14.969088579300001,1.511700733496422,450,307.085205614,239.09488338667973,34.612874947200005,20.81223761976086
moderate_wet,0.7,452.76638128707333,629.1164535917351,715.7727392189469,176.35007230466175,263.00635793187354,86.65628562721179,0.1547627667455756,0.1547627667455756,0.1600437570798882,18,14.969088579300001,1.6615391363465937,450,307.085205614,249.63162061673154,39.33281244,21.82227466571157
moderate_warm,0.7,614.1821073228484,791.3594207040858,845.881482761414,177.17731338123735,231.69937543856554,54.522062057328185,0.1547627667455756,0.1547627667455756,0.18505754030119317,18,14.969088579300001,1.4849857465332488,450,307.085205614,233.31232226766232,28.319624956800002,25.31392908265681
moderate_dry,0.8,720.9814913624721,912.5444043340879,796.3072215720752,191.5629129716158,75.32573020960308,-116.23718276201271,0.1547627667455756,0.1547627667455756,0.17576238382146342,18,14.969088579300001,1.6312626033169138,450,307.085205614,241.59525452314574,23.599687464,24.323437538805464
wet_year,1.0999999999999999,384.781674506499,550.8626547343833,632.9802004082421,166.08098022788437,248.19852590174315,82.11754567385879,0.1547627667455756,0.1547627667455756,0.14502578652587858,18,14.969088579300001,1.6836691165109297,450,307.085205614,261.88103008365516,44.0527499328,21.321227481482335
cool_wet,1.1,393.1814910912421,549.8321068614614,640.7716869786263,156.6506157702193,247.59019588738425,90.93958011716495,0.1547627667455756,0.1547627667455756,0.14658107839476808,18,14.969088579300001,1.596105594782239,450,307.085205614,255.02273001122603,40.9061249376,20.316554016523956
