Hourly Precipitation (in),Hourly Radiation (W/m2),Temperature (C)
0.03375,1178,25.1
0.03375,1937,25.3
0.03375,1815,25.2
0.03375,1621,25
0.03375,1132,24.4
0.03375,1041,23.9
0.03375,691,23
0.03375,113,21.6
0.03375,0,20.9
0.03375,0,19.9
0.03375,0,18.5
0.03375,0,17.2
0.03375,0,16.2
0.03375,0,15.3
0.03375,0,14.7
0.03375,0,14.3
0.03375,0,14.6
0.03375,446,16.6
0.03375,902,18.9
0.03375,1113,21.6
0.03375,1324,24.5
0.03375,1311,26.1
0.03375,1450,26.6
0,1607,26.8
0,1716,26.9
0,1284,27
0,561,27.2
0,981,27.1
0,469,26.5
0,174,25.9
0,66,23.4
0,14,22.3
0,0,21.9
0,0,21.7
0,0,21.3
0,0,20.8
0,0,20.5
0,0,19.8
0,0,18.1
0,0,16.3
0,0,15.5
0,22,16.1
0,40,17.5
0,194,19
0,1010,20.2
0,1645,21.6
0,1839,23.2
0,1019,24.5
0,938,25.3
0,1873,25.6
0,1741,25.5
0,1575,25.1
0,882,24.3
0,1001,23.8
0,112,20.9
0,10,18.9
0,0,17.7
0,0,16.8
0,0,15.9
0,0,15.2
0,0,14.4
0,0,13.7
0,0,13.1
0,0,12.7
0,0,13.1
0,433,14.8
0,917,17.1
0,1272,19.4
0,1550,21.3
0,1759,22.6
0,1894,23.5
0,1965,24.2
0,1973,24.8
0,1911,25.3
0,1782,25.4
0,1174,25.2
0,1303,24.6
0,889,24.3
0,608,21.6
0,18,20.1
0,0,19.4
0,0,19
0,0,18.5
0,0,18.1
0,0,18.3
0,0,18.5
0,0,18.8
0,0,18.9
0,0,19
0,44,20
0,846,21.7
0,1200,23.7
0,1133,25.5
0,1409,26.7
0,1546,27.7
0.004166667,1648,28.5
0.004166667,1746,29.1
0.004166667,1682,29.4
0.004166667,1737,29.5
0.004166667,1548,29.4
0.004166667,656,28.8
0.004166667,531,28.3
0.004166667,524,26.4
0.004166667,16,25.6
0.004166667,0,25.2
0.004166667,0,24
0.004166667,0,22.8
0.004166667,0,22.2
0.004166667,0,21.2
0.004166667,0,20
0.004166667,0,18.9
0.004166667,0,18.3
0.004166667,0,18.2
0.004166667,8,18.4
0.004166667,58,19.2
0.004166667,106,21.2
0.004166667,946,24.1
0.004166667,904,26.4
0.004166667,809,27.8
0,1890,28.5
0,1646,28.6
0,1436,28.3
0,372,27.8
0,714,27.4
0,270,26.7
0,594,26.3
0,514,22.7
0,58,19.7
0,0,17.1
0,0,15.6
0,0,14.8
0,0,14.2
0,0,13.7
0,0,13.2
0,0,12.7
0,0,12.5
0,0,13.2
0,500,14.9
0,962,17.4
0,1305,20.2
0,1577,22.6
0,1784,24.2
0,1936,25.2
0.24125,2030,25.7
0.24125,2041,25.8
0.24125,1987,25.8
0.24125,1865,25.6
0.24125,1674,25.2
0.24125,1425,24.4
0.24125,1121,23.9
0.24125,523,20.4
0.24125,18,18.2
0.24125,0,17.2
0.24125,0,16.5
0.24125,0,15.8
0.24125,0,15.3
0.24125,0,14.9
0.24125,0,14.7
0.24125,0,14.7
0.24125,0,14.9
0.24125,0,15.2
0.24125,50,16.1
0.24125,176,17.5
0.24125,355,18.8
0.24125,232,19.5
0.24125,240,19.9
0.24125,425,20.2
0.005416667,487,20.4
0.005416667,714,21.3
0.005416667,505,22.3
0.005416667,624,22.5
0.005416667,246,22.2
0.005416667,543,21.7
0.005416667,755,21.3
0.005416667,6,19.9
0.005416667,18,19.2
0.005416667,0,18.7
0.005416667,0,18.4
0.005416667,0,18.2
0.005416667,0,18
0.005416667,0,17.7
0.005416667,0,17.4
0.005416667,0,17
0.005416667,0,16.8
0.005416667,0,16.9
0.005416667,10,17.3
0.005416667,50,18.1
0.005416667,234,19.2
0.005416667,722,20.9
0.005416667,759,23.6
0.005416667,986,26.2
0.0475,945,27.4
0.0475,872,27.7
0.0475,1334,27.5
0.0475,1660,26.9
0.0475,647,26.3
0.0475,244,25.5
0.0475,864,25
0.0475,22,22.8
0.0475,24,21.6
0.0475,0,20.7
0.0475,0,19.8
0.0475,0,18.8
0.0475,0,17.7
0.0475,0,16.6
0.0475,0,15.5
0.0475,0,14.7
0.0475,0,14.2
0.0475,0,14.7
0.0475,265,16.4
0.0475,987,18.6
0.0475,1323,21.4
0.0475,1594,23.8
0.0475,1808,25.1
0.0475,1954,25.8
0,2033,26.4
0,2046,26.8
0,1991,27
0,1867,26.9
0,1679,26.5
0,1433,25.8
0,1122,25.3
0,716,22.2
0,155,20.3
0,0,19.6
0,0,18.9
0,0,18.1
0,0,17.4
0,0,16.9
0,0,16.7
0,0,16.6
0,0,16.5
0,0,16.7
0,82,17.2
0,263,18.1
0,570,19.3
0,603,20.9
0,505,22.5
0,218,23.9
0.017083333,224,24.9
0.017083333,186,25.4
0.017083333,216,25.8
0.017083333,340,26
0.017083333,1096,26.1
0.017083333,1042,25.8
0.017083333,755,25.6
0.017083333,255,24.1
0.017083333,20,23.2
0.017083333,0,22.9
0.017083333,0,22.9
0.017083333,0,22.9
0.017083333,0,22.8
0.017083333,0,22.4
0.017083333,0,22.1
0.017083333,0,21.8
0.017083333,0,21.5
0.017083333,0,21.2
0.017083333,18,21.5
0.017083333,56,22.3
0.017083333,62,23.7
0.017083333,1074,25.5
0.017083333,1519,27
0.017083333,1779,28.1
0,1861,28.5
0,1700,28.5
0,1413,28.3
0,1427,28.1
0,1148,28
0,542,27.7
0,297,27.5
0,70,26.6
0,18,25.9
0,0,25.1
0,0,24.4
0,0,23.7
0,0,23.3
0,0,23
0,0,22.8
0,0,22.6
0,0,22.3
0,0,22.2
0,64,22.7
0,170,23.5
0,58,24.4
0,240,25.2
0,713,25.9
0,813,26.3
0.0075,1108,26.6
0.0075,1279,26.7
0.0075,1308,26.7
0.0075,1034,26.5
0.0075,1370,26.3
0.0075,803,25.9
0.0075,503,25.7
0.0075,151,24.4
0.0075,85,23.4
0.0075,0,23
0.0075,0,22.7
0.0075,0,22.2
0.0075,0,21.7
0.0075,0,21.1
0.0075,0,20.6
0.0075,0,20
0.0075,0,19.5
0.0075,0,19.1
0.0075,6,18.9
0.0075,10,19.2
0.0075,38,20
0.0075,148,21.2
0.0075,379,22.5
0.0075,562,23.7
0.00125,1219,24.7
0.00125,1195,25.4
0.00125,1326,25.7
0.00125,903,25.6
0.00125,522,25
0.00125,812,23.6
0.00125,86,22.8
0.00125,657,20.4
0.00125,143,19.1
0.00125,0,18.3
0.00125,0,17.9
0.00125,0,17.5
0.00125,0,17.3
0.00125,0,17.1
0.00125,0,17
0.00125,0,16.9
0.00125,0,17
0.00125,0,17.3
0.00125,16,17.9
0.00125,96,18.6
0.00125,82,19.7
0.00125,222,21.1
0.00125,116,22.7
0.00125,1178,24.2
0,1319,25.5
0,915,26.5
0,1534,27
0,1559,27.2
0,1025,27.1
0,823,26.3
0,319,25.9
0,652,23.5
0,26,22
0,0,21.1
0,0,20.5
0,0,20.1
0,0,19.7
0,0,19.1
0,0,18.6
0,0,18.1
0,0,17.7
0,0,18.1
0,56,19.4
0,180,20.7
0,236,21.4
0,258,21.9
0,632,22.4
0,660,22.9
0.002083333,459,23.4
0.002083333,700,23.8
0.002083333,1462,24.3
0.002083333,1524,24.7
0.002083333,1653,24.7
0.002083333,1430,24.2
0.002083333,1134,23.8
0.002083333,485,20.8
0.002083333,202,18.8
0.002083333,0,17.6
0.002083333,0,16.9
0.002083333,0,16.2
0.002083333,0,15.6
0.002083333,0,15.1
0.002083333,0,14.6
0.002083333,0,14.2
0.002083333,0,13.9
0.002083333,0,14.5
0.002083333,512,16.4
0.002083333,962,18.5
0.002083333,1294,21.1
0.002083333,1559,23.4
0.002083333,1769,24.8
0.002083333,1915,26
0,1994,27
0,2006,27.7
0,1950,28
0,1825,28
0,1327,27.8
0,1066,27.2
0,985,26.7
0,428,24
0,30,22.4
0,0,21.5
0,0,20.8
0,0,20
0,0,19.2
0,0,18.5
0,0,17.9
0,0,17.5
0,0,17.4
0,0,17.7
0,89,18.9
0,62,20.9
0,118,23.5
0,1453,25.8
0,1201,27.4
0,1819,28.5
0,1408,29.4
0,1936,29.9
0,1886,30.2
0,1766,30.2
0,1579,29.9
0,1334,29.3
0,1030,29
0,642,27.5
0,144,26.7
0,0,26.1
0,0,25.5
0,0,24.8
0,0,24.2
0,0,23.7
0,0,23.3
0,0,23
0,0,22.8
0,0,22.8
0,66,23.1
0,188,23.8
0,1194,25
0,362,26.4
0,110,27.8
0,220,28.8
0,1381,29.5
0,1934,29.9
0,1880,29.9
0,1751,29.6
0,1023,29.2
0,256,28.7
0,22,28.4
0,58,27
0,18,26
0,0,24.7
0,0,23
0,0,21
0,0,19.3
0,0,18.2
0,0,17.6
0,0,17.4
0,0,17.1
0,0,17.2
0,548,18.4
0,971,20.1
0,1291,22.1
0,1552,24.5
0,1762,26.1
0,1523,27
0,1650,27.7
0,1535,28.3
0,1349,28.6
0,1213,28.8
0,1227,28.7
0,804,28.2
0,793,27.9
0,619,24.4
